         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          2          5          1      83.32      20.58     118.35       1.50      85.06       1.50      65.66       1.50      19.39       4.64       0.90     118.51       1.50
       -39          2          6          1      58.04      18.28      86.40       4.18      63.37       4.18      32.39       4.18      30.98       1.04       0.83      86.26       4.18
       -39          2          7          1      90.64      22.53      91.59       1.30      68.39       1.30      93.03       1.30      24.64       1.30       0.89      91.03       1.30
       -39          2          8          1      74.36      21.25      57.01       5.77      43.22       5.77      73.97       5.77      30.75       5.77       0.79      57.07       5.75
       -39          2          9          1      72.70      21.14      36.12       1.53      27.74       1.53      67.71       1.53      39.96       1.53       0.66      36.09       1.53
       -39          2         10          1      54.26      18.31      51.46       4.97      39.95       4.97      38.56       4.97       1.39       1.82       0.72      51.84       4.97
       -39          2         11          1      97.44      23.47      38.54       5.68      30.17       5.68     118.12       5.68      87.95       5.68       0.76      36.52       5.68
       -39          2         12          0      47.59      16.37      76.86       0.04      60.49       0.04      60.49       0.04       0.00       0.00       0.00      78.14       0.04
       -39          2         13          1      53.89      17.79      31.09       4.21      24.48       4.21      36.36       4.21      11.88       4.21       0.56      30.90       4.22
       -39          2         14          1      73.28      22.31      30.94       4.87      24.38       4.87      65.23       4.87      40.85       4.87       0.61      31.19       4.85
       -39          2         15          1      77.14      21.35      88.55       2.90      69.75       2.90      67.67       2.90       2.08       6.05       0.89      88.98       2.90
       -39          2         16          1      62.54      20.04      48.32       3.07      38.05       3.07      54.45       3.07      16.40       3.07       0.74      49.24       3.09
       -39          2         17          1      83.37      23.75     114.08       0.95      89.77       0.95      63.04       0.95      26.73       4.09       0.92     114.02       0.96
       -39          2         18          1      80.88      23.48      92.79       4.53      72.54       4.53      71.59       4.53       0.95       1.39       0.89      93.23       4.53
       -39          2         19          0     106.30      23.74     102.77       3.35      79.63       3.35      79.63       3.35       0.00       0.00       0.00     102.46       3.35
       -39          2         20          1      88.65      24.00      87.04       2.86      66.70       2.86      90.08       2.86      23.38       2.86       0.88      86.89       2.87
       -39          2         21          1      97.24      24.27      93.80       5.30      70.93       5.30     103.77       5.30      32.84       5.30       0.90      94.37       5.30
       -39          2         22          1     109.43      25.42     110.57       2.57      82.30       2.57     118.52       2.57      36.22       2.57       0.92     110.09       2.57
       -39          2         23          1      72.47      23.21     101.84       5.93      74.42       5.93      50.62       5.93      23.80       2.79       0.86     100.88       5.94
       -39          2         24          0      62.08      21.17      62.97       2.50      45.07       2.50      45.07       2.50       0.00       0.00       0.00      62.32       2.52
       -39          2         25          1      66.44      21.97      39.32       4.98      27.48       4.98      44.59       4.98      17.11       4.98       0.54      39.75       4.99
       -39          2         26          1      85.73      25.47      61.55       0.83      41.89       0.83      82.91       0.83      41.02       0.83       0.73      60.64       0.84
       -39          3          4          1      54.15      17.33      33.13       5.46      22.90       5.46      25.16       5.46       2.26       5.46       0.44      34.26       5.44
       -39          3          5          1     125.09      18.37     139.54       1.58      98.74       1.58     138.62       1.58      39.88       1.58       0.95     139.46       1.58
       -39          3          6          1      50.23      16.41      94.53       0.19      68.29       0.19      13.65       0.19      54.64       3.33       0.82      94.36       0.18
       -39          3          7          1      72.85      19.98      42.05       2.36      30.93       2.36      67.67       2.36      36.74       2.36       0.68      41.43       2.39
       -39          3          8          1      67.32      19.19      87.96       1.15      65.71       1.15      50.10       1.15      15.61       4.29       0.86      87.68       1.16
       -39          3          9          1      83.37      20.59      89.04       2.31      67.39       2.31      81.07       2.31      13.67       2.31       0.89      88.09       2.31
       -39          3         10          1      82.43      22.68     118.05       6.02      90.33       6.02      60.38       6.02      29.95       2.87       0.91     117.91       6.01
       -39          3         11          1      60.77      19.69      60.36       4.42      46.58       4.42      48.27       4.42       1.69       4.42       0.78      59.75       4.43
       -39          3         12          1      73.21      20.60      80.27       2.56      62.34       2.56      65.13       2.56       2.79       2.56       0.87      80.54       2.57
       -39          3         13          1      74.63      21.18      58.87       4.41      45.91       4.41      76.16       4.41      30.25       4.41       0.82      59.84       4.40
       -39          3         14          1      76.92      22.10      33.83       1.79      26.43       1.79      75.08       1.79      48.66       1.79       0.66      33.26       1.78
       -39          3         15          1      63.25      20.28      33.23       1.07      25.96       1.07      50.95       1.07      24.99       1.07       0.61      33.92       1.07
       -39          3         16          1      70.70      22.76      81.32       3.52      63.37       3.52      57.70       3.52       5.68       0.38       0.86      81.47       3.52
       -39          3         17          1      88.41      22.84      14.63       0.34      11.35       0.34      57.38       0.34      46.03       0.34       0.39      14.16       0.33
       -39          3         18          1      86.81      22.74      46.26       4.75      35.65       4.75      98.57       4.75      62.92       4.75       0.77      45.91       4.74
       -39          3         19          1      71.79      22.30      77.44       5.66      59.14       5.66      61.81       5.66       2.67       5.66       0.84      78.13       5.66
       -39          3         20          1      63.83      21.16      50.49       5.97      38.13       5.97      52.12       5.97      13.99       5.97       0.71      50.44       5.97
       -39          3         21          1      81.62      23.17      62.79       5.06      46.78       5.06      84.49       5.06      37.71       5.06       0.80      62.65       5.07
       -39          3         22          1      66.78      21.49      13.03       1.41       9.55       1.41      22.95       1.41      13.40       1.41       0.24      13.12       1.35
       -39          3         23          1      64.38      21.05      89.12       0.39      64.14       0.39      41.80       0.39      22.34       3.53       0.82      89.92       0.39
       -39          3         24          1      77.07      23.79      87.72       2.66      61.81       2.66      65.54       2.66       3.74       2.66       0.83      88.74       2.66
       -39          3         25          1      75.77      24.78      75.10       5.08      51.66       5.08      64.05       5.08      12.39       5.08       0.76      74.38       5.06
       -39          4          4          1      52.18      16.78      37.41       6.19      25.28       6.19      22.37       6.19       2.92       3.05       0.46      37.16       6.20
       -39          4          5          1      54.47      17.49      54.51       2.83      37.73       2.83      30.83       2.83       6.89       5.97       0.63      55.26       2.84
       -39          4          6          0      60.12      18.70     120.01       0.90      84.84       0.90      84.84       0.90       0.00       0.00       0.00     121.13       0.90
       -39          4          7          1      54.08      17.58      52.85       1.02      38.05       1.02      32.95       1.02       5.10       4.16       0.66      52.67       1.01
       -39          4          8          1      60.94      17.96      61.08       4.56      44.68       4.56      47.11       4.56       2.42       4.56       0.75      61.56       4.55
       -39          4          9          1      70.20      19.53      76.99       1.87      57.07       1.87      60.61       1.87       3.54       1.87       0.84      77.24       1.86
       -39          4         10          1      75.30      20.09      57.36       0.32      42.99       0.32      76.53       0.32      33.54       0.32       0.79      58.09       0.33
       -39          4         11          0      54.86      17.61      39.11       0.86      29.57       0.86      29.57       0.86       0.00       0.00       0.00      38.41       0.86
       -39          4         12          1      64.36      19.70      90.53       3.96      68.89       3.96      42.35       3.96      26.54       0.82       0.86      91.00       3.94
       -39          4         13          1      87.39      20.61      59.09       3.47      45.15       3.47     101.77       3.47      56.61       3.47       0.84      59.26       3.47
       -39          4         14          1     123.55      23.58     113.55       1.23      86.94       1.23     145.22       1.23      58.28       1.23       0.94     113.63       1.24
       -39          4         15          1     135.09      22.11     160.88       1.48     123.15       1.48     137.18       1.48      14.03       1.48       0.96     161.22       1.48
       -39          4         16          0      85.66      23.05      44.26       2.18      33.80       2.18      33.80       2.18       0.00       0.00       0.00      44.33       2.19
       -39          4         17          1      99.41      23.13     111.69       0.47      84.90       0.47      98.50       0.47      13.60       0.47       0.92     110.98       0.47
       -39          4         18          1      62.69      20.78      39.36       0.81      29.71       0.81      47.87       0.81      18.15       0.81       0.62      39.86       0.84
