         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -33          0         20          1      72.22      16.68      71.58       0.00      64.90       0.00      67.30       0.00       2.40       0.00       0.92      98.40       0.00
       -33          0         21          1      46.32      19.09       3.79       3.14       5.47       6.28       2.35       6.28       3.13       3.14       0.08       9.16       6.28
       -33          0         22          1     136.97       7.30      75.42       3.14      64.12       3.14     209.21       3.14     145.09       3.14       1.00      97.51       3.14
       -33          0         23          1      46.42      19.93      84.70       0.00      54.75       6.28      12.05       6.28      42.70       3.14       0.72      83.02       6.28
       -33          1          2          1      26.04      12.19      33.10       1.37      19.53       1.57       9.91       4.71      29.44       4.71       0.18      29.54       1.58
       -33          1          3          1      35.35      13.33      42.12       5.96      29.40       5.97       5.41       2.83      34.82       2.83       0.34      44.27       5.97
       -33          1          4          1      23.07      10.45      23.28       4.85      20.05       4.74      12.65       1.59      32.70       1.59       0.16      30.40       4.73
       -33          1          5          1      22.58      10.56      34.26       1.17      27.75       1.31      18.36       4.45      46.11       4.45       0.21      41.72       1.32
       -33          1          6          1      70.66       7.78      49.70       0.81      35.59       0.68      55.66       0.68      20.06       0.68       0.65      52.53       0.66
       -33          1          7          1     111.38       5.41      83.64       5.37      58.14       5.36     137.37       5.36      79.23       5.36       0.88      84.82       5.36
       -33          1          8          1      24.51      11.16      97.96       5.66      68.12       5.71      45.42       2.57     113.53       2.57       0.46      98.84       5.72
       -33          1          9          1      42.16      12.97      52.16       5.55      35.42       5.55       0.88       2.41      36.30       2.41       0.41      50.93       5.55
       -33          1         10          1      55.65      11.45      82.28       1.94      63.42       2.07      16.85       2.07      46.57       5.22       0.72      93.12       2.10
       -33          1         11          1      25.83      11.39      84.64       2.08      60.02       2.01      38.09       5.15      98.10       5.15       0.42      86.53       2.00
       -33          1         12          1      43.22      14.51      73.62       5.24      44.75       5.24       2.82       2.09      47.57       2.09       0.49      62.31       5.23
       -33          1         13          1      76.46       8.09      65.59       4.80      45.41       4.69      65.51       4.69      20.10       4.69       0.73      65.16       4.66
       -33          1         14          1      77.42       8.57      78.87       2.15      59.47       2.18      64.64       2.18       5.17       2.18       0.80      86.70       2.18
       -33          1         15          1      61.52      12.17      74.60       1.46      46.52       1.45      33.18       1.45      13.34       4.59       0.65      65.51       1.45
       -33          1         16          1      21.26      10.19      50.54       5.35      35.23       5.37      25.50       2.22      60.73       2.22       0.23      50.92       5.37
       -33          1         17          1      79.84       8.96      49.67       2.89      34.68       2.85      70.81       2.85      36.13       2.85       0.66      50.39       2.84
       -33          1         18          1      28.61      12.33      19.51       0.08      14.02       0.13       6.84       3.28      20.85       3.28       0.13      20.56       0.14
       -33          1         19          1      46.15      12.87      73.91       3.14      51.77       3.06       3.89       3.06      47.88       6.20       0.60      76.21       3.05
       -33          1         20          1      67.13       9.62      49.05       1.11      36.55       1.00      49.46       1.00      12.92       1.00       0.64      54.55       0.99
       -33          1         21          1      23.71      10.95      18.70       1.13      16.18       0.40       9.87       3.54      26.05       3.54       0.13      24.96       0.36
       -33          1         22          1      41.59      13.79      56.98       0.97      39.98       0.93       1.41       0.93      38.56       4.07       0.50      60.29       0.92
       -33          1         23          1      60.89      11.85     128.13       0.18      89.91       0.18      15.70       0.18      74.21       3.32       0.87     136.83       0.18
       -33          2          2          1      22.27      10.21      17.26       1.38       6.32       1.01       3.88       4.15      10.21       4.15       0.05       9.52       1.00
       -33          2          3          1      77.24       7.42      38.80       1.28      27.88       1.20      70.17       1.20      42.29       1.20       0.63      42.20       1.20
       -33          2          4          1      20.43       9.70       3.26       1.56       5.85       4.25       4.08       1.11       9.93       1.11       0.04       9.58       4.26
       -33          2          5          1      29.45      12.40      73.73       3.72      49.53       3.87      23.68       0.73      73.22       0.73       0.44      73.46       3.88
       -33          2          6          1      56.21      11.59       7.26       1.55       7.15       3.73       7.67       3.73       0.51       3.73       0.13      12.28       3.79
       -33          2          7          1      50.84      10.27      48.75       0.21      34.68       0.23      16.22       0.23      18.46       3.37       0.50      51.00       0.23
       -33          2          8          1      48.17      12.59      44.53       4.97      26.81       4.83       9.20       4.83      17.61       1.69       0.37      38.24       4.80
       -33          2          9          1      74.21       8.25      65.20       4.42      43.65       4.32      62.51       4.32      18.87       4.32       0.72      62.99       4.30
       -33          2         10          1      53.01      11.21      18.09       1.04      11.32       1.49       8.11       1.49       3.21       4.63       0.18      16.44       1.57
       -33          2         11          1      40.40      13.47      33.46       2.46      18.29       2.15       0.91       5.29      19.20       5.29       0.22      25.44       2.08
       -33          2         12          1      25.58      11.42      51.52       1.96      36.12       1.80      22.19       4.94      58.31       4.94       0.27      52.29       1.77
       -33          2         13          1      24.86      11.47      46.34       2.01      29.19       2.09      18.40       5.23      47.59       5.23       0.22      41.29       2.10
       -33          2         14          1      64.64      10.04      43.31       2.33      27.23       2.69      35.06       2.69       7.83       2.69       0.48      39.15       2.76
       -33          2         15          1      34.83      12.47      10.99       1.50       2.22       0.94       0.58       4.08       2.80       4.08       0.02       2.37       0.49
       -33          2         16          1      55.94      12.01      81.07       5.57      52.03       5.54      22.27       5.54      29.76       2.39       0.66      74.53       5.53
       -33          2         17          1      28.77      12.42      17.95       4.22      12.95       4.13       6.27       0.99      19.21       0.99       0.12      19.00       4.12
       -33          2         18          1     101.89       6.15      87.18       3.00      52.49       2.97     120.89       2.97      68.39       2.97       0.85      75.45       2.97
       -33          2         19          1      42.61      16.27      24.18       0.58      20.95       0.83       1.47       0.83      19.48       3.97       0.26      31.71       0.85
       -33          2         20          1      34.16      13.39     100.19       0.24      65.86       0.33      25.30       3.47      91.17       3.47       0.59      97.53       0.34
       -33          2         21          1      81.09       7.88      80.18       0.92      55.17       0.94      79.70       0.94      24.53       0.94       0.83      82.70       0.94
       -33          2         22          1      55.14      12.39      55.84       3.09      34.35       3.33      27.67       3.33       6.68       0.18       0.56      51.78       3.34
       -33          2         23          1      39.27      13.89      26.81       0.69      18.13       0.77       1.72       0.77      16.41       3.91       0.25      27.68       0.77
       -33          3          3          1      36.98      13.66      58.55       4.71      41.62       4.76       5.73       1.62      47.35       1.62       0.49      63.35       4.77
       -33          3          4          1      18.71       9.05      46.59       3.14      31.34       3.28      23.28       0.14      54.63       0.14       0.22      47.24       3.29
       -33          3          5          1      71.44       7.62      45.56       5.97      33.35       5.79      60.17       5.79      26.82       5.79       0.65      50.18       5.77
       -33          3          6          1      20.01       9.69      17.84       0.67      16.90       1.09      12.20       4.23      29.10       4.23       0.12      25.91       1.12
       -33          3          7          1      72.56       7.13      51.36       2.65      33.96       2.57      60.18       2.57      26.23       2.57       0.65      49.89       2.56
       -33          3          8          1      36.48      12.44      68.31       5.60      48.51       5.56      12.52       2.42      61.03       2.42       0.49      71.48       5.55
       -33          3          9          1      28.28      12.17      51.45       5.01      36.38       4.91      18.79       1.77      55.17       1.77       0.31      53.38       4.90
       -33          3         10          1      40.81      13.36      61.72       2.14      43.99       2.21       4.53       5.35      48.53       5.35       0.48      64.41       2.22
       -33          3         11          1      20.12       9.85      47.72       1.30      35.05       1.39      26.12       4.53      61.18       4.53       0.22      51.46       1.40
       -33          3         12          1      83.50       7.16      48.47       3.51      35.34       3.50      79.92       3.50      44.57       3.50       0.69      51.75       3.50
       -33          3         13          1      31.64      11.85      47.16       3.03      37.56       3.05      15.52       6.19      53.08       6.19       0.35      55.71       3.06
       -33          3         14          1      29.80      12.03      62.03       1.81      38.19       1.78      18.19       4.92      56.38       4.92       0.34      54.46       1.77
       -33          3         15          1      26.66      11.46      16.96       0.01      13.97       6.19       7.69       3.05      21.66       3.05       0.12      20.87       6.18
       -33          3         16          1      65.21       8.62      39.45       1.13      27.19       1.17      39.13       1.17      11.93       1.17       0.51      39.76       1.17
       -33          3         17          1      60.25      11.72       8.04       6.12       6.47       4.02       8.71       4.02       2.25       4.02       0.13      11.25       3.94
       -33          3         18          1      40.58      13.45      52.59       2.99      34.06       2.79       1.00       5.93      35.06       5.93       0.41      50.08       2.76
       -33          3         19          1      21.72      10.36      31.03       3.97      21.63       3.89      14.62       0.74      36.26       0.74       0.16      32.20       3.88
       -33          3         20          1      22.68      10.79      56.37       1.83      36.70       1.82      23.81       4.96      60.51       4.96       0.28      54.74       1.82
       -33          3         21          1      42.07      14.36      41.26       1.65      35.09       1.55       3.08       1.55      32.01       4.69       0.45      53.46       1.55
       -33          3         22          1      73.39      10.42      37.11       6.22      23.48       6.00      57.42       6.00      33.94       6.00       0.55      35.71       5.99
       -33          4          4          1      21.78       9.92      41.18       5.96      32.78       5.96      21.15       2.82      53.93       2.82       0.27      50.06       5.96
       -33          4          5          1      82.43       6.55      64.42       5.78      44.63       5.86      87.32       5.86      42.70       5.86       0.80      67.45       5.86
       -33          4          6          1      31.90      12.21      35.10       0.71      21.37       0.49       6.54       3.63      27.91       3.63       0.23      31.86       0.48
       -33          4          7          1      43.90      12.44      35.05       1.48      24.45       1.57       5.70       1.57      18.75       4.72       0.34      36.52       1.58
       -33          4          8          1      46.49      13.09      49.53       1.15      36.00       1.25       8.90       1.25      27.09       4.40       0.48      53.71       1.26
       -33          4          9          1      23.27      10.65      25.31       4.53      17.90       4.59      11.40       1.45      29.30       1.45       0.14      26.52       4.59
       -33          4         10          1      71.63       7.99      61.95       3.50      39.86       3.47      59.50       3.47      19.64       3.47       0.69      58.22       3.47
       -33          4         11          1      18.97       9.28      61.85       3.92      49.60       4.02      38.11       0.88      87.71       0.88       0.30      74.23       4.03
       -33          4         12          1      25.76      11.00      42.83       1.44      26.86       1.48      15.42       4.63      42.28       4.63       0.22      38.94       1.49
       -33          4         13          1      76.32       6.84      33.22       2.13      25.82       1.95      59.74       1.95      33.92       1.95       0.56      38.55       1.92
       -33          4         14          1      52.61      10.27      19.50       4.20      12.29       4.28       9.91       4.28       2.38       1.14       0.21      17.86       4.29
       -33          4         15          1      30.99      11.93      21.03       5.40      11.49       5.55       4.29       2.40      15.78       2.40       0.12      16.44       5.57
       -33          4         16          0      75.37       7.29      20.03       5.67      11.04       5.66      11.04       5.66       0.00       0.00       0.00      15.88       5.66
       -33          4         17          1      24.29      11.23      39.42       3.17      29.02       3.20      17.64       0.06      46.67       0.06       0.23      43.35       3.21
       -33          4         18          1      69.19       9.68      61.86       4.60      39.20       4.56      55.86       4.56      16.66       4.56       0.69      58.11       4.55
       -33          4         19          1      53.19      12.61       1.50       2.31       6.73       1.75       6.48       1.75       0.25       4.89       0.12      10.65       1.75
       -33          4         20          1      51.98      12.61      57.67       2.64      48.81       2.61      20.56       2.61      28.26       5.75       0.67      74.40       2.61
       -33          4         21          1      41.40      13.84      32.04       2.76      17.10       3.02       3.56       3.02      13.54       6.17       0.25      25.94       3.03
       -33          5          5          1      53.49      11.19      39.86       4.65      32.20       4.71      27.03       4.71       5.17       1.57       0.55      49.32       4.71
       -33          5          6          1      18.74       9.27      33.09       5.02      22.84       4.88      16.69       1.74      39.53       1.74       0.16      34.71       4.88
       -33          5          7          1      29.81      12.25      43.47       3.32      30.09       3.39      11.75       0.25      41.83       0.25       0.31      45.47       3.40
       -33          5          8          1      96.34       6.45     142.99       6.06      99.77       6.10      79.29       6.10      20.47       2.96       0.93     150.11       6.10
       -33          5          9          1      78.78       7.09      25.42       5.48       9.09       5.47      31.62       5.47      22.52       5.47       0.26      12.74       5.47
       -33          5         10          1      60.93       9.59      91.01       2.28      57.72       2.28      35.71       2.28      22.01       5.42       0.77      85.58       2.27
       -33          5         11          0      68.33       7.14      44.63       1.98      31.30       1.87      31.30       1.87       0.00       0.00       0.00      46.74       1.86
       -33          5         12          1      25.38      11.13      63.05       3.76      40.04       3.88      23.23       0.74      63.28       0.74       0.33      59.21       3.89
       -33          5         13          1      32.93      11.92      41.48       4.41      31.42       4.36       9.50       1.22      40.92       1.22       0.33      47.15       4.35
       -33          5         14          1      29.12      12.09      29.48       0.66      15.45       0.58       6.59       3.73      22.04       3.73       0.15      22.42       0.58
       -33          5         15          1      43.16      12.16      84.22       1.63      56.41       1.69       1.44       4.83      57.85       4.83       0.64      84.08       1.70
       -33          5         16          1      25.77      11.18      38.77       4.31      21.74       4.56      11.71       1.42      33.45       1.42       0.19      32.15       4.58
       -33          5         17          1      28.20      12.22      46.52       4.50      32.43       4.67      15.05       1.53      47.48       1.53       0.31      48.86       4.68
       -33          5         18          1      37.17      13.61      23.99       6.04      15.01       6.02       0.66       2.87      15.66       2.87       0.19      22.59       6.01
       -33          5         19          1      28.32      12.09      47.26       1.39      32.60       1.31      14.19       4.45      46.79       4.45       0.32      49.58       1.31
       -33          6          8          1      94.32       5.18      67.00       3.72      45.70       3.73     113.81       3.73      68.12       3.73       0.85      69.73       3.73
       -33          6          9          1      26.79      11.00      29.39       3.65      18.90       3.84       8.80       0.70      27.70       0.70       0.19      28.70       3.84
       -33          6         10          1      72.38       6.54      58.21       1.09      33.75       1.11      65.87       1.11      32.13       1.11       0.69      50.85       1.11
       -33          6         11          1      64.57       8.01      35.17       3.17      21.42       3.38      39.47       3.38      18.05       3.38       0.47      32.29       3.39
       -33          6         12          1      33.83      11.76      46.20       4.85      33.14       4.96       7.53       1.81      40.68       1.81       0.38      50.21       4.96
       -33          6         13          1      38.36      13.37      38.74       5.77      20.30       5.89       0.12       5.89      20.18       2.75       0.27      30.32       5.90
       -33          6         14          1      28.36      11.26      24.39       1.61      15.18       1.39       6.26       4.53      21.44       4.53       0.16      22.91       1.38
       -33          6         15          1      34.51      12.27      40.63       6.02      23.68       6.22       3.87       3.08      27.55       3.08       0.29      35.74       6.23
       -33          6         16          1      34.00      13.51      61.09       0.56      41.55       0.66      10.58       3.80      52.12       3.80       0.46      63.19       0.67
       -33          6         17          1      22.33      10.42      27.59       1.59      22.73       1.86      14.04       5.00      36.77       5.00       0.19      34.80       1.86
       -32          0          1          0      37.73      17.41      66.34       3.14      44.73       3.14      44.73       3.14       0.00       0.00       0.00      64.71       3.14
       -32          0          2          1      20.63      13.89      10.39       3.14       6.73       3.14       4.96       0.00      11.69       0.00       0.04       9.52       3.14
       -32          0          3          1      48.73      18.77      78.89       0.00      53.60       6.28       8.00       6.28      45.60       3.14       0.63      75.63       6.28
       -32          0          4          1      20.03      13.59      20.08       3.14      17.34       3.14      13.32       0.00      30.66       0.00       0.10      25.61       3.14
       -32          0          5          1      76.06      11.12      48.16       3.14      32.37       3.14      60.38       3.14      28.01       3.14       0.61      44.46       3.14
       -32          0          6          1      19.15      13.32      12.35       0.00      14.28       0.00      11.36       3.14      25.65       3.14       0.08      22.20       0.00
       -32          0          7          1     118.63      11.79      96.61       3.14      62.25       3.14     168.01       3.14     105.75       3.14       0.97      81.39       3.14
       -32          0          8          1      64.66      13.71      49.07       3.14      40.10       3.14      40.62       3.14       0.52       3.14       0.62      56.30       3.14
       -32          0          9          1      89.64       9.55      72.24       0.00      48.75       6.28     104.54       6.28      55.79       6.28       0.86      63.06       6.28
       -32          0         10          1     141.50       5.79     153.35       0.00     114.63       6.28     168.33       6.28      53.70       6.28       1.00     153.35       6.28
       -32          0         11          1      43.59      18.83      26.80       0.00      18.21       6.28       0.35       6.28      17.86       3.14       0.21      23.28       6.28
       -32          0         12          1     119.59       7.23      69.84       3.14      55.09       3.14     174.72       3.14     119.62       3.14       0.96      74.77       3.14
       -32          0         13          1      68.92      15.92      35.90       0.00      22.83       6.28      34.27       6.28      11.43       6.28       0.41      28.25       6.28
       -32          0         14          1     201.91       5.59     127.38       0.00     108.73       0.00     295.09       0.00     186.37       0.00       1.00     152.46       0.00
       -32          0         15          1      95.03      10.81      15.22       0.00      10.79       6.28      44.04       6.28      33.26       6.28       0.29      14.23       6.28
       -32          0         16          1      96.10      11.10      22.98       0.00      22.75       0.00      84.36       0.00      61.61       0.00       0.56      33.69       0.00
       -32          0         17          1     161.12       5.81     195.13       3.14     156.01       3.14     166.23       3.14      10.23       3.14       1.00     219.83       3.14
       -32          0         18          1      70.79      29.71       1.89       0.00       1.28       6.28       1.72       6.28       0.44       6.28       0.02       1.74       6.28
       -32          0         19          1      41.08      18.37      45.18       3.14      35.07       3.14       4.59       0.00      39.66       0.00       0.37      50.18       3.14
       -32          0         20          1      19.87      13.70      98.85       0.00      71.12       0.00      55.72       3.14     126.84       3.14       0.39     100.57       0.00
       -32          0         21          1      17.33      12.35       1.72       3.14       4.83       6.28       3.96       3.14       8.79       3.14       0.03       8.89       6.28
       -32          0         22          1      49.52      19.22      48.95       0.00      31.46       6.28      10.77       6.28      20.69       3.14       0.43      44.38       6.28
       -32          0         23          1      69.20      15.25      48.79       0.00      33.90       0.00      53.41       0.00      19.51       0.00       0.63      49.23       0.00
       -32          0         24          1      30.47      17.98     114.66       3.14      84.33       3.14      43.00       0.00     127.33       0.00       0.68     124.89       3.14
       -32          0         25          1      38.12      22.19      66.90       3.14      49.93       3.14       8.58       0.00      58.51       0.00       0.54      74.86       3.14
       -32          0         26          1      30.68      21.49      19.36       0.00      16.74       0.00       6.14       3.14      22.88       3.14       0.17      25.51       0.00
       -32          1          1          1      73.33       7.77      59.85       2.76      41.13       2.63      61.22       2.63      20.10       2.63       0.70      59.88       2.61
       -32          1          2          1      57.69      10.56      71.11       5.05      52.03       5.03      25.45       5.03      26.58       1.89       0.67      75.56       5.02
       -32          1          3          1      35.12      12.74      13.41       1.13      13.10       1.40       3.85       4.55      16.95       4.55       0.13      19.98       1.45
       -32          1          4          1      79.53       7.98      72.42       2.13      49.00       2.07      69.20       2.07      20.19       2.07       0.74      68.43       2.05
       -32          1          5          1      54.20      12.04      46.38       0.36      28.52       0.14      13.96       0.14      14.56       3.28       0.39      38.56       0.06
       -32          1          6          1      25.69      12.07      25.08       2.82      18.34       2.78      11.85       5.92      30.19       5.92       0.13      25.68       2.76
       -32          1          7          1      98.52       5.63      69.38       1.73      46.34       1.72     107.41       1.72      61.07       1.72       0.78      61.77       1.71
