         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -36          2         26          1      31.94       2.23      30.21       4.52      26.53       4.52      33.74       4.52       7.21       4.52       0.94      30.22       4.52
       -36          3         18          1      21.69       2.24      26.42       2.86      23.39       2.86      14.79       2.86       8.60       6.00       0.88      26.42       2.86
       -36          3         19          1      31.53       2.01      27.04       1.50      23.93       1.50      34.24       1.50      10.32       1.50       0.92      27.00       1.50
       -36          3         22          1      12.75       4.03       6.97       2.89       6.13       2.89       1.62       2.89       4.51       6.03       0.30       6.97       2.89
       -36          3         27          1      27.29       1.79      29.42       0.00      25.83       0.00      25.50       0.00       0.33       3.14       0.94      29.42       0.00
       -36          4         15          0      32.05       1.79      18.77       3.94      16.52       3.94      16.52       3.94       0.00       0.00       0.00      18.71       3.94
       -36          4         16          1      18.83       3.36      15.77       2.11      13.89       2.11      13.46       2.11       0.44       5.26       0.73      15.75       2.11
       -36          4         20          1      21.96       3.59      19.42       0.55      17.11       0.55      18.79       0.55       1.68       0.55       0.82      19.42       0.55
       -36          4         21          0      31.15       2.47      17.33       6.19      15.25       6.19      15.25       6.19       0.00       0.00       0.00      17.25       6.19
       -36          4         23          1      43.70       2.02      28.13       0.93      24.72       0.93      58.31       0.93      33.59       0.93       0.95      28.10       0.93
       -36          4         24          0      15.46       4.71       6.96       3.45       6.12       3.44       6.12       3.44       0.00       0.00       0.00       6.97       3.44
       -36          4         25          1      38.77       2.69      40.44       3.68      35.51       3.68      39.22       3.68       3.71       3.68       0.96      40.45       3.68
       -36          4         26          1      18.15       3.81       7.14       3.40       6.27       3.40      11.89       3.40       5.62       3.40       0.50       7.14       3.39
       -36          5         10          1      18.21       4.27      26.38       4.62      23.16       4.62       8.64       4.62      14.51       1.48       0.87      26.44       4.62
       -36          5         11          1      24.72       3.37      23.44       5.09      20.59       5.10      23.74       5.10       3.15       5.10       0.90      23.49       5.10
       -36          5         12          1      14.61       4.94      11.50       1.86      10.09       1.86       5.30       1.86       4.79       5.00       0.53      11.48       1.86
       -36          5         13          0      12.14       5.84      19.67       2.52      17.28       2.52      17.28       2.52       0.00       0.00       0.00      19.67       2.52
       -36          5         22          0      17.30       3.15      28.37       0.93      24.96       0.93      24.96       0.93       0.00       0.00       0.00      28.41       0.93
       -36          5         23          1      14.38       4.49      18.49       4.96      16.22       4.95       3.67       4.95      12.55       1.81       0.69      18.44       4.95
       -36          5         24          0      18.20       5.62      12.42       5.32      10.90       5.31      10.90       5.31       0.00       0.00       0.00      12.42       5.31
       -36          5         25          1      25.17       3.15      17.90       1.89      15.74       1.89      27.84       1.89      12.10       1.89       0.87      17.98       1.89
       -36          5         26          1      14.38       5.17      26.30       2.76      23.09       2.76       0.41       2.76      22.68       5.90       0.82      26.30       2.76
       -36          6         11          1      30.21       1.80      34.13       1.40      29.97       1.40      27.48       1.40       2.49       4.55       0.95      34.12       1.41
       -36          6         12          0      15.56       6.76      13.89       3.83      12.19       3.83      12.19       3.83       0.00       0.00       0.00      13.88       3.83
       -36          6         16          1       9.24       9.24      18.76       6.12      16.50       6.12       9.58       2.97      26.08       2.97       0.37      18.74       6.12
       -36          6         17          1       6.54       6.54      13.11       4.62      11.51       4.62       8.28       1.48      19.79       1.48       0.25      13.03       4.62
       -36          6         21          1      24.34       2.70      18.71       1.61      16.46       1.61      24.91       1.61       8.46       1.61       0.85      18.74       1.62
       -36          6         24          0       8.11       8.11       7.57       0.39       6.66       0.39       6.66       0.39       0.00       0.00       0.00       7.61       0.39
       -36          7         11          1      18.10       3.62      19.58       6.26      17.19       6.26      13.01       6.26       4.18       3.12       0.83      19.55       6.26
       -36          7         12          1      28.51       1.36      31.21       0.17      27.39       0.17      26.34       0.17       1.05       3.31       0.94      31.15       0.17
       -36          7         13          1      23.98       2.72      27.67       1.45      24.28       1.45      19.44       1.45       4.84       4.60       0.91      27.61       1.45
       -36          7         14          1      19.01       3.39      25.81       5.43      22.64       5.43      10.23       5.43      12.41       2.29       0.86      25.77       5.43
       -36          7         15          1      28.96       1.36      24.78       5.31      21.78       5.31      31.33       5.31       9.55       5.31       0.92      24.80       5.31
       -36          7         20          1      26.47       2.49      28.43       5.50      24.98       5.50      23.50       5.50       1.48       2.35       0.92      28.41       5.50
       -36          7         23          1      22.40       3.39      30.48       1.56      26.76       1.56      14.00       1.56      12.76       4.70       0.91      30.48       1.56
       -36          8         13          1      32.95       1.59      32.50       3.97      28.54       3.97      34.19       3.97       5.65       3.97       0.95      32.55       3.97
       -36          8         15          0      32.04       3.18      21.17       3.32      18.59       3.32      18.59       3.32       0.00       0.00       0.00      21.16       3.32
