      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
2263   1.0    68.64   265.55   1.0   1.0  121.90   1.0  108.17  156.02   11.85   234.26   13.56    35.79    24.45   1.0   1.0   1.0   1.0   32.48
2264   1.0    92.72   820.57   1.0   1.0   67.74   1.0  109.98   24.61   11.23   159.66   32.50   107.16    48.64   1.0   1.0   1.0   1.0   29.13
2265   1.0   105.16   684.29   1.0   1.0   69.41   1.0  101.15  178.61   20.50    73.17   30.31    29.95   145.88   1.0   1.0   1.0   1.0   34.25
2266   1.0    79.02   204.41   1.0   1.0   67.51   1.0   64.03   59.44   28.83   264.70   46.96    40.72   141.35   1.0   1.0   1.0   1.0   53.60
2267   1.0   119.35   614.71   1.0   1.0   45.69   0.0   48.93   32.76   27.23   348.67   19.10   182.29   240.60   1.0   1.0   1.0   1.0   27.99
2268   1.0   263.34   428.16   1.0   1.0   80.12   1.0  157.96  160.65   20.09   123.26   21.02    51.61   161.68   1.0   1.0   1.0   1.0   24.02
2269   0.0   463.26   289.69   1.0   1.0  114.55   0.0   80.62   42.76   57.71    85.97   28.78   104.28    68.92   1.0   1.0   1.0   1.0   34.85
2270   1.0   446.52   411.87   1.0   0.0  126.11   1.0   45.48   57.52   63.82    45.89   48.79    29.83   172.18   1.0   1.0   0.0   1.0   27.37
2271   1.0   131.56   521.58   1.0   1.0   30.15   1.0   35.77  162.63   59.76   215.63   98.80    23.53    47.92   0.0   1.0   1.0   0.0   26.96
2272   1.0   579.94   830.79   1.0   1.0  186.33   1.0   98.64   52.21   18.16   116.50   70.19    41.34    51.02   1.0   1.0   1.0   1.0   22.43
2273   1.0   280.98  1286.81   0.0   1.0   78.13   0.0   61.77  194.05   13.23   101.72   49.02   120.27   143.54   1.0   1.0   1.0   1.0   35.87
2274   1.0   198.75   289.91   1.0   1.0  232.73   1.0   49.23  104.40   44.92    59.64   57.19    57.83   151.10   1.0   1.0   1.0   1.0   21.62
2275   1.0    85.36   862.00   1.0   1.0   30.62   1.0   72.78   31.40   14.33   192.57  154.61    19.49   129.06   0.0   1.0   1.0   1.0   25.64
2276   1.0   164.06   227.55   1.0   1.0   62.51   1.0   71.90   49.12   15.17   148.42  116.22    20.66    85.62   1.0   1.0   1.0   1.0   27.14
2277   1.0    82.53   401.24   0.0   1.0  100.83   1.0   38.57  113.88   15.77    55.40   78.06    27.40    60.57   1.0   1.0   1.0   1.0   30.10
2278   1.0   147.61   351.32   1.0   1.0   38.38   1.0   63.18   29.78   39.47   165.67   39.69    22.10   173.47   1.0   1.0   1.0   1.0   36.81
2279   1.0   128.19   215.18   1.0   1.0   73.13   1.0    8.10   74.25   64.25   131.40   85.70   150.69   212.85   0.0   1.0   1.0   1.0   25.93
2280   1.0    89.34   854.33   1.0   1.0   32.57   1.0  143.72   45.98   46.47   124.11   78.41   125.13   139.05   1.0   1.0   1.0   1.0   39.23
2281   1.0   123.31   479.27   1.0   1.0   85.34   1.0   98.96  104.26   35.03   112.21   78.65   138.21   197.76   1.0   1.0   1.0   1.0   32.64
2282   1.0   117.45   830.35   1.0   1.0   26.59   1.0   40.82   65.27   26.32    87.31   61.08   166.71    72.23   1.0   1.0   1.0   1.0   33.72
2283   1.0   124.20   862.15   1.0   1.0  117.45   1.0   81.61  227.05   17.63    30.37   27.34   111.07    90.17   1.0   1.0   1.0   1.0   31.30
2284   1.0   102.81   851.16   1.0   1.0   56.94   1.0   16.59  112.15   22.10   267.82   41.20    84.74   148.24   1.0   1.0   1.0   1.0   37.68
2285   1.0   219.08   469.17   1.0   1.0   14.82   1.0   71.97  137.69   42.40   275.97   35.02    63.18   130.46   1.0   1.0   1.0   1.0   38.08
2286   1.0   106.56   580.02   1.0   0.0   46.71   1.0   57.96  120.84   14.76    68.21   74.19    36.20    34.71   1.0   1.0   0.0   1.0   22.30
2287   1.0   203.28   242.61   1.0   1.0   46.09   0.0   54.35  116.00   12.65   125.32   58.71   100.48   126.95   1.0   1.0   1.0   1.0   65.54
2288   1.0    99.62   371.93   1.0   1.0   44.11   1.0  154.86  169.66   45.03    82.52   73.64    25.66   126.32   1.0   1.0   1.0   1.0   83.80
2289   1.0    72.47   320.57   1.0   1.0  104.34   1.0  123.76   68.90   19.72    80.34   46.25   108.68    36.94   1.0   1.0   1.0   1.0   79.61
2290   1.0    72.39   895.34   1.0   1.0   44.21   1.0  160.19  102.47   24.90    69.86   75.75    64.31   235.22   1.0   1.0   1.0   1.0   24.50
2291   0.0    55.92   326.03   1.0   1.0  132.90   1.0   51.25   96.72   15.60   218.50   58.78    38.18    52.79   1.0   1.0   1.0   1.0   27.38
2292   1.0    62.59   491.91   1.0   1.0   54.80   1.0  106.12   82.72   16.17   193.52   47.12    53.85   150.10   1.0   1.0   1.0   1.0   28.01
2293   1.0   229.97   250.27   1.0   1.0   61.94   1.0   55.08  128.77   15.42    91.48   25.61    33.24   165.09   1.0   1.0   1.0   1.0   30.39
2294   1.0   542.54   222.07   1.0   1.0  102.29   1.0   32.24   35.99  127.35   172.91   29.11    58.09   183.47   1.0   1.0   1.0   1.0   30.16
2295   1.0   276.85   221.45   1.0   1.0   47.27   1.0   91.29  108.04   91.83   192.51   26.58    91.38    81.52   1.0   1.0   1.0   1.0   54.14
2296   1.0   124.01   390.42   1.0   1.0  154.75   1.0   35.15   53.61   16.31   113.85   59.99    53.10   314.66   1.0   1.0   1.0   1.0   32.70
2297   1.0   334.48   729.72   1.0   1.0  107.08   1.0  110.94  117.20   53.65    59.37  157.55   141.43   137.11   1.0   1.0   1.0   1.0   67.12
2298   1.0   445.28   517.49   1.0   1.0   78.08   0.0  141.07   40.16   28.17    94.49   91.80   102.51   163.76   1.0   1.0   1.0   1.0   38.47
2299   1.0   169.86   672.82   1.0   1.0  132.45   1.0  100.25   31.46  143.51   160.09   11.94    53.60    36.49   1.0   1.0   1.0   1.0   40.59
2300   1.0    56.32   569.69   1.0   1.0   27.45   0.0   44.24   77.61   75.99   180.29   85.24   117.93    57.95   1.0   1.0   1.0   1.0   42.57
2301   1.0   107.85   617.85   1.0   1.0   20.32   1.0   50.82   10.89  139.79    73.83   60.14   104.69    65.98   1.0   1.0   1.0   1.0   39.06
2302   1.0   216.70   240.88   1.0   1.0   87.38   1.0   60.03   57.99   29.23   120.19  128.57    60.69    89.99   1.0   0.0   1.0   1.0   32.73
2303   1.0   209.90   508.87   1.0   0.0   97.56   1.0   79.86   32.39   14.63   114.88   49.97    41.11    65.60   0.0   1.0   0.0   1.0   29.19
2304   1.0   134.10  1025.89   1.0   1.0  121.06   1.0   66.17   11.82    6.81    81.10   59.05    45.41    81.28   1.0   1.0   1.0   1.0   24.90
2305   1.0   122.42   862.15   1.0   1.0   97.38   1.0   25.99   17.10    6.80    70.29   60.72    56.59    46.30   1.0   1.0   1.0   1.0   29.58
2306   1.0    76.73  1273.46   1.0   1.0   46.38   1.0   46.71   89.34    4.75    86.11   73.02    61.24    95.53   1.0   1.0   1.0   0.0   36.01
2307   1.0   155.35   589.78   1.0   1.0  112.24   1.0   73.49   41.33   12.90   175.51   54.13   365.69    61.37   1.0   1.0   1.0   1.0   29.61
2308   1.0   104.82   263.00   0.0   1.0   70.80   1.0   86.62   39.43   11.53   105.59   84.83   231.08   166.26   1.0   1.0   1.0   1.0   30.10
2309   1.0   234.73   180.66   0.0   1.0   45.94   1.0   81.44    5.73   25.09   119.85   43.99    44.63   164.65   1.0   1.0   1.0   1.0   33.12
2310   1.0   118.26   349.54   1.0   1.0   29.53   1.0   76.82  178.19   21.36    93.25   50.67   317.05    94.94   1.0   1.0   1.0   1.0   36.07
2311   1.0   168.54   258.49   1.0   1.0   38.47   1.0  154.00   63.73   12.89   258.86   38.73   170.44    55.60   1.0   1.0   1.0   1.0   30.93
2312   0.0    60.00   246.08   1.0   1.0   84.70   1.0  152.58  191.75   23.76    83.36   33.76   154.96   225.50   1.0   1.0   1.0   1.0   40.49
2313   1.0    43.51   248.09   1.0   1.0   69.47   1.0   52.12  183.20   12.23   122.37   34.24   157.73   155.89   1.0   1.0   1.0   1.0   39.55
2314   1.0    74.37   554.05   1.0   1.0  138.51   1.0   30.04  166.97  389.72   131.52   26.15   138.41   107.73   0.0   1.0   1.0   1.0   30.28
2315   1.0    84.90   340.77   0.0   1.0   73.56   1.0   81.70  110.02  613.94   117.05   46.11   281.04   112.21   1.0   1.0   1.0   1.0   38.93
2316   1.0    74.19   495.83   1.0   1.0   87.59   1.0   46.55  113.44  260.40   128.27   20.85   223.16   156.90   1.0   1.0   1.0   1.0   36.54
2317   1.0   376.67   324.49   0.0   1.0  132.15   1.0   95.04   67.99   90.80   135.04   51.58    92.39    63.90   1.0   1.0   1.0   1.0   32.10
2318   0.0   561.77   323.91   1.0   0.0  141.43   1.0   71.39   71.04  167.97    88.56    7.71   112.94   142.90   1.0   1.0   0.0   1.0   30.17
2319   1.0   361.36  1454.96   1.0   1.0   31.00   0.0  123.20   68.85  212.61   135.54   35.60   406.54   176.57   1.0   1.0   1.0   1.0   41.05
2320   1.0   208.46   535.05   1.0   1.0   83.14   1.0   54.90  102.66  256.60    22.74   35.76   276.89   214.01   1.0   1.0   1.0   1.0   45.18
2321   0.0   131.96   238.00   1.0   1.0   84.05   1.0  116.59   59.21   63.31   167.41   35.97    59.72    75.21   1.0   1.0   1.0   1.0   25.07
2322   1.0   126.22   490.59   1.0   1.0  107.05   1.0   57.85   88.59  140.22   114.96   29.32   132.90    88.24   1.0   0.0   1.0   1.0   39.72
2323   1.0   371.09   662.40   1.0   1.0   85.26   1.0   41.95   63.91   25.08    88.55   70.00   159.11   108.25   1.0   1.0   1.0   1.0   71.61
2324   1.0    34.01   246.73   1.0   1.0  156.05   1.0   15.71   94.72   66.48   134.06  147.01   101.26    61.76   1.0   1.0   1.0   1.0   67.51
2325   1.0   200.27   444.23   0.0   1.0   25.58   1.0   35.36   45.49   15.96   231.98  110.20    80.51   102.32   1.0   1.0   1.0   1.0  156.75
2326   1.0   211.01   290.97   1.0   1.0   94.10   1.0   12.27   86.54   11.56   118.97   45.99   318.53    44.63   1.0   1.0   1.0   1.0   61.84
2327   1.0   276.20  1019.97   1.0   1.0   24.00   1.0   24.95   61.18   12.26   115.21   46.88   214.78   164.47   1.0   1.0   1.0   1.0   92.33
2328   1.0   221.75   973.49   1.0   1.0   26.78   1.0   30.56   99.13   12.20   102.04   74.21   160.81    53.56   1.0   1.0   1.0   1.0   71.41
2329   1.0    77.80   388.05   0.0   1.0   60.79   1.0   33.44  104.10   18.28    63.47   96.13   346.42   156.64   1.0   1.0   1.0   1.0   98.09
2330   1.0   191.55   487.59   1.0   1.0  179.85   1.0   65.61  132.18    7.78    92.33   72.93   264.67   120.72   1.0   1.0   1.0   1.0   36.51
2331   1.0   139.98   508.01   1.0   1.0   96.87   1.0    6.09   85.66   12.16    60.11   29.67    70.42   158.70   1.0   1.0   1.0   0.0   36.70
2332   1.0    68.02   475.32   0.0   1.0  112.35   1.0   40.35   62.54   21.28   148.08   52.74    46.76   147.67   1.0   1.0   1.0   1.0   32.22
2333   1.0   171.92   511.48   0.0   1.0  101.29   1.0  157.22   62.87   11.48    65.21   15.74   129.76    77.30   1.0   1.0   1.0   1.0  149.65
2334   1.0    99.99   562.75   1.0   1.0  117.65   1.0   74.65  155.33   29.71    55.68   95.30   143.95   230.69   1.0   1.0   1.0   1.0  112.95
2335   1.0   117.39   829.21   0.0   1.0   46.45   0.0  184.44   70.62   15.54    86.21   32.20   439.21    69.33   1.0   1.0   1.0   1.0   39.14
2336   1.0    80.46   280.84   1.0   1.0   72.75   1.0  129.37  144.63   13.86    87.78   19.45   279.35    43.04   0.0   1.0   1.0   1.0   43.63
2337   0.0    70.71   895.20   1.0   1.0   61.90   0.0   91.78  117.77   11.53    17.62   93.12    55.08   323.40   1.0   1.0   1.0   1.0   30.49
2338   1.0    65.80   610.50   1.0   1.0   96.53   1.0   36.45   91.63   81.69    42.45   50.23    91.15    31.79   1.0   1.0   1.0   1.0   83.97
2339   1.0    59.93   994.76   0.0   1.0   64.08   1.0  179.03   58.68  604.57    82.88    5.57   192.72    35.91   1.0   1.0   1.0   1.0   85.94
2340   1.0   116.83   616.70   1.0   1.0   46.15   1.0   76.20  177.96  290.38    75.61   34.38   206.93   121.03   1.0   0.0   1.0   1.0   28.66
2341   1.0    53.04  1021.51   1.0   1.0   35.13   1.0   37.66   69.38  273.68   110.37   37.00   175.55   176.20   1.0   1.0   1.0   1.0   42.70
2342   1.0   204.80   662.34   1.0   1.0  126.85   0.0   58.83   48.14  452.53   235.95   68.75   117.82   264.50   1.0   1.0   1.0   1.0   38.30
2343   1.0   182.96   426.55   1.0   1.0   53.69   1.0   76.75   79.04  284.56   161.38  116.74   198.86   104.40   1.0   1.0   1.0   0.0   33.18
2344   1.0   457.09   627.83   1.0   1.0   88.96   1.0   68.96   77.52  219.63    75.47   36.39   250.45   109.41   1.0   1.0   1.0   1.0   26.31
2345   1.0   328.71   858.15   1.0   1.0   46.26   1.0   97.47  122.73   63.58    46.47   70.43   207.26   104.20   1.0   1.0   1.0   1.0   55.60
2346   1.0   128.73   386.11   1.0   0.0   80.30   1.0   69.87   37.27   34.66   107.07   45.09   182.42    55.72   0.0   1.0   0.0   1.0   30.96
2347   1.0   301.32   861.90   1.0   1.0  103.93   1.0   74.10   49.77   64.65    89.08   32.60   189.92   126.38   1.0   1.0   1.0   1.0   66.28
2348   1.0   591.55   631.14   1.0   1.0  138.31   1.0   21.94   47.66   43.13   108.60  102.01   227.24    75.33   1.0   1.0   1.0   1.0   41.51
2349   1.0   162.08   674.77   1.0   1.0   98.50   1.0   86.45   62.61   34.07    70.90   27.85    77.88    58.52   1.0   1.0   1.0   1.0   36.09
2350   1.0   188.43   617.31   1.0   1.0   69.44   1.0   95.59  148.50   34.11   130.64   33.83   236.36    77.28   1.0   1.0   1.0   1.0   30.69
2351   1.0    99.13   585.34   1.0   1.0   75.79   1.0   43.43  110.36   21.31   196.26   34.06   157.26   162.51   1.0   1.0   1.0   1.0   28.72
2352   1.0   313.11   387.03   1.0   1.0   75.18   0.0   10.91   38.67   11.41    67.77   37.50   214.11   298.71   1.0   1.0   1.0   1.0  127.99
2353   1.0    39.89  1108.27   1.0   1.0  116.35   1.0   35.18   61.52    9.05    78.26   74.80   132.11   136.10   0.0   1.0   1.0   1.0   61.74
2354   1.0    90.50   712.79   1.0   1.0  102.86   1.0   85.70   82.17   12.06    65.34   24.47   160.02   182.45   1.0   1.0   1.0   1.0   39.61
2355   1.0   149.90   653.31   0.0   1.0   52.85   1.0   30.40  176.48   24.77    21.54   56.38    70.66    69.47   1.0   1.0   1.0   1.0  115.10
2356   1.0   183.02   355.24   1.0   1.0   51.85   1.0   92.21   92.80   15.73   166.89   17.85   114.68   157.99   1.0   1.0   1.0   1.0   80.80
2357   1.0   168.42   909.26   0.0   1.0   83.75   1.0  110.95    9.93   17.41   108.49    8.99    97.88   208.51   1.0   1.0   1.0   1.0   65.70
2358   1.0    69.12   957.99   1.0   1.0   47.09   1.0   82.36  123.37   27.79    24.94   14.21    96.35    46.72   1.0   1.0   1.0   1.0   77.08
2359   1.0   317.30   876.89   1.0   1.0  103.95   1.0  105.47   22.73   27.81   101.32   66.56    91.78    87.75   1.0   1.0   1.0   1.0   98.76
2360   1.0   129.42   568.11   1.0   0.0   94.20   0.0   68.13  118.22   68.13   505.22   64.51    90.51   181.47   0.0   1.0   0.0   0.0  122.43
2361   0.0    77.82   647.64   1.0   1.0   33.06   1.0  102.21   59.60  449.64   228.23   39.40   115.23   200.82   0.0   1.0   1.0   1.0  122.82
2362   1.0   142.93   549.35   1.0   1.0   66.32   1.0   64.32  271.97   81.65   130.12   56.23   111.10   234.60   1.0   1.0   1.0   0.0  175.76
2363   1.0    70.94  1210.59   1.0   1.0   64.33   1.0  124.13  129.00   68.93    86.49   26.88   197.39   149.53   1.0   1.0   1.0   0.0  151.13
2364   1.0   152.46   426.18   1.0   1.0   92.07   0.0   90.54   71.63   56.91    98.78   32.40   104.82    42.47   1.0   1.0   1.0   1.0  116.31
2365   1.0   141.67  1043.06   1.0   1.0   47.88   1.0   47.43   51.28   52.57   124.62   34.93   103.09    60.64   1.0   1.0   1.0   1.0   35.87
2366   1.0    78.53  1086.70   1.0   1.0   58.71   1.0   61.24  104.19  108.80   224.74   42.99   126.41   119.94   1.0   1.0   1.0   1.0   71.06
2367   0.0    82.33   579.64   1.0   1.0   42.78   1.0   48.94  157.38  179.69   318.83   61.99    31.81   123.39   0.0   1.0   1.0   1.0   52.92
2368   1.0   119.98   540.36   1.0   0.0   37.59   0.0   57.27   29.54   67.24   228.96   50.94    83.45    50.48   1.0   0.0   0.0   1.0   27.70
2369   1.0    74.42   180.17   1.0   1.0   78.80   1.0    7.85   88.04   15.65   613.67   30.83    57.64    95.07   1.0   1.0   1.0   1.0   62.40
2370   1.0    98.46   391.65   1.0   0.0   55.18   1.0   51.39   40.20   32.33   112.58   96.69   125.10    71.70   1.0   1.0   0.0   0.0   24.33
2371   1.0   242.19   697.79   1.0   1.0  111.99   1.0   72.29   66.50   21.02    71.63   34.59   222.12   121.48   1.0   1.0   1.0   1.0   31.31
2372   1.0   575.65   223.05   1.0   1.0  205.53   1.0   34.17   39.92   18.57   318.82   19.24   120.08    67.16   1.0   1.0   1.0   1.0   39.93
2373   1.0   374.07   751.05   1.0   1.0  415.98   1.0   40.65  186.87   23.19   191.06  136.58   161.89    41.91   1.0   1.0   1.0   1.0   33.74
2374   1.0   338.88   837.58   1.0   1.0  109.80   1.0   25.24  186.62   18.52   243.77   34.87   110.74   196.45   1.0   1.0   1.0   1.0   71.78
2375   1.0   152.75   487.60   1.0   0.0  104.89   1.0   29.99  107.30   38.67   453.93   38.46   322.47   117.79   1.0   1.0   0.0   1.0   31.13
2376   1.0    64.85   315.54   1.0   1.0  240.89   1.0   15.38   35.82   14.21   254.02   45.84    68.60   153.07   0.0   1.0   1.0   1.0   38.19
2377   1.0   219.22   493.05   1.0   1.0  125.49   0.0   36.97   31.37   15.57    71.20   64.66    77.28    95.10   1.0   1.0   1.0   1.0   35.36
2378   1.0   231.08   605.81   1.0   1.0   56.52   1.0   37.36   74.89  181.24   505.53   58.39    53.66   267.67   1.0   1.0   1.0   0.0   33.26
2379   1.0   666.59   543.85   1.0   1.0   90.44   1.0   43.31   56.59  271.71   193.18   24.72   209.07   185.05   1.0   0.0   1.0   1.0  101.57
2380   0.0   632.07   475.82   1.0   1.0  114.94   1.0   76.25  263.58  326.27   115.00   40.12    73.25   109.44   1.0   1.0   1.0   1.0   34.86
2381   1.0    48.65   498.88   1.0   1.0  232.37   1.0   70.56   44.77   85.28   253.94   18.64    66.55   214.76   1.0   1.0   1.0   1.0   76.47
2382   1.0   329.06  1161.94   1.0   0.0  126.09   1.0   63.06   65.80  174.41   216.17   27.00   131.27   168.85   1.0   0.0   0.0   0.0  130.46
2383   1.0   272.71  1007.45   1.0   1.0  201.83   1.0   42.53   62.43  138.63   302.10  118.35    95.54   185.45   1.0   1.0   1.0   1.0  192.85
2384   0.0   300.08   808.27   1.0   1.0   69.21   1.0   55.51   79.29  176.97   145.50   17.02   176.11    33.39   1.0   1.0   1.0   1.0  112.41
2385   1.0   186.13   552.04   1.0   0.0   18.84   1.0   53.90  123.11   34.09   116.62  108.84    63.33   223.17   1.0   1.0   0.0   1.0  217.14
2386   1.0   253.41   707.81   1.0   1.0  129.24   1.0   77.77   34.01   40.00   193.05   51.82    90.57    50.01   1.0   1.0   1.0   1.0   79.35
2387   1.0    56.53   311.31   1.0   1.0  139.28   1.0   33.96   64.20   40.03   140.75   41.76   101.50   247.49   1.0   0.0   1.0   1.0  124.87
2388   1.0   153.02   632.66   1.0   1.0   19.40   1.0   59.44   92.17   17.09    81.46   44.30    67.09    71.38   1.0   1.0   1.0   1.0   90.83
2389   1.0    74.06   348.72   0.0   1.0    8.51   1.0  159.82   52.98   29.62   108.45   66.07   187.49   251.35   1.0   1.0   1.0   1.0   68.09
2390   1.0    65.27   645.32   1.0   1.0   48.15   1.0   54.41   96.86   25.75   114.25   68.84   300.10    35.34   1.0   1.0   1.0   1.0  137.06
2391   1.0   112.00   303.13   1.0   1.0   70.99   1.0   85.13   61.37   33.86   218.18   21.55   216.76    91.99   1.0   1.0   1.0   1.0  126.74
2392   1.0    61.33   850.75   1.0   1.0  136.74   0.0   33.15   52.70   18.51    80.43   56.28   281.22    62.87   1.0   1.0   1.0   1.0  117.20
2393   0.0    56.43   517.61   1.0   1.0  293.95   1.0   22.49  109.40   40.32   114.31   36.17   290.29    41.71   0.0   0.0   1.0   1.0  134.58
2394   1.0   176.95   566.75   1.0   1.0   48.25   1.0   81.07  143.82  157.24   321.66   89.20   158.97   114.99   1.0   1.0   1.0   1.0   95.59
2395   1.0    90.35   583.87   1.0   1.0   27.37   0.0   23.89   95.60   34.77   317.74   30.12   213.36    51.16   1.0   1.0   1.0   1.0   36.06
2396   1.0    65.04   356.42   1.0   1.0   77.12   1.0   20.06   79.96  160.84   167.21   21.05    38.08   154.15   1.0   1.0   1.0   1.0   25.70
2397   1.0    83.40  1127.70   1.0   1.0   55.19   0.0   33.55  100.37   41.15   133.45   47.02   125.42   161.53   1.0   1.0   1.0   1.0   31.58
2398   1.0    50.38   843.55   1.0   1.0  146.45   1.0   37.90  141.03   58.82    52.87   29.74   156.66   117.72   0.0   1.0   1.0   0.0   35.02
2399   1.0    70.64   631.02   1.0   1.0  257.90   1.0   16.09  177.56   92.56   348.01   59.76   101.66    33.22   1.0   1.0   1.0   1.0   71.55
2400   1.0   113.56   659.98   1.0   0.0   63.74   1.0   56.75   31.02   33.43   416.05   29.69    84.34   147.32   1.0   1.0   0.0   1.0   33.38
2401   1.0   492.58   392.95   1.0   1.0   51.72   1.0   93.03   53.27   58.52   305.90   29.27   189.61   119.82   1.0   1.0   1.0   1.0   26.15
2402   0.0   358.17   162.46   1.0   0.0   87.37   1.0   28.39  121.79   52.12   188.45   24.07   240.98    77.75   1.0   1.0   0.0   1.0   35.11
2403   1.0   330.64   275.86   1.0   1.0   57.07   1.0   75.12   42.60   18.03   172.71   36.40    62.17   233.61   1.0   1.0   1.0   1.0   30.12
2404   1.0   424.01   840.91   1.0   1.0  172.29   1.0   37.56  142.85   14.99    98.47   61.82    41.12   245.10   1.0   1.0   1.0   1.0   34.24
2405   1.0   220.02  1039.13   1.0   1.0  152.44   1.0   83.10   44.81   18.78   107.62   41.56   228.53    37.11   1.0   1.0   1.0   1.0   41.10
2406   1.0   492.93   155.42   1.0   1.0  233.21   1.0   33.76  180.89   20.67    19.35   47.41   113.31   318.52   1.0   1.0   1.0   0.0   36.39
2407   1.0   462.35   110.20   1.0   1.0   79.77   0.0   61.58   15.53   37.18   209.56   39.77   176.91    88.90   1.0   1.0   1.0   1.0   42.31
2408   0.0   170.14   219.81   1.0   1.0   69.35   0.0  107.85   27.46   16.53   119.42   19.66   189.96    93.79   0.0   1.0   1.0   1.0   70.63
2409   1.0    55.46   293.49   1.0   0.0  130.54   1.0    9.50   89.88   17.83    74.52   79.52    57.61   168.91   1.0   1.0   0.0   1.0  100.39
2410   1.0   212.28   592.30   1.0   1.0  142.91   1.0   61.45   48.30   10.84   200.34   38.11   217.02   125.06   1.0   1.0   1.0   1.0  137.91
2411   1.0   125.69   395.38   1.0   0.0  179.59   1.0   68.94   64.14   16.38   124.80   50.16   323.09   136.36   1.0   1.0   0.0   1.0   73.42
2412   1.0   470.87   400.68   1.0   1.0  155.10   1.0   84.72   70.16   56.64   233.86   31.49   372.30    69.47   1.0   1.0   1.0   1.0  122.49
2413   1.0    71.20   608.32   1.0   1.0  115.07   1.0   58.38   27.89   28.92   218.97   16.47   257.38   108.69   1.0   1.0   1.0   1.0  201.92
2414   1.0    61.46   886.56   0.0   1.0   88.28   1.0   22.77   62.67   88.90    65.92  112.69   174.17    47.04   1.0   1.0   1.0   0.0  152.81
2415   1.0    80.02   254.66   1.0   1.0   70.43   0.0   24.42   44.50   25.12   222.08   95.93   137.46    55.47   1.0   1.0   1.0   1.0   64.95
2416   1.0   139.57   333.75   1.0   1.0  203.93   1.0   49.64   37.15   18.52   314.75   37.97   226.77   245.61   1.0   1.0   1.0   1.0   84.06
2417   1.0   209.85   327.94   1.0   1.0  168.43   1.0   47.35   33.79   55.86   354.15   61.26   101.82    57.71   1.0   1.0   1.0   1.0   57.49
2418   1.0    73.20   589.53   1.0   1.0   83.45   1.0   61.19  112.82   45.20   208.07   34.03   137.76   161.64   1.0   1.0   1.0   1.0  151.77
2419   1.0    71.23   549.14   1.0   1.0  120.58   1.0   49.86   98.99   31.71   362.77   44.75    27.98   423.80   1.0   1.0   1.0   0.0   98.58
2420   1.0   199.01   183.75   1.0   1.0  149.87   1.0  160.64   51.32   29.85   287.32   11.78   116.87   173.47   1.0   1.0   1.0   1.0   69.82
2421   1.0    82.89   656.68   1.0   1.0   94.96   0.0   38.68  128.53   13.52   203.85   56.20    82.00    67.03   1.0   1.0   1.0   1.0   50.62
2422   1.0   109.17   490.02   1.0   1.0  163.77   1.0   99.78   50.44   32.32   207.49   32.42    41.36   144.63   1.0   1.0   1.0   1.0   65.58
2423   1.0   118.85   541.19   1.0   1.0  105.93   1.0   46.16   68.50   35.02   154.96   16.81   134.15   305.52   1.0   1.0   1.0   0.0   29.03
2424   1.0    82.75   589.12   1.0   1.0   87.26   1.0   79.93   78.55   12.70   242.28   27.64    90.89   182.99   1.0   1.0   1.0   1.0   43.27
2425   1.0   132.31   565.05   0.0   0.0   77.67   1.0   27.22   46.60   14.55   356.03   42.88   156.93   169.68   1.0   1.0   0.0   1.0   75.35
2426   1.0    79.71   322.23   1.0   0.0   79.23   0.0   29.72  131.90   15.49   164.75   28.84    51.30    39.16   1.0   1.0   0.0   1.0   29.07
2427   0.0    50.50   588.30   1.0   1.0   73.77   1.0   41.67  127.36   73.20   132.98   45.40   274.16    88.22   1.0   1.0   1.0   1.0   66.94
2428   1.0    58.20   401.05   1.0   1.0  136.14   1.0   61.83   47.74   70.36    79.72   35.56   243.91   169.69   1.0   1.0   1.0   1.0   64.87
2429   1.0    70.73   391.33   1.0   1.0   36.53   1.0   66.35   37.34   65.41   406.64   50.80   198.97    45.55   1.0   1.0   1.0   1.0   78.54
2430   1.0   185.06   364.09   1.0   1.0  145.95   1.0   62.11  126.43   62.00   261.96   69.02   245.03    88.55   1.0   1.0   1.0   1.0   55.92
2431   1.0    68.55  1179.76   1.0   1.0  165.33   1.0    0.71   19.36   26.86   408.00   48.37   176.26    42.72   1.0   1.0   1.0   1.0   23.00
2432   1.0   113.13   714.12   1.0   1.0  196.11   1.0   63.95   33.26   17.09   652.13   29.16   186.41   153.13   0.0   1.0   1.0   1.0   22.67
2433   1.0    98.76   418.39   1.0   1.0   43.87   1.0   69.00   33.91   20.75   440.78   45.86   134.86    86.40   1.0   0.0   1.0   1.0   27.58
2434   1.0   200.70   661.61   1.0   1.0   43.17   1.0   39.26   38.29   40.59   351.78  100.72   252.08    46.46   1.0   1.0   1.0   1.0   31.34
2435   1.0   281.52   646.75   1.0   1.0  101.09   0.0   51.49   17.51   46.10    76.23   62.94   114.44   102.49   1.0   1.0   1.0   1.0   31.63
2436   1.0   316.82   613.63   1.0   1.0  145.11   1.0   21.39   44.19   19.25   264.42   30.11   243.26    87.39   1.0   1.0   1.0   1.0   89.51
2437   1.0    57.40   663.99   1.0   1.0  225.69   1.0   46.14   57.01   14.14   516.76   18.83   197.61   278.81   1.0   1.0   1.0   1.0   58.20
2438   1.0   416.76   240.08   1.0   1.0   68.30   1.0   50.02   74.37   15.02   393.76   45.81    44.01   307.46   1.0   0.0   1.0   1.0   84.63
