      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
40     1.0    89.16   249.17   1.0   1.0   98.26   1.0   46.93   33.30   15.52   211.12   32.71    71.87    59.49   1.0   1.0   1.0   1.0   27.83
41     1.0    65.19   237.65   0.0   1.0  126.05   1.0   80.12   68.83   20.05    92.70   50.73   194.41    67.75   1.0   1.0   1.0   1.0   59.20
42     1.0   122.48   192.22   1.0   1.0  113.87   1.0   48.19  148.50   26.55   236.71   28.50    82.30    49.21   1.0   0.0   1.0   1.0   24.47
43     1.0    94.46   294.17   1.0   1.0   68.02   1.0   38.88  207.55   12.21    43.66   38.21   185.85    90.18   1.0   1.0   1.0   1.0   29.15
44     1.0    58.33   357.34   1.0   1.0  106.97   1.0   35.37   30.66   30.21   155.73   22.46    49.54    42.15   1.0   1.0   1.0   1.0   77.16
45     1.0    44.28   380.32   1.0   1.0   34.48   1.0   43.88   50.17   27.27   117.16   43.74    91.32    82.15   1.0   1.0   1.0   1.0   27.22
46     1.0    35.03   373.81   1.0   1.0   73.75   1.0   45.13   50.49   26.94   119.02   18.13    40.36   197.21   1.0   1.0   1.0   1.0   34.09
47     1.0    63.13   288.05   1.0   1.0   82.21   0.0   55.71   11.22   50.65   195.22   42.52    78.08    38.89   1.0   1.0   1.0   1.0   81.42
48     1.0   119.38   570.85   1.0   0.0   46.81   1.0   78.62   66.89   19.29    95.55   32.38    24.88    65.72   1.0   1.0   0.0   1.0   28.33
49     1.0    79.33   790.08   0.0   1.0  107.05   1.0   23.78   46.29   46.47    70.42   17.50    55.11    68.38   1.0   1.0   1.0   1.0   33.47
50     1.0    47.24   974.02   1.0   1.0   81.96   1.0   32.98   83.53   27.08   139.46   23.41    76.73    53.23   1.0   1.0   1.0   1.0   23.71
51     1.0    81.48   337.12   1.0   1.0  115.13   1.0   18.66  122.68   19.13    36.50   57.10   161.98   127.52   1.0   1.0   1.0   0.0   45.70
52     1.0    42.28   321.20   1.0   1.0   86.75   1.0   62.12   32.31   26.98    46.46   44.75    69.11    35.43   1.0   1.0   1.0   1.0   36.28
53     1.0    99.13   278.43   1.0   1.0   39.66   1.0   20.94   61.06   25.45    47.93   39.87    62.20    44.11   1.0   1.0   1.0   1.0   33.03
54     1.0    51.13   590.73   0.0   1.0   64.57   1.0   55.16   67.10   17.24    40.58   12.49    78.30    64.55   0.0   1.0   1.0   1.0   69.85
55     1.0    51.19   629.84   1.0   1.0   47.32   1.0   57.27   33.25   27.42   104.70   44.97    40.51    51.40   1.0   1.0   1.0   1.0   55.79
56     1.0    69.32   334.83   1.0   1.0  139.78   1.0   53.31   43.40   19.39    83.21   72.91   102.99    72.45   1.0   1.0   1.0   1.0   26.78
57     1.0    85.47   366.49   1.0   1.0  139.97   1.0   22.97   70.15    9.58    58.23   59.65    63.31   129.81   1.0   1.0   1.0   0.0   41.36
58     1.0   108.69   406.22   1.0   1.0   65.00   1.0   61.61   43.28    5.57    54.74   10.52   135.53   108.72   0.0   1.0   1.0   1.0   29.74
59     1.0    85.61   521.61   1.0   1.0   99.79   1.0   26.82  104.28   16.14    98.39   40.43    46.62   104.94   1.0   1.0   1.0   1.0   38.15
60     1.0   106.34   893.87   1.0   1.0  115.77   1.0   13.20   86.36   12.99   139.53   42.69   207.55    52.88   1.0   1.0   1.0   1.0   42.26
61     1.0    41.18   430.42   1.0   1.0   89.60   1.0   96.43   42.76   11.19   135.17   41.93    84.88   155.22   0.0   1.0   1.0   1.0   30.54
62     1.0    62.33   393.13   1.0   1.0   57.33   1.0   82.83   60.70   13.09    32.03   33.26    91.11    94.87   1.0   1.0   1.0   1.0   42.97
63     1.0    70.28   746.46   1.0   1.0   47.71   1.0   37.56   77.36   22.52    81.58   18.75    77.09    75.98   0.0   0.0   1.0   0.0   39.07
64     1.0   155.79   427.13   1.0   1.0   58.78   1.0   53.70   13.59   12.65   143.07    7.80    68.53    77.83   1.0   1.0   1.0   1.0   29.03
65     1.0    69.42   248.11   1.0   1.0   36.25   1.0   19.57   68.48   17.05    55.85   23.75    22.13   119.32   1.0   1.0   1.0   1.0   28.92
66     1.0    70.49   442.27   1.0   1.0   41.11   1.0   31.97   49.92   20.43   101.11    4.01    76.54    99.32   1.0   1.0   1.0   1.0   22.44
67     1.0    61.48   665.42   1.0   1.0   74.45   1.0   46.56   31.00   42.74    96.71   27.79    39.42    99.34   1.0   1.0   1.0   1.0   34.98
68     1.0    98.49   227.15   1.0   1.0   27.84   1.0   72.97    7.87   46.25   134.63   48.77    14.87   106.59   1.0   1.0   1.0   1.0   34.88
69     1.0    82.50   974.57   1.0   1.0   43.55   1.0   44.00   96.52   22.56   132.18    5.97    55.80   155.86   1.0   1.0   1.0   1.0   35.77
70     1.0    99.71   237.41   1.0   1.0   73.92   1.0   33.88   24.89   15.61   125.15   10.75    44.12   107.78   1.0   1.0   1.0   0.0   27.17
71     1.0    55.44   566.24   1.0   1.0   37.85   1.0   33.87   90.71   16.54    98.74   33.63    34.27    87.23   1.0   1.0   1.0   1.0   34.51
72     1.0    40.36   280.28   1.0   1.0  208.73   0.0   62.90   28.90   34.48   143.53   22.12    69.72    54.92   1.0   1.0   1.0   1.0   47.20
