         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l           FP        SIGFP        FCalc      PHICalc
       -17          3         20     185.46        24.01       189.54        -1.66
       -17          3         21     325.50        36.73       430.28         1.92
       -17          3         22      13.89       302.57       362.31         2.26
       -17          3         23     168.74        31.98       119.19         2.00
       -17          3         24     222.25        16.92       154.47        -2.16
       -17          3         25     132.39        76.75       294.83         1.26
       -17          3         26     418.16        24.51       374.83         2.71
       -17          3         27     390.86        26.75       327.30        -2.58
       -17          3         28     180.68        45.36       153.43        -2.74
       -17          3         29     272.64        31.56       344.06         2.79
       -17          3         30     271.18        33.76       172.15        -2.24
       -17          3         31     251.92        35.93       166.00        -1.80
       -17          4          1     382.78         7.43       658.00        -0.09
       -17          4          2     229.24        18.39       171.01        -1.05
       -17          4          3     240.30        13.31       446.38         0.28
       -17          4          4     359.39         9.79       611.29         2.37
       -17          4          5     238.47        10.96       302.45         1.36
       -17          4          6     225.18        10.97       225.51        -0.39
       -17          4          7     468.75        11.36       498.54         0.24
       -17          4          8     595.95         5.09       769.71         2.03
       -17          4          9     615.77         3.91       746.51         0.49
       -17          4         10     531.82         5.09       531.81        -1.74
       -17          4         11     283.58         8.61       368.66        -1.36
       -17          4         12     219.31         8.60       324.70         1.74
       -17          4         13     210.96        10.94       478.84         3.11
       -17          4         14     724.49        10.15       873.42        -1.40
       -17          4         15     359.97         8.19       346.74        -2.23
       -17          4         16     519.34         8.18       588.60        -0.66
       -17          4         17     833.60         8.56       988.99        -2.35
       -17          4         18     673.60        20.21       539.92        -3.02
       -17          4         19     401.75        26.01       399.56         1.09
       -17          4         20     484.11        23.26       352.08         1.94
       -17          4         21     202.79        18.96       256.69        -3.09
       -17          4         22     391.75        26.27       573.58        -2.86
       -17          4         23     286.93        33.17       326.03        -0.44
       -17          4         24     344.12        26.94       252.75        -1.47
       -17          4         25     167.11        48.79       189.87         1.57
       -17          4         26     365.32        27.98       128.05         0.68
       -17          4         27      85.29        95.24       282.30        -2.62
       -17          4         28     344.96        29.00       273.69         3.04
       -17          4         29     189.18        45.68       325.34        -1.41
       -17          4         30     140.48        62.27       135.10        -0.24
       -17          4         31     119.28        73.84       177.28        -1.00
       -17          5          1     135.47        44.63       341.21         1.25
       -17          5          2     296.54         7.83       453.61         3.05
       -17          5          3     346.44         7.05       402.17        -0.45
       -17          5          4     272.85        14.11       384.94        -0.80
       -17          5          5     629.34        12.16       872.90         3.09
       -17          5          6     356.07        18.82       360.91         0.86
       -17          5          7     271.36         9.41       349.98         0.13
       -17          5          8     436.40         6.67       475.09        -0.55
       -17          5          9     242.65         6.66       196.53         1.32
       -17          5         10     590.54         6.66       702.14         0.22
       -17          5         11     121.03         7.44       107.05         1.29
       -17          5         12     153.45         5.87       221.01         1.38
       -17          5         13     483.12         7.82       608.26        -0.37
       -17          5         14     528.48        10.94       770.52         0.27
       -17          5         15     552.60        12.89       704.03        -1.43
       -17          5         16     157.23        13.65       166.72         2.87
       -17          5         17     621.96        19.48       568.22        -2.16
       -17          5         18     363.92        26.47       439.22        -2.42
       -17          5         19     401.52        26.04       465.76         2.36
       -17          5         20     416.46        22.12       329.00         1.73
       -17          5         21     403.02        26.35       410.81         2.47
       -17          5         22     550.91        21.28       379.82        -1.44
       -17          5         23     334.05        34.37       246.66         1.84
       -17          5         24     269.43        31.99       339.60         0.70
       -17          5         25     378.52        26.93       351.41         2.68
       -17          5         26     179.26        47.98       128.18         2.21
       -17          5         27      62.05       126.39       162.24         0.85
       -17          5         28     348.87        31.72       357.74        -1.84
       -17          5         29     280.16        36.59       207.52        -0.18
       -17          5         30     252.45        38.40       279.30        -0.87
       -17          5         31     227.13        41.33       267.01         0.60
       -17          6          1     475.32         9.02       612.53         0.33
       -17          6          2     211.89        19.62       226.25        -0.44
       -17          6          3     160.56        25.52       189.14         0.69
       -17          6          4     494.78        15.31       592.31         2.80
       -17          6          5     300.46        14.14       260.20        -1.22
       -17          6          6      53.03        31.42       570.37         1.74
       -17          6          7     444.25         8.64       372.49         1.45
       -17          6          8      62.05        25.92        74.31         1.91
       -17          6          9     313.34         6.28       347.16         0.41
       -17          6         10     686.90         5.89       793.32         1.36
       -17          6         11     459.43         5.49       683.36         2.48
       -17          6         12     350.55        24.31       338.20         1.85
       -17          6         13     432.21         9.80       540.50        -0.06
       -17          6         15     325.07        14.08       495.81        -1.50
       -17          6         16     305.99        15.24       353.62         0.55
       -17          6         17     306.42        33.18       345.34        -2.96
       -17          6         18     402.73        28.46       343.58        -2.54
       -17          6         19     387.40        26.09       419.52        -2.51
       -17          6         21     401.37        24.07       311.07        -2.63
       -17          6         22     372.41        29.06       330.51        -0.94
       -17          6         23     304.05        35.20       279.18        -2.73
       -17          6         24     231.27        41.31       213.30         1.96
       -17          6         25     358.34        27.74       281.43        -2.79
       -17          6         26      96.13        83.82        41.41         2.42
       -17          6         27     167.27        53.71       119.23         2.02
       -17          6         28     460.83        25.64       436.35         0.70
       -17          6         29     344.77        32.07       272.00        -0.21
       -17          6         30     178.61        54.84       104.77        -0.02
       -17          7          1     485.30        11.79       533.66         1.53
       -17          7          2     426.98        12.58       574.83        -2.99
       -17          7          3     343.38        13.37       286.82        -1.23
       -17          7          4     320.67         9.84       518.48        -2.99
       -17          7          5     133.02        24.79        82.18         1.25
       -17          7          6     244.41        19.68       402.40         1.79
       -17          7          7     214.10        13.38       279.09        -1.18
       -17          7          8     706.76         7.48       726.30        -1.68
       -17          7          9     566.93        10.23       649.50        -2.08
       -17          7         10     690.62        11.01       799.80         2.81
       -17          7         11     658.07        16.51       752.20        -1.11
       -17          7         12     570.47        11.79       493.38        -2.77
       -17          7         13     464.86        24.74       395.96         1.81
       -17          7         14     750.88         9.42      1045.77         1.45
       -17          7         15     505.23         9.80       549.56        -0.17
       -17          7         16     440.50        16.84       301.71        -2.34
       -17          7         17     368.83        11.73       477.50         2.60
       -17          7         18     429.31        27.34       380.64         1.90
       -17          7         19     126.40        67.10       544.52        -1.92
       -17          7         20     371.24        26.88       340.09        -0.20
       -17          7         21     439.88        24.11       502.37        -1.24
       -17          7         22     216.27        41.16       168.36        -0.76
       -17          7         23     227.51        37.98       169.28        -2.41
       -17          7         24     314.90        35.59       253.64        -0.13
       -17          7         25     212.34        41.70       272.95        -0.91
       -17          7         26     266.21        33.90       174.51         2.98
       -17          7         27     475.50        23.83       416.83         1.90
       -17          7         28     419.93        28.38       312.51         2.47
       -17          7         29     292.28        34.05       261.55         2.45
       -17          7         30     189.26        50.75       277.92        -2.00
       -17          8          2     262.05        11.43       206.33        -0.57
       -17          8          3     521.56        17.74       463.34         1.43
       -17          8          4     455.87        10.65       492.54        -1.63
       -17          8          5     285.96        22.48       311.36         1.25
       -17          8          6     228.00        27.22       228.40         1.46
       -17          8          7     319.52         9.86       388.81         0.16
       -17          8          8     659.46        14.99       489.92        -0.20
       -17          8          9     333.99        19.72       205.59        -0.72
       -17          8         10     499.83        24.83       400.55        -2.44
       -17          8         11     317.57        40.98       356.97         1.04
       -17          8         12     589.49        13.78       770.55        -1.67
       -17          8         13      84.21        46.43       473.89        -1.29
       -17          8         14     518.24        22.02       650.76         2.69
       -17          8         15     349.24        19.64       404.37         2.25
       -17          8         16     244.10        23.15       239.95         0.52
       -17          8         17     234.81        39.59       245.04        -2.46
       -17          8         18     122.16        34.45       192.55         1.30
       -17          8         19     488.36        24.24       442.16        -0.24
       -17          8         20     504.05        23.43       477.96        -0.32
       -17          8         21     196.86        46.78       173.80        -0.02
       -17          8         22     315.22        32.30       224.17         0.11
       -17          8         23     133.63        62.54       156.21        -1.96
       -17          8         24     271.41        34.12       307.33         0.80
       -17          8         25     350.97        30.57       321.25         0.63
       -17          8         26     227.43        42.86       181.41         0.39
       -17          8         27     125.60        75.13       116.59        -1.15
       -17          8         28     174.12        52.66       307.54        -1.32
       -17          8         29     354.67        32.21       388.52        -1.04
       -17          9          1     492.39         9.87       499.52         0.40
       -17          9          2     235.07        18.17       228.04        -3.02
       -17          9          3     326.08        12.65       286.74         2.95
       -17          9          4     519.91        20.16       388.97        -1.24
       -17          9          5     325.06        10.28       516.06        -1.28
       -17          9          6     123.00        20.17       197.06         2.27
       -17          9          7     458.76        11.47       460.04        -3.12
       -17          9          8     366.57        10.28       347.83        -2.95
       -17          9          9      63.65        35.98       446.73        -2.33
       -17          9         10     348.57        25.29       354.62         3.10
       -17          9         11     526.96        28.44       499.01         2.64
       -17          9         12     225.43        20.13       168.61         0.33
       -17          9         13     182.67        50.10       295.33        -0.04
       -17          9         14     188.83        61.10        96.04        -0.92
       -17          9         15     344.63        13.39       272.07        -1.62
       -17          9         18     303.82        48.67       267.49         1.13
       -17          9         19     360.65        28.62       343.36         2.50
       -17          9         20     400.83        27.01       407.23         1.93
       -17          9         21     271.23        32.05       156.23         1.39
       -17          9         22     368.32        26.53       410.43         1.92
       -17          9         23     213.82        44.40       295.04         2.59
       -17          9         24     219.63        44.70       348.06        -2.97
       -17          9         25     256.82        40.35       313.05         1.71
       -17          9         26     257.44        37.16       181.11         1.60
       -17          9         27     194.29        47.12       192.91         1.21
       -17          9         28     190.76        51.25        87.49        -0.55
       -17         10          1     359.57         9.50       461.01         2.81
       -17         10          2     229.41        17.83       384.18         0.48
       -17         10          3     266.77        14.27       392.69        -3.11
       -17         10          4     361.62        10.31       254.51         0.12
       -17         10          5     448.54        10.71       457.04         0.50
       -17         10          6     432.33        12.69       547.49         0.26
       -17         10          7     314.92        11.11       386.58        -1.26
       -17         10          8     458.83        10.71       375.61        -2.50
       -17         10          9     298.94        14.67       335.56        -1.34
       -17         10         10     143.08        27.74        98.64        -0.79
       -17         10         11     325.25        34.07       428.40        -1.93
       -17         10         12     275.57        17.42       447.84        -2.82
       -17         10         13     169.74        24.93       190.80         2.96
       -17         10         14     244.72        17.00       132.43         2.73
       -17         10         15     210.93        27.65       263.46        -0.65
       -17         10         16     263.98        32.75       192.84        -1.59
       -17         10         17     229.79        21.68       284.07         0.05
       -17         10         18     212.58        66.53       139.43         1.47
       -17         10         19     385.27        37.35       265.31        -2.19
       -17         10         20     423.58        26.30       340.24         2.48
       -17         10         21     214.01        40.37       185.89         1.54
       -17         10         22     277.82        34.43       237.73        -2.02
       -17         10         23     106.63        80.46       323.49        -1.96
       -17         10         24     204.28        48.34       216.59        -0.89
       -17         10         25     192.98        47.08       259.65         1.62
       -17         10         26     166.95        74.16       162.20        -1.11
       -17         11          1      90.18        30.59       186.14        -0.33
       -17         11          2     258.36        12.72       194.42         2.92
       -17         11          3     210.75        18.69       238.17        -1.72
       -17         11          4     219.97        14.72       233.57         2.94
       -17         11          5     272.53        15.91       270.23         1.49
       -17         11          6     449.22         9.95       446.92         0.94
       -17         11          7     342.58        10.74       359.98        -0.02
       -17         11          8     214.43        19.49       427.63        -1.77
       -17         11          9     292.74        15.91       261.49        -2.79
       -17         11         10     143.54        45.72       255.68        -2.79
       -17         11         11     182.42        29.81       223.02         1.31
       -17         11         12     500.07        27.80       413.08        -2.74
       -17         11         13      90.10        44.46       137.43         2.13
       -17         11         14     122.95        32.92       192.64        -0.65
       -17         11         15     307.10        25.76       234.30        -0.44
       -17         11         16     129.44        38.79       173.44        -0.37
       -17         11         17     366.54        15.42       309.45        -0.06
       -17         11         18     171.00        52.92       175.62         2.48
       -17         11         19     159.73        28.00       185.14         0.84
       -17         11         20     369.40        22.05       285.05        -3.12
       -17         11         21     296.47        33.03       236.09         2.27
       -17         11         22     293.23        34.94       169.75        -0.50
       -17         11         23     178.68        52.90       230.12        -1.09
       -17         11         24     204.15        46.54       170.47         0.49
       -17         12          1     182.18        25.11       196.62         1.97
       -17         12          2     283.59        16.75       215.82         2.77
       -17         12          3     404.22        11.57       419.67         3.10
       -17         12          4     304.16        15.57       385.36         1.12
       -17         12          5     295.84        11.98       223.19         0.95
       -17         12          6     178.48        20.76       162.01         0.36
       -17         12          7     130.16        22.36        90.98        -0.01
       -17         12          8     226.76        27.55       138.90        -1.35
       -17         12          9     357.22        15.17       503.86        -1.65
       -17         12         10     291.66        41.89       320.65        -0.37
       -17         12         11     152.74        65.01       102.93        -1.74
       -17         12         12     341.19        14.35       323.22         0.51
       -17         12         13      78.47        73.69       209.06         2.96
       -17         12         14     118.20        43.38        50.50         1.09
       -17         12         15     244.94        33.40       173.21        -0.03
       -17         12         16     164.06        32.57       190.59        -0.10
       -17         12         17     264.26        43.65       272.84         1.41
       -17         12         18     214.00        22.19       251.23        -2.12
       -17         12         19     176.51        39.18       131.30         2.89
       -17         12         20     314.57        35.96       325.46         0.50
       -17         12         21     260.81        41.04       360.42        -0.79
       -17         12         22     354.91        33.48       252.45        -2.30
       -17         13          1     121.25        30.81       180.13        -1.47
       -17         13          2     217.00        19.62        80.38         2.87
       -17         13          3     122.97        34.05       229.09         2.49
       -17         13          4     181.11        20.84       295.40         2.83
       -17         13          5     240.05        18.43       202.40         2.59
       -17         13          6     182.76        18.04       140.17        -2.00
       -17         13          7     345.08        20.84       307.07        -2.28
       -17         13          8     298.95        51.29       209.39         2.01
       -17         13          9     371.80        18.43       388.66         0.19
       -17         13         10     336.83        18.42       303.39         1.71
       -17         13         11     306.25        28.82       425.35         1.30
       -17         13         12     236.06        20.80       271.90         2.98
       -17         13         13     341.85        17.59       352.82        -1.05
       -17         13         14     202.15        47.54       247.63        -2.32
       -17         13         15     148.48        53.09       247.84         2.30
       -17         13         16     431.44        16.75       257.97         1.61
       -17         13         17     281.59        19.91       210.09         3.01
       -17         13         18     101.44        45.35       143.31        -2.83
       -17         13         19     249.48        46.08       216.58         0.84
       -17         13         20     216.59        45.62       181.05         1.81
       -17         14          2      74.37        50.25       214.67         0.92
       -17         14          3     237.69        19.31       221.58        -1.86
       -17         14          4     257.48        14.89       169.99         1.23
       -17         14          6     114.29        41.45       124.39         1.52
       -17         14          7     278.48        18.51       354.12        -0.67
       -17         14          8     448.66        14.89       388.22        -1.89
       -17         14          9     250.63        29.77       297.95        -2.23
       -17         14         10     358.31        16.89       294.85         2.60
       -17         14         11     342.87        30.55       149.71         0.57
       -17         14         12     301.70        19.28       366.25        -0.46
       -17         14         13     264.16        26.10       318.12        -2.05
       -17         14         14     349.40        28.88       370.19        -1.00
       -17         14         15     153.90        36.47       269.38        -0.28
       -17         14         16      87.68        92.09       262.25         3.09
       -17         14         17     335.94        34.39       318.94        -2.74
       -17         14         18      57.12       161.77        80.56        -0.26
       -17         15          1     179.99        25.83       156.97         2.00
       -17         15          2     172.42        21.40       186.96         0.86
       -17         15          3     418.50        12.52       369.52         0.85
       -17         15          4     171.33        30.31       163.85        -2.98
       -17         15          5     233.21        17.78       178.68         2.21
       -17         15          6     355.30        20.21       170.19        -2.39
       -17         15          7     221.10        53.76       244.47         0.61
       -17         15          8     207.33        26.67       216.78         0.03
       -17         15          9     200.01        29.90       172.95         1.56
       -17         15         10      77.15        66.24       230.27        -2.30
       -17         15         11     278.98        21.80       137.27         1.96
       -17         15         12     296.58        29.05       211.19         1.03
       -17         15         13      83.07        62.50       246.14        -0.97
       -17         15         14     101.13        49.16       173.90        -0.12
       -17         15         15     309.96        41.46       239.72         0.54
       -17         16          1     211.25        21.49       197.13         0.04
       -17         16          2      88.85        43.41        76.19         0.81
       -17         16          3     199.28        58.44       308.66         1.85
       -17         16          4      92.16        53.18       141.42         1.43
       -17         16          5     301.71        20.30       256.30         2.46
       -17         16          6     136.86        38.58       216.36        -0.21
       -17         16          7     147.82        74.32       282.73         2.38
       -17         16          8     194.10        31.27        93.98         2.45
       -17         16          9     195.27        46.69       232.03        -3.04
       -17         16         10      81.98        64.53       338.51         1.62
       -17         16         11     158.20        44.21        49.14        -0.07
       -17         16         12     170.27        34.46       105.33        -2.06
       -17         17          1     129.18        63.16       156.37         2.38
       -17         17          2      46.89       121.09       117.67        -2.66
       -17         17          3     202.32        28.14       332.00        -3.06
       -17         17          4      55.08       143.22       258.16        -2.76
       -17         17          5     107.74        48.97       119.36        -0.38
       -17         17          6      76.32       104.08       115.78         1.84
       -17         17          7     146.93        36.73       183.47        -2.82
       -17         17          8     251.39        43.67       253.65        -3.03
       -17         17          9      35.50       259.49       133.20         2.89
       -16          0          1     448.35        13.65       516.65         0.00
       -16          0          2     455.99        13.26       467.45         3.14
       -16          0          3     172.87        19.90        60.01         3.14
       -16          0          4     322.41         9.37       472.94         0.00
       -16          0          5     209.64        10.15       165.41         0.00
       -16          0          6     521.59        15.62       543.10         3.14
       -16          0          7     341.59         9.76       356.16         3.14
       -16          0          8     629.59         9.76       839.29         0.00
       -16          0          9     222.81        11.32       384.53         3.14
       -16          0         10     324.92         7.41       356.47         3.14
       -16          0         11     350.10        13.65       595.58         3.14
       -16          0         12     468.33        12.47       638.19         0.00
       -16          0         13     269.43        22.58       410.99         0.00
       -16          0         14     541.91        10.89       597.98         3.14
       -16          0         15     254.57        22.54       288.71         3.14
       -16          0         16      41.93       118.80       565.75         3.14
       -16          0         17     549.51        15.90       265.66         3.14
       -16          0         18     201.40        30.21       160.89         0.00
       -16          0         19     344.99        22.05       325.72         3.14
       -16          0         20     389.28        21.24       275.09         3.14
       -16          0         21     820.10        18.12       677.70         0.00
       -16          0         22     681.66        18.48       746.63         0.00
       -16          0         23     401.49        21.90       170.59         3.14
       -16          0         24     439.82        20.71       252.62         0.00
       -16          0         25     318.38        26.02       143.75         3.14
       -16          0         26     201.23        35.89        46.87         0.00
       -16          0         28     342.44        24.70       304.38         0.00
       -16          0         29     241.50        29.57       208.18         3.14
       -16          0         30     321.41        27.23       102.77         3.14
       -16          0         31     208.54        36.96       165.39         0.00
       -16          1          1     297.91        10.92       522.97         0.74
       -16          1          2     283.62         7.41       390.56         1.86
       -16          1          3     547.56         6.63       704.56         2.84
       -16          1          4     423.57         7.03       593.86         2.66
       -16          1          5     427.93         5.86       510.33         2.41
       -16          1          6     625.53         6.64       730.80         2.26
       -16          1          7     324.85        15.23       382.78         2.24
       -16          1          8     126.87        15.62        17.68         0.23
       -16          1          9     352.81         6.63       541.97        -1.10
       -16          1         10     223.93         7.80       308.52         1.77
       -16          1         11     597.76         7.80       547.20         2.83
       -16          1         12     369.81         8.96       375.92         1.02
       -16          1         13     526.48        10.51       613.09        -0.28
       -16          1         14     682.84         7.78       972.96        -0.78
       -16          1         15     600.96         8.16       440.21         1.05
       -16          1         16     664.00         8.93       734.36        -0.93
       -16          1         17     196.64        22.50       386.54        -2.98
       -16          1         18     432.29        10.85       385.27         2.77
       -16          1         19     820.45        11.60       814.29        -2.81
       -16          1         20     592.11        12.36       571.55        -2.57
       -16          1         21     443.47        19.67       494.80         2.38
       -16          1         22     449.64         9.62       493.71         2.01
       -16          1         23     545.26         9.99       527.67         2.87
       -16          1         24     309.50        14.57       397.03         1.17
       -16          1         25     366.27        15.31       259.57        -2.90
       -16          1         26     300.56        19.10       259.18         1.70
       -16          1         27     268.63        19.05       230.13         0.57
       -16          1         28     359.60        14.44       313.27         1.80
       -16          1         29     301.83        16.30       277.86         2.52
       -16          1         30     375.17        17.40       215.25         2.26
       -16          1         31      60.35       125.22       271.14        -2.70
       -16          2          1     279.71         8.97       468.87        -0.75
       -16          2          2     277.11         6.24       689.56         1.90
       -16          2          3     365.07         6.25       251.39         2.84
       -16          2          4     693.25        14.45       802.53         3.12
       -16          2          5     342.19         7.42       570.42        -2.48
       -16          2          6     438.31         6.64       426.57        -3.14
       -16          2          7     533.59         8.20       562.45        -1.28
       -16          2          8     390.95        12.50       336.95        -2.37
       -16          2          9     165.16         6.64       347.56        -1.89
       -16          2         10     334.10         7.42       189.62        -1.75
       -16          2         11     343.29         7.80       500.30        -2.40
       -16          2         12     397.27        12.87       368.40        -2.90
       -16          2         13     478.02         6.23       510.44         0.96
       -16          2         14     673.81         7.01       576.26        -0.39
       -16          2         15     619.90         9.72       807.44        -3.10
       -16          2         16     726.08        13.99       607.64         1.24
       -16          2         17     648.01         8.92       431.53        -1.59
       -16          2         18     509.61         8.91       239.24         0.38
       -16          2         19     418.35        10.06       244.00        -0.52
       -16          2         20     324.21        11.59       320.89        -2.36
       -16          2         21     197.14        17.75       362.71        -1.24
       -16          2         22     482.19        16.95       462.96        -1.43
       -16          2         23     624.32        19.22       650.33        -2.07
       -16          2         24     469.25        13.43       468.32        -2.94
       -16          2         25     453.74        12.25       492.05         2.61
       -16          2         26     240.32        17.58       190.00         3.10
       -16          2         27     371.30        28.59       299.39         2.37
       -16          2         28     200.42        20.54       236.20         1.39
       -16          2         29     192.33        25.80       102.40        -0.31
       -16          2         30     429.07        23.08       370.19         2.74
       -16          2         31     323.76        27.92       288.70        -0.56
       -16          3          1     324.43         7.81       450.83         0.20
       -16          3          2     315.60         7.42       437.61         0.55
       -16          3          3     353.63         6.25       525.22         2.22
       -16          3          4     152.83        13.68       245.02         2.37
       -16          3          5     219.70         6.65       244.31         1.31
       -16          3          6     199.38         6.65       260.26        -0.33
       -16          3          7     294.36         8.21       523.61         0.17
       -16          3          8     318.94         5.47       559.94        -2.15
       -16          3          9     611.13         5.86       550.34        -1.56
       -16          3         10     149.21         7.81       205.89        -1.69
       -16          3         11     504.01         5.47       609.17        -0.01
       -16          3         12     333.59         7.80       388.66        -2.37
       -16          3         13     589.89         9.75       363.98        -1.97
       -16          3         14     221.27        21.04       392.28        -0.40
       -16          3         15     477.14         8.56       549.44        -2.85
       -16          3         16     678.81        14.77       577.03         2.87
       -16          3         17     617.05         8.54       767.16         0.32
       -16          3         18     484.79        10.08       448.83         0.39
       -16          3         19     483.34        13.94       354.87         2.33
       -16          3         20     585.87        14.70       560.57        -2.73
       -16          3         21     452.89        10.42       447.42         1.73
       -16          3         22     543.07        12.33       643.45        -0.16
       -16          3         23     336.25        13.47       454.30        -0.47
       -16          3         24     413.54        19.20       614.66        -2.27
       -16          3         25     481.29        11.50       373.27        -2.68
       -16          3         26     417.54        17.97       360.74         1.95
       -16          3         27     244.54        21.36       190.65         1.08
       -16          3         28      29.31       127.50        25.50        -1.08
       -16          3         29      94.91        77.83       220.05         1.82
       -16          3         30     453.62        23.48       332.39        -2.49
       -16          3         31     149.92        58.53       162.38         1.39
       -16          4          1     422.87         7.82       620.73         3.07
       -16          4          2     398.44        13.29       587.11         2.92
       -16          4          3     600.05         7.82       677.33        -0.21
       -16          4          4     453.48         7.04       523.97         1.65
       -16          4          5     611.27         6.26       726.05        -1.24
       -16          4          6     531.46         8.61       638.38        -0.07
       -16          4          7     643.75         7.83       622.48        -1.13
       -16          4          8     642.47         5.87       908.37        -1.09
       -16          4          9     621.95         4.69       631.48        -1.19
       -16          4         10     305.77         9.38       360.90         2.06
       -16          4         11     182.51         5.86       263.66        -1.30
       -16          4         12     546.41        17.97       532.97        -1.13
       -16          4         13     847.72        27.32       612.26         2.51
       -16          4         14     116.60        15.99       219.33        -2.33
       -16          4         15     248.18        13.25       243.82        -1.57
       -16          4         16     742.19        17.12       526.92         2.60
       -16          4         17     697.78        18.27       593.81         1.02
       -16          4         18     354.85        13.20       385.67        -0.02
       -16          4         19     233.01        17.45       288.19        -1.80
       -16          4         20     307.76        11.23       333.59        -1.87
       -16          4         21     375.68        30.53       401.29         3.09
       -16          4         22     288.22        12.73       207.97         0.00
       -16          4         23     216.83        18.49       177.70        -1.98
       -16          4         24     257.92        29.21       148.67        -0.92
       -16          4         25     456.10        24.55       496.82         2.86
       -16          4         26     312.34        29.47       150.08         2.07
       -16          4         27     266.95        33.23       247.28        -0.44
       -16          4         28     201.93        42.29       194.87         3.02
       -16          4         30     289.60        32.60       272.11        -0.77
       -16          4         31     192.04        45.74       112.83         0.86
       -16          5          1     425.01         6.26       434.89        -2.74
       -16          5          2     424.83         6.26       613.24        -2.34
       -16          5          3     825.31        10.18       980.53         2.15
       -16          5          4     580.26         8.23       765.80         0.44
       -16          5          5     974.58        10.19      1128.01         0.31
       -16          5          6     195.95        10.58       306.11         2.51
       -16          5          7     464.37         5.88       594.82        -0.44
       -16          5          8     338.13         6.27       408.14        -1.28
       -16          5          9     593.03         7.44       780.00         0.01
       -16          5         10     738.45        12.92       552.52         3.13
       -16          5         11     512.66        12.13       372.85         0.57
       -16          5         12     174.83        22.29       332.61        -0.73
       -16          5         13     631.96         8.99       660.86        -2.31
       -16          5         14     449.86        12.50       439.39        -2.36
       -16          5         15     594.95         9.75       654.86         0.43
       -16          5         16     651.61        16.76       717.14        -0.93
       -16          5         17     528.24        14.79       521.46         2.09
       -16          5         18     633.31        32.66       604.45         1.83
       -16          5         19     340.87        36.49       546.64         0.30
       -16          5         20     310.51        31.40       321.23        -1.14
       -16          5         21     276.73        34.06       278.82        -1.57
       -16          5         22     256.55        33.61       314.63        -2.07
       -16          5         23      82.15       102.59       531.77        -1.65
       -16          5         24     235.95        38.88       215.82         2.80
       -16          5         25     641.87        20.36       392.35         0.51
       -16          5         26     243.39        37.18       362.18        -1.20
       -16          5         27     456.61        24.09       380.65        -0.16
       -16          5         28     358.24        25.94       385.40        -1.54
       -16          5         29     261.83        37.29       327.70         2.90
       -16          5         30     244.44        39.48       271.38         1.15
       -16          5         31     140.06        62.46        95.30         2.33
       -16          6          1     611.53         7.45       682.70         2.30
       -16          6          2     589.48         6.67       468.34        -2.20
       -16          6          3     708.98         7.85       618.99        -0.75
       -16          6          4     623.23         9.03       643.15         2.53
       -16          6          5     690.06         6.67       693.98         2.78
       -16          6          6     262.61         7.85       345.94         2.78
       -16          6          7     489.08         5.89       767.50         2.75
       -16          6          8     506.66         6.67       503.74         0.58
       -16          6          9     898.48        10.99      1001.51         1.50
       -16          6         10     473.77         5.88       374.32         0.31
       -16          6         11     616.22        14.11       540.47        -0.88
       -16          6         12     618.20        10.19       706.02        -0.87
       -16          6         13     818.97        15.66       725.09        -1.34
       -16          6         14     743.19        17.21       624.48        -0.36
       -16          6         15     916.78        24.62       813.20         1.39
       -16          6         16     865.06        12.49       836.99         0.95
       -16          6         17     299.85        12.87       348.30         2.42
       -16          6         18     724.32        21.03       663.67        -2.74
       -16          6         19     496.21        23.33       357.99         2.47
       -16          6         20     356.46        28.73       393.58        -0.08
       -16          6         21     241.52        39.16       293.68         0.59
       -16          6         22     251.94        38.31       153.32         0.71
       -16          6         23     363.51        26.65       294.97        -0.20
       -16          6         24     151.52        53.98       299.59         2.32
       -16          6         25     613.70        20.78       431.47         1.30
       -16          6         26     288.33        33.02       321.44         0.83
       -16          6         27     294.96        32.94       228.71        -0.39
       -16          6         28     216.68        42.42       192.84        -2.45
       -16          6         29     245.11        35.45       148.81        -2.00
