         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l           FP        SIGFP        FCalc      PHICalc
       -27          5         17     121.53        70.63       271.52         1.93
       -27          6          1     252.06        33.13       255.64        -0.99
       -27          6          2     204.92        35.53       218.34        -0.29
       -27          6          3     226.03        30.43       193.82         0.13
       -27          6          4     190.61        39.55       184.25        -0.39
       -27          6          6     482.61        26.92       420.98         1.71
       -27          6          7     314.08        38.42       241.80         1.11
       -27          6          8     152.13        63.78       185.86         0.58
       -27          6          9     226.65        44.78       262.79         1.26
       -27          6         10     404.99        27.34       377.55         1.59
       -27          6         12     247.23        40.41       221.47         2.33
       -27          6         13     246.37        41.99       365.16         2.78
       -27          6         14     213.81        42.76       167.05        -1.44
       -27          6         16     397.88        29.66       304.65         0.11
       -27          6         17     316.18        36.36       129.36         2.19
       -27          7          1     228.45        36.76       130.51        -0.27
       -27          7          2     123.83        60.92       254.48         0.92
       -27          7          3     159.17        44.35       213.65         3.12
       -27          7          4     180.29        38.83       192.06         3.07
       -27          7          6     164.62        63.87       206.18        -2.35
       -27          7          7     189.69        53.97       116.78        -0.29
       -27          7          8      45.25       209.59       313.39         0.94
       -27          7          9     218.76        44.86       154.67        -1.84
       -27          7         10     177.48        56.78       181.42         2.74
       -27          7         11     207.65        48.44       356.17         1.16
       -27          7         13     131.36        71.04       122.89        -0.96
       -27          7         14      92.83       103.15       160.78         0.99
       -27          7         16      97.49        95.90       113.50        -1.19
       -27          8          1     242.43        37.24       228.19        -0.55
       -27          8          2     237.11        33.31       182.82         1.89
       -27          8          6     258.83        44.53       251.87         0.78
       -27          8          8     152.38        68.03       190.32         0.95
       -27          8          9     183.05        56.11       161.35         0.11
       -27          8         10     214.10        50.54       262.24        -2.97
       -27          8         11     375.66        33.82       344.27         2.85
       -27          8         12     149.60        68.83       194.49         0.39
       -27          8         13     323.79        35.00       300.83         2.55
       -27          8         14     322.87        34.99       384.24         2.58
       -27          8         15     339.01        39.35       399.49         2.21
       -27          8         16     245.46        40.12       202.14         0.50
       -27          9          5     226.30        48.21       256.33        -0.03
       -27          9          6     126.76        78.53       336.49         2.03
       -27          9          7     348.53        36.29       242.18        -0.48
       -27          9          8     167.53        62.23       116.62        -2.64
       -27          9          9     191.10        54.26       181.22        -1.40
       -27          9         10     416.54        32.72       346.85        -1.78
       -27          9         11     140.04        71.02       106.43        -2.47
       -27          9         12     173.52        62.63       346.35         1.37
       -27          9         13     411.96        31.11       288.95        -1.78
       -27          9         14     278.26        39.86       305.37        -0.93
       -27         10          7     323.14        41.19       295.37         1.17
       -27         10          8     169.62        64.01       173.80         0.99
       -27         10          9     182.85        56.82       147.25         3.08
       -27         10         11     172.05        59.62       143.41        -0.48
       -27         11          6      18.05       572.68       147.33        -0.62
       -27         11          7     114.74        95.48       116.57         2.19
       -26          0          1     187.00        32.15       159.97         0.00
       -26          0          9     231.49        33.07       304.66         3.14
       -26          0         11     190.14        32.28        25.17         0.00
       -26          0         12     109.42        56.68        29.63         0.00
       -26          0         13     143.62        44.86       108.38         0.00
       -26          1          1     238.00        25.88       243.53        -0.60
       -26          1          2     192.70        34.14       284.46         1.85
