    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
51  -8 6  3  812.95 40.82  923.78 2.61 792.51 2.59     823.87 2.59 31.36  2.59    0.99 886.24    2.58        
52  -8 6  4  281.38 97.33  352.04 1.08 295.65 1.09     211.92 1.09 83.73  4.23    0.90 326.09    1.09        
53  -8 6  5  268.09 94.03  353.79 2.35 313.06 2.34     172.98 2.34 140.08 5.48    0.91 355.06    2.33        
54  -8 6  6  232.38 108.63 218.67 0.35 178.65 0.35     166.73 0.35 11.91  3.49    0.74 171.57    0.37        
55  -8 7  1  493.04 38.53  571.21 3.04 499.75 3.05     471.17 3.05 28.58  6.19    0.98 561.31    3.06        
56  -8 7  2  525.68 51.40  516.38 1.10 438.36 1.13     592.98 1.13 154.61 1.13    0.98 476.40    1.16        
57  -8 7  3  279.46 96.69  230.95 2.55 205.35 2.58     270.62 2.58 65.27  2.58    0.85 236.49    2.63        
58  -8 7  4  305.88 106.25 332.45 3.55 279.82 3.50     265.32 3.50 14.50  0.36    0.89 286.07    3.38        
59  -8 7  5  339.05 79.45  501.50 0.73 442.10 0.73     206.90 0.73 235.19 3.87    0.96 523.03    0.74        
60  -8 8  1  435.36 89.86  384.70 1.10 337.21 1.09     489.67 1.09 152.46 1.09    0.95 404.78    0.91        
61  -8 8  2  746.05 44.12  805.03 3.64 704.23 3.64     776.07 3.64 71.84  3.64    0.99 743.17    3.67        
62  -8 8  3  359.24 75.42  529.44 1.29 464.39 1.28     227.80 1.28 236.59 4.42    0.96 488.32    1.17        
63  -8 8  4  328.12 82.17  398.98 4.27 351.18 4.27     266.95 4.27 84.23  1.13    0.94 363.43    4.31        
64  -8 8  5  623.02 50.89  554.85 3.06 508.85 3.05     719.95 3.05 211.09 3.05    0.99 599.69    3.02        
65  -8 9  1  356.50 76.99  328.65 2.75 295.97 2.72     375.32 2.72 79.34  2.72    0.94 314.58    2.65        
66  -8 9  2  207.08 138.43 367.35 3.40 329.52 3.41     3.95   0.26 333.47 0.26    0.79 343.77    3.43        
67  -8 9  3  369.14 77.62  506.34 5.08 474.81 5.07     237.74 5.07 237.08 1.93    0.97 532.01    5.05        
68  -8 9  4  555.38 54.20  599.81 1.87 551.83 1.87     542.80 1.87 9.04   5.01    0.99 584.33    1.86        
69  -8 10 1  189.59 82.53  302.64 2.25 268.99 2.29     59.66  2.29 209.33 5.43    0.87 267.23    2.32        
70  -8 10 2  813.41 43.52  772.38 1.96 747.59 1.97     869.10 1.97 121.51 1.97    0.99 781.97    1.98        
71  -8 10 3  198.15 144.57 185.23 4.62 163.78 4.59     42.39  4.59 121.40 1.44    0.52 162.75    4.57        
72  -8 11 1  472.60 45.70  469.94 1.34 421.20 1.37     506.36 1.37 85.15  1.37    0.98 426.97    1.37        
73  -8 12 1  233.93 81.88  278.29 4.17 186.95 4.07     211.12 4.07 24.17  4.07    0.85 202.26    4.09        
74  -8 12 2  221.78 86.37  211.26 3.78 225.74 3.84     156.84 3.84 68.90  0.69    0.86 227.33    3.83        
75  -8 13 1  250.47 86.83  252.44 4.09 249.34 4.04     195.07 4.04 54.27  0.90    0.89 274.61    4.03        
76  -8 13 2  180.99 113.05 209.77 5.31 192.65 5.29     53.29  5.29 139.36 2.15    0.68 210.39    5.28        
77  -8 14 1  165.19 124.03 257.88 1.51 173.99 1.47     10.29  1.47 163.70 4.61    0.56 223.21    1.50        
