                    h          k          l         FP      SIGFP      FCalc    PHICalc
       120        -19          7          5     109.68       0.93      70.02      -2.43
       121        -19          7          7      51.71       0.92      62.26      -1.26
       122        -19          8          1     129.56       0.95     102.16       2.74
       123        -19          8          3     112.52       0.94      79.49      -1.32
       124        -19          9          5     137.76       0.93     157.38       1.82
       125        -19         10          3     139.75       0.94     165.23       0.89
       126        -19         11          1     172.50       0.95     112.29       1.53
       127        -19         11          5      90.87       0.93      61.29       1.70
       128        -19         12          1      59.47       0.95     100.59       2.54
       129        -19         12          5      90.83       0.93      73.42       1.82
       130        -19         13          1     117.36       0.95     162.69      -2.16
       131        -19         13          7     149.26       0.92     103.03       1.60
       132        -19         14          7      30.37       0.92      36.36       3.00
       133        -19         15          5     160.07       0.93     128.94       1.55
       134        -19         15          7     100.96       0.92      69.10       0.01
       135        -19         16          3      86.65       0.94      96.93       2.93
       136        -19         16          5     130.44       0.93     149.97       1.50
       137        -19         16          7      92.83       0.92      51.30       1.40
       138        -19         17          3      46.29       0.94      67.88       2.83
       139        -19         18          3      77.66       0.93      79.94      -0.60
       140        -19         18          5     121.49       0.92     155.80       0.05
       141        -19         18          7      72.21       0.92      56.02      -0.40
       142        -19         19          5     116.23       0.92      63.86      -2.79
       143        -19         19          7      61.37       0.91      57.95      -0.53
       144        -19         20          1      86.17       0.94      93.44       2.56
       145        -19         20          7      71.92       0.91      43.07       2.38
       146        -19         21          1      41.78       0.94      40.07       2.97
       147        -19         21          3     103.60       0.93     111.28      -0.94
       148        -19         22          1      39.95       0.94      56.31       1.82
       149        -19         22          3      93.45       0.93      67.88       1.71
       150        -19         23          1      69.67       0.94     119.07      -0.29
       151        -19         23          3      87.41       0.93     139.15       2.58
       152        -19         24          1      87.10       0.94      51.06      -0.34
       153        -19         25          1      93.03       0.94      90.16       2.04
       154        -19         25          3     127.30       0.93     117.31       3.07
       155        -19         26          1      17.27       0.94      25.83       1.13
       156        -19         26          3     119.47       0.93     139.60      -2.41
       157        -19         27          1      71.28       0.94      51.45      -0.19
       158        -19         27          3      63.06       0.93      84.81      -0.35
       159        -19         28          1     113.17       0.94      59.74      -0.71
       160        -19         28          3      58.45       0.93      55.27      -3.06
       161        -19         29          1      69.91       0.94      41.10       0.45
       162        -19         29          3      88.00       0.93      73.23      -2.13
       163        -19         30          1     185.74       0.93     164.19       1.56
