                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       112        -22          0          2          1      40.58       9.10      47.63       3.14
       113        -22          0          3          1     116.31       4.58     132.80       0.00
       114        -22          0          4          1      82.71       4.26     101.36       0.00
       115        -22          0          5          1     193.59       5.72     288.04       3.14
       116        -22          0          6          1      36.33      11.99      40.51       0.00
       117        -22          0          7          0      41.38      13.03      54.65       3.14
       118        -22          0          8          0     138.43       4.37      74.41       0.00
       119        -22          0          9          1      40.74       9.15      79.84       0.00
       120        -22          0         10          1      40.70      11.40      14.82       3.14
       121        -22          0         11          0      95.21       6.16     168.93       0.00
       122        -22          0         14          1      51.48      16.95      39.68       3.14
       123        -22          0         15          1      38.77      11.63      52.00       0.00
       124        -22          0         16          0     196.92       6.52     124.90       3.14
       125        -22          0         17          1      81.86       7.29      65.00       3.14
       126        -22          0         18          1      86.71      12.23     136.63       0.00
       127        -22          0         19          1      99.12      11.49      33.18       3.14
       128        -22          0         20          0      93.96       7.97      49.73       3.14
       129        -22          0         21          1      58.75       9.88      56.58       3.14
       130        -22          1          1          1      91.91       3.36     174.49      -2.27
       131        -22          1          2          1      72.34       3.50      77.99       2.84
       132        -22          1          3          1     180.08       3.53     232.38      -2.07
       133        -22          1          4          1     131.18       3.31     194.53       0.61
       134        -22          1          5          1      48.51       5.96      70.63      -1.51
       135        -22          1          6          1     105.57       3.24     123.87      -2.65
       136        -22          1          7          1      86.78       4.10      61.11       2.32
       137        -22          1          8          1      76.96       4.61     155.05      -2.46
       138        -22          1          9          1      65.17       5.00      28.71      -0.15
       139        -22          1         10          1      72.13       5.15      24.26       2.78
       140        -22          1         11          1      42.64       9.61      56.72       1.02
       141        -22          1         12          1      85.78       4.83      67.65       0.15
       142        -22          1         13          1      91.46       5.59      30.51       1.98
       143        -22          1         14          1      34.80      11.22      40.57       2.47
       144        -22          1         15          1      53.68       7.51      23.90       0.58
       145        -22          1         16          1     104.16       4.52      77.02      -0.35
       146        -22          1         17          1      93.23       8.18      75.79      -1.53
       147        -22          1         18          1      27.74      15.13      29.96      -1.08
       148        -22          1         19          1     116.99       4.80     138.48       0.90
       149        -22          1         20          1      57.44       8.60      25.08      -2.25
       150        -22          1         21          1      87.03       6.33      79.39       2.53
       151        -22          2          1          1      59.02       4.64      64.97      -2.34
       152        -22          2          2          1      55.74       4.56      59.10       2.09
       153        -22          2          3          1      33.20       9.18      43.27       1.31
       154        -22          2          4          1     112.65       3.56      76.09      -0.80
       155        -22          2          5          1     142.55       3.22     130.33       2.00
       156        -22          2          6          1      75.34       5.17     150.99      -1.31
       157        -22          2          7          1      12.33      17.77      33.19       1.31
       158        -22          2          8          1      57.51       4.74      90.04      -0.30
       159        -22          2         10          1      44.84       7.13      31.05      -1.95
       160        -22          2         11          1     138.74       3.46     129.12      -2.37
       161        -22          2         12          1      56.90       6.69      30.00      -2.18
       162        -22          2         13          1      85.38       5.85     164.70      -0.81
       163        -22          2         14          1      37.98      11.74     110.34       1.92
       164        -22          2         15          1      45.87       9.15      71.12       0.95
       165        -22          2         16          1     170.57       4.90     147.80       2.40
       166        -22          2         17          1     103.72       4.54      83.19       0.96
       167        -22          2         18          1      69.97       9.35      87.71      -0.93
       168        -22          2         19          1      84.02       6.83      42.18       2.51
       169        -22          2         20          1      55.13       8.87      28.32      -0.63
       170        -22          2         21          1      82.09       6.60      33.66       1.76
       171        -22          3          1          1      98.47       3.84     157.65       2.63
       172        -22          3          2          1      10.78      14.41      29.45       1.69
       173        -22          3          3          1     108.37       3.31     221.29      -3.00
       174        -22          3          4          1      83.71       4.52     126.61       0.04
       175        -22          3          5          1      67.40       4.91      44.95      -2.02
       176        -22          3          6          1     116.99       3.25      69.69       2.81
       177        -22          3          7          1      49.46       6.79      25.27       1.69
       178        -22          3          8          1      79.12       3.90     100.96      -2.56
       179        -22          3          9          1      33.46       9.56      83.25      -0.64
       180        -22          3         10          0     175.18       3.70      47.90       0.23
       181        -22          3         11          1      86.51       5.32      55.58      -0.51
       182        -22          3         12          1      42.64       7.71      64.53      -2.97
       183        -22          3         14          1      48.60      10.77      78.78      -2.40
       184        -22          3         15          1      30.16      11.81      16.44       1.37
       185        -22          3         16          1      82.43       5.92     109.29      -1.21
       186        -22          3         17          1     141.52       4.17     132.78      -2.68
       187        -22          3         18          1      21.66      17.10      68.47      -0.25
       188        -22          3         19          1      12.56      22.97      74.02       0.75
       189        -22          3         20          1      79.29       6.61      29.50      -2.98
       190        -22          3         21          1      55.72       9.16      56.53       1.58
       191        -22          4          1          1      70.84       4.08     101.10      -2.49
       192        -22          4          2          1      81.27       3.88      92.00       0.98
       193        -22          4          3          0     105.70       4.50     118.06      -0.35
       194        -22          4          4          1     100.01       4.77      92.19      -2.39
       195        -22          4          5          1      86.64       4.09     124.98       1.24
       196        -22          4          6          1     139.08       3.14     210.54      -2.22
       197        -22          4          7          1     128.00       3.41     136.47       1.68
