                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       112        -37          9         10          1     243.52     109.76     113.07       2.78
       113        -36          0          1          1     591.42      98.63     310.95       3.14
       114        -36          0          2          0     451.71     135.22     562.67       0.00
       115        -36          0          4          1     121.77     265.06     419.94       3.14
       116        -36          0          6          1     221.31     230.19     345.17       0.00
       117        -36          0          7          1     365.56     157.42     350.05       3.14
       118        -36          0          9          1     106.59     316.75     136.55       0.00
       119        -36          0         10          1     463.47      79.99     336.29       0.00
       120        -36          0         11          1     450.36     105.83     554.49       0.00
       121        -36          0         12          1     313.50     143.10     323.95       0.00
       122        -36          0         14          1     291.16     101.03     320.56       0.00
       123        -36          0         15          1     392.28     108.52     307.15       0.00
       124        -36          0         16          1     283.17     142.60       3.32       3.14
       125        -36          1          1          1     378.76      88.97     262.26      -2.87
       126        -36          1          2          1     320.05      58.26     188.34       0.91
       127        -36          1          4          1     123.59     185.20     121.24      -2.66
       128        -36          1          7          1     254.38     130.55     337.99      -0.86
       129        -36          1          8          1     325.68     119.97     279.84       1.97
       130        -36          1         10          1     111.36     154.22     223.80      -1.97
       131        -36          1         16          1     255.11      63.78     593.41      -1.52
       132        -36          2          1          1     407.24     194.69     200.95      -1.64
       133        -36          2          2          0     323.92     127.63     348.97      -0.74
       134        -36          2          3          1     232.72     100.98     143.83      -2.87
       135        -36          2          4          1     152.71     255.49     204.02       2.75
       136        -36          2          6          0     242.32     122.08     457.30      -0.38
       137        -36          2          7          1     351.27      77.94     479.80       3.04
       138        -36          2          8          1     522.99     116.18     578.32       1.81
       139        -36          2         10          1     681.77      60.83     562.63      -1.03
       140        -36          2         11          1     269.51      52.90     360.75      -1.53
       141        -36          2         12          1     464.24      53.40     354.05      -2.92
       142        -36          2         14          1     324.07     115.31     348.62      -0.41
       143        -36          2         15          1     249.11     122.14      92.90      -1.18
       144        -36          2         16          1     220.93     114.53     351.00       2.87
       145        -36          3          1          1     123.91     340.65     299.67      -2.30
       146        -36          3          2          1     371.22      87.33     189.21       0.82
       147        -36          3          3          0     171.48     141.45     145.76      -2.55
       148        -36          3          4          1     245.91      67.40     154.06      -3.01
       149        -36          3          5          1     295.79     226.43      91.46      -2.91
       150        -36          3          6          1     103.54     177.50     245.64       2.29
       151        -36          3          8          1     253.30     102.22     151.67       1.83
       152        -36          3          9          1     176.26     228.95      76.55      -0.02
       153        -36          3         10          1     279.93      96.37     222.54       0.55
       154        -36          3         11          1      77.96     172.90     291.54      -2.75
       155        -36          3         12          1     270.79     229.88     234.10       2.22
       156        -36          3         13          1     286.83      61.38     100.96      -1.51
       157        -36          3         15          0     211.65      84.34     125.55       1.26
       158        -36          4          1          1     253.73     112.06     337.18       2.26
       159        -36          4          2          0     674.84      94.82     332.56      -0.12
       160        -36          4          3          1      62.55     286.72     178.11       1.01
       161        -36          4          4          1     407.79      91.75     272.63      -2.28
       162        -36          4          5          1     438.65     122.50     534.03      -2.54
       163        -36          4          6          1     281.61     136.74     571.71      -1.36
       164        -36          4          7          0     298.01     137.46     204.32       0.61
       165        -36          4         10          1     163.96     140.65     510.75      -1.29
       166        -36          4         11          1     449.75      43.97     342.39       3.02
       167        -36          4         12          0     384.72      41.67     489.29       2.65
       168        -36          4         14          1     385.30      31.78     344.29      -1.90
       169        -36          4         15          1     213.13     104.36     186.20       2.16
       170        -36          4         16          1     114.00     189.87     271.25       1.43
       171        -36          5          1          1     159.04     198.98     164.87      -2.23
       172        -36          5          9          1     174.88      82.14     327.21       3.05
       173        -36          5         10          1     130.23     136.72     201.08       0.71
       174        -36          5         11          1     226.63      92.50     234.94      -1.81
       175        -36          6          1          1     237.27      65.55     277.70       0.10
       176        -36          6          2          1     299.74     149.87     197.25       2.34
       177        -36          6          3          1     583.64     116.95     373.84       1.63
       178        -36          6          4          1     339.85      79.60     465.76      -1.97
       179        -36          6          5          1     170.26     154.51     114.16       2.62
       180        -36          6          6          1     356.40     185.58     553.92       2.68
       181        -36          6          7          0     302.71     110.45     153.58       0.10
       182        -36          6          9          1     327.50     216.32     253.09      -0.50
       183        -36          6         11          1     190.99     162.50     365.77       2.15
       184        -36          6         12          1     246.84     119.34     181.98       0.95
       185        -36          6         13          1      61.63     270.86     128.79      -2.07
       186        -36          6         15          1     119.01     131.43     359.27       2.42
       187        -36          7          1          1     383.62      92.52     170.16      -1.06
       188        -36          7          2          1      89.89     300.48     223.77      -2.05
       189        -36          7          4          1     244.71     123.08     159.65      -1.01
       190        -36          7          5          1     245.78      84.49     261.57       1.76
       191        -36          7          9          1     322.98      72.15     172.41      -2.21
       192        -36          7         12          0     103.68     247.35     126.40       1.47
       193        -36          7         13          0     187.83      96.46     379.92       1.98
       194        -36          7         15          1     228.14     123.68     104.50       3.03
       195        -36          8          2          0     361.26      54.01      41.70       2.24
       196        -36          8          4          1     385.45      58.02     347.48      -1.53
       197        -36          8          5          0     366.73      54.79     603.31       0.07
       198        -36          8          6          1      98.27     296.29     134.62       0.71
       199        -36          8          7          1     226.31     119.09     362.71       3.04
       200        -36          8          8          1     574.56      41.90     471.51       0.29
       201        -36          8          9          1     391.61     117.71     226.53      -0.49
       202        -36          8         10          0     396.62     105.44     308.62      -2.74
       203        -36          8         11          1     459.82      65.69     348.30      -1.84
       204        -36          8         12          0     229.19     188.08     471.25      -2.06
       205        -36          9          3          1     434.35      40.99     197.07       3.06
       206        -36          9          4          1     338.91      87.99     231.50      -2.55
       207        -36          9          5          1     134.95     321.34     111.25      -0.47
       208        -36          9          7          1     246.35     138.18     173.07      -2.17
       209        -36          9          8          1     360.82     106.08     360.24       0.53
       210        -36          9          9          1     298.75      88.91     221.65       2.89
       211        -36          9         10          1     211.71     110.22     189.82       1.56
       212        -36          9         12          1     132.44     147.15     288.25      -1.12
       213        -36         10          4          1     592.86      48.44     382.09      -0.62
       214        -36         10          7          1     345.82      89.88     135.87       1.20
       215        -36         10          8          1     661.56      39.53     470.03      -0.56
       216        -36         10          9          1     273.06     105.69     116.04       2.64
       217        -36         10         11          1     154.72     107.23     395.34       2.79
       218        -36         10         12          0     338.29     130.68     408.54       2.05
       219        -36         11          6          1     219.04     200.36      91.62      -0.32
       220        -36         11          7          1     242.56     145.09     232.55       2.44
       221        -35          0          2          1     150.13     235.61     215.71       0.00
       222        -35          0          4          1     193.28     154.70      19.75       0.00
       223        -35          0          5          1     182.57     175.24       3.38       0.00
       224        -35          0          6          1     259.65     125.95     254.02       0.00
       225        -35          0          7          1     286.98     195.42     118.76       0.00
       226        -35          0          9          0     215.69     268.29     122.51       3.14
       227        -35          0         10          1     182.46     198.11      69.00       3.14
       228        -35          1          1          1     492.89     114.92     618.22       0.46
       229        -35          1          2          1     339.02     165.20     228.58      -2.58
       230        -35          1          3          1      74.10     320.64     277.25      -2.47
       231        -35          1          5          1     359.97     108.87     358.59      -2.35
       232        -35          1          6          1     461.64      85.68     492.09      -2.23
       233        -35          1          7          1     227.78     106.45     209.79       1.12
       234        -35          1          8          1     327.93      87.42     377.02       0.46
       235        -35          1          9          1     393.13     184.64     445.66       1.20
       236        -35          1         11          1     272.29      64.70     276.73      -1.24
       237        -35          1         12          1     209.14      57.14     235.66       2.70
       238        -35          1         15          1     171.82      75.30     274.33      -2.11
       239        -35          1         16          0     419.33      57.07     976.70       1.35
       240        -35          1         17          1     205.00      65.47     417.05       0.68
       241        -35          1         18          1     166.34     128.69      54.85      -1.50
       242        -35          2          1          1     340.40     200.18     213.11       0.54
       243        -35          2          5          1     436.84     114.34     185.50      -1.40
       244        -35          2          9          1     195.95      95.33     249.38       1.34
       245        -35          2         10          1     130.12     147.67     229.94      -1.41
       246        -35          2         12          1     147.29     132.91     300.25       2.00
       247        -35          2         13          1     100.06     173.44     344.72      -2.12
       248        -35          2         18          1     378.93      74.88     313.90       0.69
       249        -35          3          1          0     386.27     165.14     153.50       0.04
       250        -35          3          4          1     747.43     172.40     643.68       1.02
       251        -35          3          5          1     570.36     171.07     556.59       0.59
       252        -35          3          6          1     263.51     169.77      88.46      -2.55
       253        -35          3          7          1     345.16      52.44     324.04      -2.94
       254        -35          3          8          1     410.58      55.49     443.18       0.16
       255        -35          3          9          1     396.64      92.26     549.28      -0.81
       256        -35          3         10          1     405.06     137.31     318.19      -1.68
