                    h          k          l         FP      SIGFP      FCalc    PHICalc
         1        -28          0          8      39.65       7.25      38.82       0.00
         2        -28          0         13      67.41      13.77      39.01       3.14
         3        -28          0         14      50.47      16.15      46.91       3.14
         4        -28          1          6      40.67       7.21      22.66       0.06
         5        -28          1          7      34.70       7.38      41.13      -0.83
         6        -28          1          8      36.71       4.24      41.88      -0.39
         7        -28          2          8      35.49       7.34      42.75       3.07
         8        -28          2          9      31.18       7.93      19.47      -1.10
         9        -28          2         10      28.95       5.81      43.42      -2.90
        10        -28          2         11      24.31       7.29      24.71       3.06
        11        -28          2         14      43.92      10.05      12.52      -2.21
        12        -28          2         15      30.30       8.22      17.23      -1.74
        13        -28          2         16      33.84       7.26      22.91      -1.28
        14        -28          3          6      27.98       7.65      46.33       2.48
        15        -28          3          7      40.48       6.40      53.25       0.92
        16        -28          3          9      32.64       9.50      44.38       1.07
        17        -28          3         12      82.07       3.56      68.47      -2.53
        18        -28          3         13      36.19      10.23      51.82      -2.20
        19        -28          4          6      26.74       5.67       8.87      -0.84
        20        -28          4          7      30.62       8.80      50.76       0.67
        21        -28          4          9      29.08       7.07      30.84      -1.61
        22        -28          4         12      32.88      10.64      31.91       0.95
        23        -28          4         13      34.83       8.15      36.17      -1.78
        24        -28          5         10      39.31       6.27      46.80       1.27
        25        -28          5         11      32.91       4.35      21.21       2.98
        26        -28          5         12      54.07      14.98      51.20       0.48
        27        -28          5         13      46.25      10.38      67.07       0.53
        28        -28          6         12      69.77       6.00      36.83       2.61
        29        -28          7          9      43.63       7.43      52.21      -2.31
        30        -27          0          2      62.26       5.87      57.80       3.14
        31        -27          0          3      35.83       7.46      29.39       3.14
        32        -27          0          5      33.59       7.33      62.01       0.00
        33        -27          0          6      25.61       7.58      42.80       0.00
        34        -27          0         11      42.69       7.73      32.27       0.00
        35        -27          0         13      42.82      13.68      48.47       3.14
        36        -27          0         19      96.20       8.56      97.48       0.00
        37        -27          1          2      31.00       6.90      34.93      -2.54
        38        -27          1          4      24.99       7.92      21.58      -1.33
        39        -27          1          5      33.57       5.99      23.54       1.36
        40        -27          1          6      27.23       5.52      37.75      -1.24
        41        -27          1          7      27.83       9.05      10.57      -1.08
        42        -27          1          9      59.20      15.32      48.40       1.67
        43        -27          1         10      24.47       4.82      22.52       2.28
        44        -27          1         11      29.15       5.63      52.85      -2.60
        45        -27          1         12      77.16       3.15      65.03      -0.44
        46        -27          1         13      27.22       6.58      26.08      -2.69
        47        -27          1         14      34.09       5.21      21.94      -1.12
        48        -27          1         15      81.42       3.08      71.43      -1.01
        49        -27          2          5      28.33       6.51      12.54      -1.12
        50        -27          2          8      33.47       4.61      39.85      -0.07
        51        -27          2         10      23.71       7.02      42.24       1.50
        52        -27          2         13      45.70       4.01      22.19      -0.78
        53        -27          2         14      36.28       7.54      39.81       1.51
        54        -27          3          1      33.03       6.14      20.90      -1.28
        55        -27          3          4      69.85      22.26      54.06       2.51
        56        -27          3          5      55.79      11.04      72.15       2.91
        57        -27          3          7      26.78       8.03      44.93      -0.47
        58        -27          3          8      41.36      11.91      47.95       1.30
        59        -27          3          9      29.74       9.67      13.37      -1.64
        60        -27          3         10      38.15       6.94      60.95      -1.58
        61        -27          3         11      42.26       3.93      49.00      -1.38
        62        -27          3         13      30.54       6.34      30.73       0.67
        63        -27          3         21      42.97      10.22      58.57      -1.42
        64        -27          4          1      39.07       9.54      24.03      -1.65
