                    h          k          l         FP      SIGFP      FCalc    PHICalc
         1        -29          0          2      26.85       9.42      16.28       3.14
         2        -29          0          3      55.72       5.41      47.84       3.14
         3        -29          0         15      39.55       5.94      39.28       0.00
         4        -29          1          1      47.24       5.31      24.66       0.28
         5        -29          1          4      16.33      16.55       7.76       0.39
         6        -29          1          5      49.40       5.51      28.72      -1.20
         7        -29          1          6      30.90       9.29      36.48      -1.18
         8        -29          1          8      34.66       8.42      44.83       0.69
         9        -29          1          9      43.73       7.02      40.98      -1.25
        10        -29          1         10      56.03       5.72      48.35      -1.97
        11        -29          1         11      31.31       8.53      30.16      -2.87
        12        -29          1         12      49.78       5.61      47.63       0.33
        13        -29          1         13      24.84       9.83      17.98       2.42
        14        -29          1         14      11.23      20.74      11.39       2.66
        15        -29          2          5       9.30      27.67      15.49       2.44
        16        -29          2          6      55.86       4.75      55.75       2.91
        17        -29          2          7      28.30       9.07      17.92      -1.91
        18        -29          2          8      25.05       5.83      33.56      -0.53
        19        -29          2          9      31.63       6.69      30.10      -1.20
        20        -29          2         10      28.50       8.53      37.56      -1.21
        21        -29          2         11      45.34       3.67      48.96       2.28
        22        -29          2         13      36.07       6.70      14.68      -1.24
        23        -29          3          2       9.42      24.47       6.33       1.51
        24        -29          3          4      35.47       6.70      28.54       3.14
        25        -29          3          5      39.88       6.05      56.77      -1.19
        26        -29          3         12      33.25       7.56      21.64      -1.87
        27        -29          3         14      36.40       7.45      54.22      -2.58
        28        -29          3         15      18.69      12.32      22.59       0.44
        29        -29          4          2      30.31       7.90      55.92      -1.87
        30        -29          4          4      31.36       8.76      33.67       0.89
        31        -29          4          5      19.02      14.16      11.94      -0.79
        32        -29          4         13      23.00      10.47      23.59       1.65
        33        -29          4         14       4.86      48.82       9.85      -2.76
        34        -29          5          8      20.73       9.18      19.86      -0.58
        35        -29          5          9      29.04       9.61      27.53      -1.56
        36        -29          5         10      17.81      14.03      28.28      -0.82
        37        -29          6          4      19.14      12.54      22.21      -0.96
        38        -29          6          5      15.35      16.86       6.11      -0.06
        39        -29          6          6      42.45       7.35      38.71       1.25
        40        -29          6          7      24.62       9.93      12.05      -1.32
        41        -29          6          8      32.71       7.23       7.79      -3.10
        42        -29          6         10      50.73       5.40      46.78       1.31
        43        -29          6         11      28.50       8.20      29.88      -2.91
        44        -29          6         12      38.21       6.48      17.94      -2.52
        45        -29          6         13      22.46      10.90       7.80      -1.27
        46        -29          7          6      43.74       5.94      52.76       2.46
        47        -29          7          9      18.13      13.38      14.06      -0.53
        48        -29          7         10      42.52       5.83      41.76      -1.26
        49        -29          7         11      32.38       8.53      27.08      -0.32
        50        -28          0          1      17.50      15.54      24.20       0.00
        51        -28          0          8      23.41      11.92      42.14       3.14
        52        -28          0          9      57.10       5.53      40.59       0.00
        53        -28          0         10      44.75       5.85      34.47       0.00
        54        -28          0         11      39.87       6.72      39.83       0.00
        55        -28          0         18      12.49      19.66      28.98       3.14
        56        -28          1          2      44.97       6.41      44.56      -2.52
        57        -28          1          4      72.91       4.67      60.57       1.18
        58        -28          1          5      59.65       5.21      61.06       3.08
        59        -28          1          6      10.52      26.56      10.40       2.77
        60        -28          1          7      40.43       7.15      53.55      -1.85
        61        -28          1          8      42.69       6.50      26.28       0.50
        62        -28          1          9      41.93       6.18      44.08       1.53
        63        -28          1         11      33.26       8.02       1.41       0.53
        64        -28          1         12      18.75      13.65      14.42       0.55
        65        -28          1         13       7.80      30.56      27.42       2.63
        66        -28          1         15      23.75      11.17      30.36      -1.89
        67        -28          1         16       4.01      59.57      18.42      -1.23
        68        -28          1         17      27.79       9.34      27.84       2.71
        69        -28          1         18      48.77       5.11      23.40       0.71
        70        -28          2          2       5.97      46.82      38.04       2.07
        71        -28          2          3      10.75      13.35      16.23      -1.80
        72        -28          2          4      33.63       7.38      20.53      -3.01
        73        -28          2          5      22.12      12.80      32.03      -1.50
        74        -28          2         13      64.81       2.49      44.87       0.85
        75        -28          2         14      28.95       6.61       4.51      -2.28
        76        -28          2         15      22.23       8.89      27.00       2.77
        77        -28          3          2      37.04       7.28      41.86       1.38
        78        -28          3          6      29.49       9.76      42.73      -0.16
        79        -28          3          8      34.46       8.23      36.82       1.07
        80        -28          3          9      35.54       7.69      46.76       1.08
        81        -28          3         10      57.74       5.53      27.64       0.20
        82        -28          3         11      65.22       4.77      61.52       0.18
        83        -28          3         12      21.35      13.11      10.82      -0.63
