                    h          k          l         FP      SIGFP      FCalc    PHICalc          
       120         -7          6          2     297.11      59.42     247.66       3.09
       121         -7          6          3     267.85     114.89     189.16      -2.85
       122         -7          6          4     277.32     110.93     262.53       2.43
       123         -7          7          1     489.02      39.36     463.56       0.69
       124         -7          7          2     294.34      61.40     339.95      -0.21
       125         -7          7          3     451.38      87.47     505.92      -0.35
       126         -7          8          1     348.78      50.02     276.43      -2.28
       127         -7          8          2     586.44      37.36     508.31       0.62
       128         -7          8          3     286.34      71.42     248.33       1.65
       129         -7          9          1     786.57      56.66     888.60      -2.00
       130         -7          9          2     250.08      86.69     252.29       1.17
       131         -7          9          3     448.33      54.04     578.13      -2.82
       132         -7         10          1     331.13      65.96     448.57       1.30
       133         -7         10          2     593.89      43.33     627.87       2.25
       134         -7         10          3     386.09      59.35     279.10       1.45
       135         -7         11          1     153.15     140.50     210.84       0.81
       136         -7         11          2     405.03      61.95     343.41      -0.28
       137         -7         11          3     410.54      62.65     503.47       0.96
       138         -7         12          1     268.85      93.17     220.99       2.38
       139         -7         12          2     310.25      77.89     280.35       2.77
       140         -7         12          3     552.83      45.29     666.87      -2.85
       141         -7         13          1     537.35      52.54     616.39      -0.41
       142         -7         13          2     573.51      47.24     545.32      -0.87
       143         -7         13          3     981.78      38.61    1011.49      -1.55
       144         -7         18         18     296.44     140.88     304.02       1.53
       145         -7         19         15     143.86     287.04     276.64       1.28
       146         -7         19         16     396.47     137.26     329.78      -2.96
       147         -7         19         17     365.33     126.67     444.09       1.67
       148         -7         19         18     474.91      99.38     357.46      -0.68
       149         -7         19         19     129.47     323.00     272.61       2.19
       150         -7         20         10     319.90     122.78     323.24      -1.37
       151         -7         20         11     196.55     196.55     238.41       0.13
       152         -7         20         12     586.60      70.42     512.13      -0.54
       153         -7         20         13     431.36      90.39     418.83       1.07
       154         -7         20         14     405.64     140.98     232.44      -1.64
       155         -7         20         15     374.57     129.74     314.96       1.89
       156         -7         20         16     411.37     142.45     336.67       0.43
       157         -7         20         17     241.09     181.15     199.65       1.04
       158         -7         20         18     295.85     147.92     184.17       1.15
       159         -7         20         19     281.34     176.00     304.66       1.12
       160         -7         21          6     557.85      85.36     570.24      -1.43
       161         -7         21          7     554.79      84.74     649.93      -0.22
       162         -7         21          9     386.33     133.86     398.98       1.31
       163         -7         21         10     359.99     124.64     279.42       1.77
       164         -7         21         11     280.57     139.95     312.24      -2.74
       165         -7         21         12     270.75     169.22     174.45      -0.93
       166         -7         21         13     241.01     168.64     213.08       2.52
       167         -7         21         14     485.57     102.30     513.72      -2.94
       168         -7         21         15     395.43     136.91     247.44      -1.61
       169         -7         21         16     128.33     336.45      93.08      -2.76
       170         -7         21         17     240.16     180.29     182.55      -2.13
       171         -7         21         18      64.56     676.92     216.18       2.57
       172         -7         21         19     358.95     127.20     398.51       2.53
       173         -7         21         20     387.12     134.59     424.24      -1.63
       174         -7         22          2     863.05      57.40     802.00       2.41
       175         -7         22          3     558.45      85.15     556.97      -2.84
       176         -7         22          4     293.22     133.40     380.17      -0.18
       177         -7         22          5     511.38      79.94     642.57       2.20
       178         -7         22          6     608.11      72.71     515.23       0.91
       179         -7         22          7     349.16     121.02     383.16       2.12
       180         -7         22          8     443.93      93.29     440.54      -1.87
       181         -7         22          9     354.12     123.12     428.70       2.78
       182         -7         22         10     234.43     175.49     231.64      -1.73
       183         -7         22         11     293.50     140.46     288.90      -1.05
       184         -7         22         12     328.11     123.29     370.17       0.36
       185         -7         22         13     232.11     182.37     406.02      -1.54
       186         -7         22         14     398.10     138.01     478.72       1.29
       187         -7         22         15     512.48     107.54     353.93      -1.98
       188         -7         22         16     314.15     144.13     402.52       1.95
       189         -7         22         17     627.96      75.09     758.90      -2.53
       190         -7         22         19     572.73      87.81     656.13      -2.59
       191         -7         22         20     437.26     109.15     470.14      -2.48
       192         -7         22         21     370.24     128.52     431.90       0.56
       193         -7         23          1     418.31      97.50     416.62      -0.96
