         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
34	-31  	0  	10  	1  	12.45 	33.64 	18.11 	3.14 	16.62 	3.14 	13.08 	0.00 	29.70 	0.00 	0.14 	17.40 	3.14
35	-31  	0  	11  	1  	7.20 	54.94 	4.04 	3.14 	3.68 	3.14 	3.57 	0.00 	7.25 	0.00 	0.01 	3.84 	3.14
36	-31  	1  	1  	1  	77.99 	3.99 	54.92 	2.83 	50.33 	2.83 	101.74 	2.83 	51.41 	2.83 	0.97 	54.92 	2.83
37	-31  	1  	5  	1  	47.55 	7.10 	53.23 	0.39 	48.77 	0.39 	41.42 	0.39 	7.35 	3.53 	0.95 	53.55 	0.38
38	-31  	1  	6  	1  	57.52 	6.00 	58.88 	1.48 	53.95 	1.48 	57.01 	1.48 	3.05 	1.48 	0.96 	59.79 	1.49
39	-31  	1  	7  	1  	33.25 	9.44 	55.95 	3.12 	51.28 	3.12 	9.81 	3.12 	41.47 	6.26 	0.92 	56.21 	3.11
40	-31  	1  	8  	1  	15.48 	19.82 	33.50 	6.27 	30.71 	6.27 	18.69 	3.13 	49.41 	3.13 	0.39 	33.42 	6.27
41	-31  	1  	9  	1  	21.37 	10.33 	30.24 	3.02 	27.74 	3.02 	3.32 	3.02 	24.42 	6.16 	0.73 	30.44 	3.02
42	-31  	1  	10  	0  	29.90 	13.39 	2.63 	3.36 	2.41 	3.36 	2.41 	3.36 	0.00 	0.00 	0.00 	2.65 	3.75
43	-31  	1  	11  	1  	38.60 	7.39 	30.07 	5.11 	27.42 	5.11 	41.51 	5.11 	14.10 	5.11 	0.89 	30.07 	5.09
44	-31  	1  	14  	1  	9.29 	23.32 	25.07 	2.82 	22.32 	2.82 	19.63 	5.96 	41.94 	5.96 	0.14 	25.75 	2.81
45	-31  	2  	1  	1  	40.54 	5.95 	36.02 	4.41 	33.01 	4.41 	41.37 	4.41 	8.35 	4.41 	0.92 	36.18 	4.41
46	-31  	2  	2  	1  	34.60 	9.97 	45.37 	3.68 	41.58 	3.68 	20.51 	3.68 	21.07 	0.54 	0.90 	45.09 	3.69
47	-31  	2  	3  	1  	30.16 	11.52 	60.72 	2.67 	55.63 	2.67 	1.29 	5.81 	56.93 	5.81 	0.90 	61.01 	2.67
48	-31  	2  	4  	1  	44.40 	6.47 	41.51 	4.00 	38.03 	4.00 	44.69 	4.00 	6.65 	4.00 	0.93 	41.20 	3.99
49	-31  	2  	5  	1  	38.46 	6.00 	58.45 	5.41 	53.56 	5.41 	19.22 	5.41 	34.34 	2.27 	0.95 	58.81 	5.41
50	-31  	2  	6  	0  	37.54 	7.20 	45.96 	3.98 	42.12 	3.98 	42.12 	3.98 	0.00 	0.00 	0.00 	46.23 	3.99
51	-31  	2  	7  	1  	41.96 	7.55 	60.81 	4.46 	55.75 	4.46 	23.92 	4.46 	31.83 	1.32 	0.95 	60.27 	4.46
52	-31  	2  	8  	1  	38.19 	7.10 	25.04 	3.11 	22.97 	3.11 	43.04 	3.11 	20.07 	3.11 	0.86 	25.01 	3.11
53	-31  	2  	9  	1  	50.48 	5.26 	31.86 	1.34 	29.23 	1.34 	65.02 	1.34 	35.79 	1.34 	0.93 	32.01 	1.33
54	-31  	2  	10  	1  	49.27 	6.28 	48.26 	3.96 	44.21 	3.96 	49.78 	3.96 	5.58 	3.96 	0.95 	48.24 	3.96
55	-31  	2  	11  	0  	29.17 	7.73 	33.69 	1.36 	30.67 	1.36 	30.67 	1.36 	0.00 	0.00 	0.00 	33.73 	1.37
56	-31  	2  	13  	1  	51.47 	5.36 	74.01 	1.36 	66.37 	1.36 	33.63 	1.36 	32.73 	4.50 	0.97 	73.92 	1.36
57	-31  	3  	1  	1  	40.11 	8.74 	30.06 	1.04 	27.56 	1.04 	42.96 	1.04 	15.40 	1.04 	0.88 	29.32 	1.03
58	-31  	3  	3  	1  	4.01 	68.45 	31.55 	1.31 	28.91 	1.31 	28.82 	4.45 	57.73 	4.45 	0.01 	31.66 	1.29
59	-31  	3  	4  	1  	14.70 	16.95 	25.82 	2.66 	23.66 	2.66 	13.35 	5.81 	37.01 	5.81 	0.35 	25.36 	2.66
60	-31  	3  	5  	1  	21.95 	12.32 	33.86 	0.27 	31.04 	0.27 	0.16 	0.27 	30.88 	3.41 	0.71 	33.96 	0.29
61	-31  	3  	6  	1  	35.33 	6.60 	69.90 	0.16 	64.08 	0.16 	3.11 	0.16 	60.98 	3.30 	0.95 	69.38 	0.16
62	-31  	3  	7  	1  	26.77 	9.84 	19.31 	5.19 	17.71 	5.19 	17.55 	5.19 	0.16 	2.05 	0.66 	18.66 	5.20
63	-31  	3  	8  	1  	24.19 	10.52 	41.09 	0.66 	37.70 	0.66 	2.51 	0.66 	35.18 	3.80 	0.83 	41.23 	0.67
64	-31  	3  	11  	1  	20.36 	14.00 	28.49 	2.75 	25.87 	2.75 	1.78 	5.89 	27.65 	5.89 	0.59 	28.11 	2.76
65	-31  	3  	12  	1  	42.88 	6.42 	34.28 	5.93 	30.91 	5.93 	47.99 	5.93 	17.09 	5.93 	0.92 	34.60 	5.93
66	-31  	3  	14  	1  	54.88 	4.73 	56.85 	4.23 	50.38 	4.23 	55.55 	4.23 	5.17 	4.23 	0.97 	56.88 	4.22
67	-31  	4  	2  	1  	26.99 	9.72 	34.51 	2.51 	31.64 	2.51 	12.97 	2.51 	18.68 	5.65 	0.83 	34.00 	2.51
68	-31  	4  	3  	1  	12.15 	22.47 	18.66 	5.51 	17.10 	5.51 	13.41 	2.37 	30.52 	2.37 	0.15 	18.25 	5.53
69	-31  	4  	9  	1  	38.04 	6.38 	35.26 	3.56 	32.26 	3.56 	37.39 	3.56 	5.13 	3.56 	0.92 	35.56 	3.56
70	-31  	4  	10  	1  	42.61 	5.74 	49.90 	2.26 	45.42 	2.26 	35.47 	2.26 	9.95 	5.40 	0.95 	49.97 	2.26
71	-31  	4  	11  	1  	22.42 	10.85 	14.16 	6.22 	12.81 	6.22 	7.71 	6.22 	5.09 	3.08 	0.46 	14.54 	6.22
72	-31  	4  	13  	1  	29.41 	8.86 	31.50 	2.17 	28.07 	2.17 	21.06 	2.17 	7.01 	5.32 	0.84 	31.13 	2.18
73	-31  	5  	1  	1  	41.61 	5.49 	34.02 	5.57 	31.21 	5.57 	45.70 	5.57 	14.48 	5.57 	0.92 	34.00 	5.57
74	-31  	5  	2  	1  	22.66 	14.75 	13.62 	5.11 	12.50 	5.11 	3.34 	5.11 	9.15 	1.96 	0.35 	13.82 	5.10
75	-31  	5  	4  	1  	14.29 	22.11 	41.79 	1.76 	38.33 	1.76 	27.28 	4.90 	65.61 	4.90 	0.39 	41.64 	1.77
76	-31  	5  	5  	1  	30.45 	10.31 	32.94 	2.54 	30.22 	2.54 	20.76 	2.54 	9.47 	5.68 	0.84 	33.28 	2.54
77	-31  	5  	6  	1  	41.52 	6.34 	53.80 	2.05 	49.37 	2.05 	29.51 	2.05 	19.85 	5.19 	0.95 	53.45 	2.05
78	-31  	5  	8  	1  	27.14 	10.91 	26.72 	2.47 	24.44 	2.47 	16.47 	2.47 	7.97 	5.61 	0.75 	26.84 	2.46
79	-31  	5  	9  	1  	68.77 	4.22 	62.96 	0.45 	57.33 	0.45 	77.09 	0.45 	19.76 	0.45 	0.98 	62.68 	0.43
80	-31  	5  	10  	0  	14.52 	18.45 	26.25 	3.19 	23.78 	3.19 	23.78 	3.19 	0.00 	0.00 	0.00 	26.47 	3.17
81	-31  	5  	11  	1  	28.24 	8.36 	19.26 	0.40 	17.34 	0.40 	23.07 	0.40 	5.74 	0.40 	0.72 	18.91 	0.39
82	-31  	5  	12  	1  	12.82 	17.24 	23.20 	0.22 	20.74 	0.22 	13.64 	3.36 	34.37 	3.36 	0.28 	23.18 	0.24
83	-31  	5  	13  	1  	40.28 	3.88 	63.30 	0.03 	56.13 	0.03 	21.12 	0.03 	35.01 	3.18 	0.96 	63.29 	0.03
84	-31  	6  	1  	1  	9.75 	29.55 	26.50 	1.73 	24.21 	1.73 	22.00 	4.88 	46.21 	4.88 	0.11 	26.25 	1.74
85	-31  	6  	2  	1  	38.04 	8.36 	52.34 	5.84 	47.93 	5.84 	23.26 	5.84 	24.66 	2.70 	0.94 	52.45 	5.83
86	-31  	6  	3  	1  	33.65 	6.88 	19.56 	4.53 	17.93 	4.53 	36.38 	4.53 	18.45 	4.53 	0.81 	19.35 	4.51
87	-31  	6  	5  	1  	54.96 	5.62 	71.98 	5.37 	65.95 	5.37 	41.07 	5.37 	24.88 	2.23 	0.97 	71.65 	5.38
88	-31  	6  	6  	1  	33.14 	8.21 	41.33 	3.91 	37.81 	3.91 	22.20 	3.91 	15.61 	0.77 	0.91 	41.41 	3.91
89	-31  	6  	7  	1  	43.50 	5.99 	42.37 	4.39 	38.66 	4.39 	43.17 	4.39 	4.51 	4.39 	0.94 	42.67 	4.39
90	-31  	6  	8  	1  	26.47 	10.66 	31.95 	2.29 	29.05 	2.29 	13.08 	2.29 	15.98 	5.43 	0.80 	31.90 	2.29
91	-31  	6  	10  	1  	39.45 	6.87 	44.75 	1.38 	40.30 	1.38 	33.22 	1.38 	7.08 	4.52 	0.93 	44.86 	1.38
92	-31  	6  	11  	1  	53.81 	2.91 	61.41 	2.80 	54.96 	2.80 	49.47 	2.80 	5.49 	5.95 	0.97 	61.27 	2.80
93	-31  	6  	12  	1  	54.41 	2.60 	67.70 	1.44 	60.16 	1.44 	45.77 	1.44 	14.39 	4.58 	0.97 	67.51 	1.44
94	-31  	7  	1  	0  	44.24 	5.70 	58.89 	0.06 	53.44 	0.06 	53.44 	0.06 	0.00 	0.00 	0.00 	59.01 	0.05
95	-31  	7  	2  	1  	42.77 	7.21 	38.93 	1.16 	35.40 	1.16 	43.93 	1.16 	8.53 	1.16 	0.93 	38.69 	1.15
96	-31  	7  	4  	1  	66.85 	4.40 	49.21 	0.77 	44.81 	0.77 	84.85 	0.77 	40.05 	0.77 	0.97 	49.05 	0.77
97	-31  	7  	5  	0  	21.51 	13.04 	32.19 	2.01 	29.29 	2.01 	29.29 	2.01 	0.00 	0.00 	0.00 	32.43 	2.02
98	-31  	7  	6  	1  	49.72 	5.80 	61.15 	0.32 	55.55 	0.32 	40.35 	0.32 	15.20 	3.47 	0.96 	61.57 	0.32
99	-31  	7  	7  	1  	6.92 	35.41 	36.73 	1.75 	33.28 	1.75 	32.16 	4.89 	65.44 	4.89 	0.08 	36.16 	1.74
