         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
2975	-23  	14  	15  	1  	44.66 	6.43 	32.28 	4.60 	31.30 	4.60 	39.46 	4.60 	8.16 	4.60 	0.79 	32.80 	4.62
2976	-23  	14  	16  	1  	70.64 	4.41 	76.95 	1.73 	74.27 	1.73 	60.80 	1.73 	13.47 	4.87 	0.96 	77.13 	1.70
2977	-23  	14  	17  	1  	31.07 	6.38 	21.84 	1.43 	20.96 	1.43 	16.88 	1.43 	4.08 	4.57 	0.61 	21.10 	1.41
2978	-23  	14  	19  	1  	24.30 	10.03 	51.67 	4.58 	49.43 	4.58 	9.64 	1.44 	59.07 	1.44 	0.82 	50.80 	4.60
2979	-23  	14  	20  	1  	46.60 	5.35 	33.56 	5.38 	32.18 	5.38 	51.87 	5.38 	19.69 	5.38 	0.90 	34.23 	5.38
2980	-23  	14  	21  	1  	107.96 	2.93 	95.84 	2.44 	91.79 	2.44 	121.62 	2.44 	29.83 	2.44 	0.99 	95.57 	2.45
2981	-23  	14  	22  	1  	28.18 	7.88 	18.94 	6.04 	17.50 	6.04 	20.82 	6.04 	3.33 	6.04 	0.68 	18.79 	6.03
2982	-23  	14  	23  	1  	38.73 	5.40 	45.47 	0.97 	41.69 	0.97 	30.80 	0.97 	10.89 	4.11 	0.94 	45.97 	0.98
2983	-23  	14  	24  	0  	40.37 	5.10 	32.99 	0.33 	30.01 	0.33 	30.01 	0.33 	0.00 	0.00 	0.00 	32.67 	0.33
2984	-23  	14  	25  	0  	15.33 	12.59 	26.02 	1.30 	23.20 	1.30 	23.20 	1.30 	0.00 	0.00 	0.00 	25.78 	1.31
2985	-23  	15  	1  	1  	39.02 	7.71 	69.50 	4.48 	68.25 	4.48 	0.62 	1.34 	68.87 	1.34 	0.87 	68.79 	4.47
2986	-23  	15  	3  	1  	88.71 	3.76 	80.88 	4.42 	79.53 	4.42 	90.10 	4.42 	10.57 	4.42 	0.96 	84.88 	4.40
2987	-23  	15  	4  	0  	63.58 	4.07 	73.92 	3.11 	72.64 	3.11 	72.64 	3.11 	0.00 	0.00 	0.00 	76.02 	3.11
2988	-23  	15  	5  	0  	102.85 	3.60 	68.79 	6.00 	67.50 	6.00 	67.50 	6.00 	0.00 	0.00 	0.00 	66.81 	6.02
2989	-23  	15  	6  	1  	127.38 	3.44 	93.87 	0.71 	91.91 	0.71 	156.13 	0.71 	64.22 	0.71 	0.97 	92.34 	0.70
2990	-23  	15  	7  	1  	40.86 	7.55 	40.18 	2.51 	39.23 	2.51 	22.70 	2.51 	16.52 	5.65 	0.76 	39.52 	2.46
2991	-23  	15  	8  	1  	18.22 	6.38 	52.00 	0.16 	50.57 	0.16 	29.54 	3.31 	80.11 	3.31 	0.58 	49.69 	0.16
2992	-23  	15  	9  	1  	106.28 	2.37 	107.97 	4.15 	104.62 	4.15 	102.00 	4.15 	2.62 	1.00 	0.97 	107.28 	4.13
2993	-23  	15  	10  	1  	20.79 	6.11 	49.90 	4.05 	48.42 	4.05 	22.25 	0.91 	70.67 	0.91 	0.63 	50.28 	4.07
2994	-23  	15  	11  	1  	26.79 	4.07 	30.39 	1.40 	29.54 	1.40 	1.34 	1.40 	28.21 	4.54 	0.58 	29.90 	1.41
2995	-23  	15  	12  	1  	24.99 	3.99 	40.63 	1.01 	39.57 	1.01 	5.42 	4.15 	44.99 	4.15 	0.68 	39.88 	0.99
2996	-23  	15  	13  	1  	99.73 	2.34 	91.95 	0.29 	89.32 	0.29 	104.70 	0.29 	15.38 	0.29 	0.97 	92.67 	0.31
2997	-23  	15  	14  	1  	62.65 	4.28 	32.71 	4.31 	31.66 	4.31 	77.61 	4.31 	45.96 	4.31 	0.87 	32.47 	4.30
2998	-23  	15  	15  	1  	67.85 	3.47 	62.50 	2.51 	60.23 	2.51 	68.16 	2.51 	7.94 	2.51 	0.95 	61.65 	2.50
2999	-23  	15  	16  	1  	34.66 	7.17 	31.53 	2.68 	30.22 	2.68 	22.85 	2.68 	7.38 	5.83 	0.77 	31.22 	2.69
3000	-23  	15  	17  	1  	93.79 	3.15 	91.70 	2.54 	87.66 	2.54 	96.11 	2.54 	8.46 	2.54 	0.98 	90.51 	2.55
3001	-23  	15  	18  	1  	61.05 	4.15 	52.10 	1.22 	49.84 	1.22 	66.10 	1.22 	16.25 	1.22 	0.95 	51.46 	1.24
3002	-23  	15  	19  	1  	34.03 	6.56 	55.47 	5.53 	53.19 	5.53 	9.11 	5.53 	44.09 	2.39 	0.92 	55.72 	5.54
3003	-23  	15  	20  	1  	85.13 	2.91 	70.79 	0.13 	67.90 	0.13 	98.95 	0.13 	31.05 	0.13 	0.98 	71.19 	0.13
3004	-23  	15  	21  	1  	33.26 	5.53 	22.10 	2.54 	20.49 	2.54 	33.16 	2.54 	12.67 	2.54 	0.81 	21.26 	2.53
3005	-23  	15  	22  	0  	13.77 	11.48 	6.64 	2.35 	6.09 	2.35 	6.09 	2.35 	0.00 	0.00 	0.00 	6.61 	2.34
3006	-23  	15  	24  	1  	26.69 	5.66 	22.51 	1.75 	20.16 	1.75 	22.00 	1.75 	1.84 	1.75 	0.79 	22.72 	1.74
3007	-23  	16  	1  	1  	126.74 	3.08 	100.91 	1.76 	97.79 	1.76 	149.32 	1.76 	51.53 	1.76 	0.97 	101.05 	1.76
3008	-23  	16  	2  	1  	66.88 	3.82 	63.32 	1.71 	61.35 	1.71 	61.75 	1.71 	0.40 	1.71 	0.92 	63.61 	1.71
3009	-23  	16  	3  	1  	109.89 	3.38 	102.23 	1.58 	99.06 	1.58 	114.34 	1.58 	15.28 	1.58 	0.97 	102.20 	1.60
3010	-23  	16  	4  	1  	110.41 	3.19 	91.55 	2.87 	88.70 	2.87 	125.03 	2.87 	36.33 	2.87 	0.97 	90.87 	2.90
3011	-23  	16  	5  	1  	86.53 	4.32 	75.45 	2.40 	73.13 	2.40 	91.22 	2.40 	18.09 	2.40 	0.95 	76.49 	2.40
3012	-23  	16  	6  	0  	24.17 	10.34 	11.44 	4.57 	11.10 	4.57 	11.10 	4.57 	0.00 	0.00 	0.00 	12.18 	4.46
3013	-23  	16  	7  	1  	96.25 	2.99 	104.96 	1.31 	101.88 	1.31 	84.85 	1.31 	17.03 	4.45 	0.97 	103.56 	1.33
3014	-23  	16  	8  	1  	39.59 	6.37 	49.58 	5.70 	48.17 	5.70 	17.21 	5.70 	30.96 	2.56 	0.83 	50.48 	5.75
3015	-23  	16  	9  	1  	64.44 	2.39 	24.61 	1.55 	23.95 	1.55 	79.62 	1.55 	55.68 	1.55 	0.80 	25.41 	1.54
3016	-23  	16  	10  	1  	102.64 	2.05 	100.99 	5.64 	98.38 	5.64 	101.79 	5.64 	3.41 	5.64 	0.98 	101.62 	5.65
3017	-23  	16  	11  	0  	2.05 	54.74 	10.22 	2.87 	9.92 	2.87 	9.92 	2.87 	0.00 	0.00 	0.00 	9.04 	2.95
3018	-23  	16  	12  	1  	61.89 	3.03 	74.27 	6.19 	71.94 	6.19 	45.20 	6.19 	26.73 	3.05 	0.95 	73.20 	6.20
3019	-23  	16  	13  	1  	93.04 	2.34 	97.31 	3.63 	93.94 	3.63 	87.43 	3.63 	6.51 	0.49 	0.97 	97.73 	3.64
3020	-23  	16  	14  	0  	47.12 	6.36 	42.47 	4.73 	40.82 	4.73 	40.82 	4.73 	0.00 	0.00 	0.00 	41.84 	4.71
3021	-23  	16  	15  	1  	19.22 	15.12 	55.13 	5.23 	52.74 	5.23 	27.56 	2.09 	80.30 	2.09 	0.65 	54.91 	5.24
3022	-23  	16  	16  	1  	74.66 	4.07 	56.98 	4.98 	54.48 	4.98 	88.73 	4.98 	34.25 	4.98 	0.96 	57.78 	4.96
3023	-23  	16  	17  	1  	84.33 	3.06 	83.03 	2.77 	79.45 	2.77 	85.62 	2.77 	6.17 	2.77 	0.98 	83.15 	2.78
3024	-23  	16  	18  	1  	26.38 	6.81 	29.78 	2.17 	28.57 	2.17 	12.28 	2.17 	16.29 	5.31 	0.77 	30.15 	2.17
3025	-23  	16  	19  	1  	54.32 	3.45 	39.35 	0.52 	37.65 	0.52 	64.67 	0.52 	27.02 	0.52 	0.94 	39.50 	0.52
3026	-23  	16  	20  	1  	19.37 	11.35 	22.90 	1.61 	21.22 	1.61 	0.74 	4.75 	21.97 	4.75 	0.53 	23.00 	1.63
3027	-23  	16  	21  	1  	33.52 	6.92 	33.42 	6.13 	30.63 	6.13 	28.55 	6.13 	2.08 	2.99 	0.88 	33.40 	6.13
3028	-23  	16  	22  	1  	26.90 	8.36 	29.19 	2.39 	26.67 	2.39 	17.49 	2.39 	9.18 	5.54 	0.82 	28.90 	2.39
3029	-23  	16  	23  	1  	24.48 	8.78 	20.84 	4.02 	18.71 	4.02 	14.71 	4.02 	4.00 	0.87 	0.68 	20.83 	4.02
3030	-23  	17  	1  	1  	62.48 	5.95 	50.75 	1.10 	49.38 	1.10 	63.77 	1.10 	14.39 	1.10 	0.91 	50.07 	1.11
3031	-23  	17  	2  	1  	72.96 	3.56 	100.19 	1.82 	97.46 	1.82 	42.85 	1.82 	54.61 	4.97 	0.96 	100.00 	1.83
3032	-23  	17  	3  	1  	119.12 	3.71 	91.62 	0.87 	89.12 	0.87 	143.00 	0.87 	53.88 	0.87 	0.97 	91.35 	0.87
3033	-23  	17  	4  	1  	178.35 	3.29 	154.65 	1.35 	150.46 	1.35 	202.69 	1.35 	52.23 	1.35 	0.99 	156.25 	1.35
3034	-23  	17  	5  	1  	105.01 	2.78 	95.14 	6.15 	92.60 	6.15 	111.72 	6.15 	19.12 	6.15 	0.97 	95.61 	6.15
3035	-23  	17  	6  	1  	97.64 	3.71 	102.76 	1.32 	100.06 	1.32 	90.01 	1.32 	10.05 	4.46 	0.97 	101.17 	1.34
3036	-23  	17  	7  	1  	87.93 	2.96 	76.11 	5.89 	74.09 	5.89 	94.92 	5.89 	20.83 	5.89 	0.96 	76.86 	5.89
3037	-23  	17  	8  	1  	40.42 	5.41 	25.01 	2.35 	24.31 	2.35 	31.25 	2.35 	6.95 	2.35 	0.69 	24.43 	2.41
3038	-23  	17  	9  	0  	67.73 	4.85 	71.31 	0.21 	69.16 	0.21 	69.16 	0.21 	0.00 	0.00 	0.00 	70.72 	0.22
3039	-23  	17  	10  	1  	49.45 	2.84 	14.26 	0.87 	13.80 	0.87 	45.00 	0.87 	31.20 	0.87 	0.59 	13.65 	0.94
3040	-23  	17  	11  	1  	16.20 	5.40 	10.74 	0.25 	10.36 	0.25 	4.52 	3.39 	14.89 	3.39 	0.18 	10.94 	0.31
3041	-23  	17  	12  	1  	32.67 	2.99 	31.63 	1.65 	30.41 	1.65 	19.26 	1.65 	11.16 	4.79 	0.76 	31.63 	1.62
3042	-23  	17  	13  	1  	72.51 	2.12 	85.92 	0.22 	82.30 	0.22 	58.25 	0.22 	24.05 	3.36 	0.97 	86.82 	0.23
3043	-23  	17  	14  	1  	43.36 	7.02 	39.86 	5.22 	38.09 	5.22 	38.09 	5.22 	0.00 	2.08 	0.88 	37.97 	5.23
3044	-23  	17  	15  	1  	23.68 	8.69 	13.99 	4.35 	13.38 	4.35 	5.37 	4.35 	8.01 	1.21 	0.40 	14.11 	4.40
3045	-23  	17  	17  	1  	87.24 	3.54 	73.74 	3.46 	70.82 	3.46 	100.11 	3.46 	29.30 	3.46 	0.98 	73.43 	3.46
3046	-23  	17  	18  	1  	54.02 	4.97 	53.26 	3.57 	50.62 	3.57 	52.58 	3.57 	1.96 	3.57 	0.96 	52.88 	3.57
3047	-23  	17  	19  	1  	38.77 	6.50 	47.00 	2.25 	43.34 	2.25 	28.44 	2.25 	14.90 	5.39 	0.93 	46.44 	2.25
3048	-23  	17  	20  	1  	28.47 	7.77 	40.28 	5.18 	36.92 	5.18 	13.19 	5.18 	23.73 	2.04 	0.88 	39.94 	5.19
3049	-23  	17  	21  	1  	36.13 	5.84 	36.93 	2.10 	33.73 	2.10 	32.58 	2.10 	1.16 	5.24 	0.92 	36.63 	2.11
3050	-23  	17  	22  	1  	25.18 	8.80 	6.83 	3.95 	6.13 	3.95 	9.29 	3.95 	3.15 	3.95 	0.31 	6.49 	3.90
3051	-23  	18  	1  	1  	49.72 	6.36 	44.57 	1.45 	43.19 	1.45 	43.75 	1.45 	0.56 	1.45 	0.87 	43.75 	1.44
3052	-23  	18  	2  	1  	45.06 	5.94 	58.37 	1.00 	56.58 	1.00 	24.21 	1.00 	32.38 	4.14 	0.90 	58.72 	0.99
3053	-23  	18  	3  	1  	113.12 	3.37 	84.23 	1.12 	81.66 	1.12 	138.71 	1.12 	57.05 	1.12 	0.97 	84.19 	1.13
3054	-23  	18  	4  	1  	42.26 	7.63 	31.47 	3.08 	30.50 	3.08 	34.02 	3.08 	3.52 	3.08 	0.76 	34.30 	3.09
3055	-23  	18  	5  	1  	76.79 	3.43 	72.04 	1.22 	69.79 	1.22 	76.93 	1.22 	7.14 	1.22 	0.96 	71.01 	1.22
3056	-23  	18  	6  	1  	45.15 	5.87 	36.76 	3.94 	35.57 	3.94 	39.45 	3.94 	3.88 	3.94 	0.83 	34.73 	3.95
3057	-23  	18  	7  	1  	80.12 	3.64 	79.16 	4.65 	76.51 	4.65 	77.66 	4.65 	1.15 	4.65 	0.96 	79.62 	4.66
3058	-23  	18  	8  	1  	48.57 	5.96 	35.91 	2.20 	34.65 	2.20 	47.68 	2.20 	13.03 	2.20 	0.85 	36.98 	2.19
3059	-23  	18  	9  	1  	55.54 	4.18 	64.20 	5.93 	61.80 	5.93 	42.18 	5.93 	19.62 	2.79 	0.94 	65.84 	5.94
3060	-23  	18  	10  	1  	97.60 	2.82 	96.44 	1.08 	92.59 	1.08 	98.37 	1.08 	5.78 	1.08 	0.98 	95.32 	1.07
3061	-23  	18  	11  	1  	14.43 	6.73 	14.79 	6.28 	14.15 	6.28 	6.95 	3.14 	21.10 	3.14 	0.25 	15.10 	6.23
3062	-23  	18  	13  	1  	2.81 	19.99 	46.09 	0.78 	44.08 	0.78 	43.58 	3.92 	87.65 	3.92 	0.09 	46.29 	0.79
3063	-23  	18  	14  	0  	62.10 	3.60 	40.44 	1.43 	38.70 	1.43 	38.70 	1.43 	0.00 	0.00 	0.00 	39.70 	1.44
3064	-23  	18  	15  	1  	41.55 	6.99 	38.90 	2.60 	37.31 	2.60 	37.36 	2.60 	0.05 	2.60 	0.90 	39.80 	2.59
3065	-23  	18  	16  	0  	15.64 	17.67 	20.32 	1.40 	19.54 	1.40 	19.54 	1.40 	0.00 	0.00 	0.00 	20.08 	1.39
3066	-23  	18  	17  	1  	18.05 	13.47 	18.20 	3.07 	17.11 	3.07 	3.82 	6.21 	20.93 	6.21 	0.37 	18.59 	3.06
3067	-23  	18  	18  	1  	57.93 	4.54 	36.67 	0.62 	33.58 	0.62 	75.78 	0.62 	42.21 	0.62 	0.94 	35.96 	0.64
3068	-23  	18  	19  	1  	29.19 	8.30 	25.89 	3.78 	23.74 	3.78 	23.17 	3.78 	0.57 	0.64 	0.80 	26.56 	3.79
3069	-23  	18  	20  	1  	15.73 	15.31 	17.19 	1.27 	15.66 	1.27 	6.25 	4.41 	21.92 	4.41 	0.30 	17.16 	1.27
3070	-23  	19  	1  	1  	43.86 	5.84 	46.08 	0.54 	44.30 	0.54 	33.09 	0.54 	11.21 	3.68 	0.88 	46.12 	0.53
3071	-23  	19  	2  	0  	50.92 	6.58 	53.07 	5.80 	51.04 	5.80 	51.04 	5.80 	0.00 	0.00 	0.00 	53.50 	5.81
3072	-23  	19  	4  	1  	40.01 	6.53 	39.16 	0.67 	37.66 	0.67 	29.41 	0.67 	8.25 	3.81 	0.84 	40.46 	0.68
3073	-23  	19  	5  	1  	63.06 	4.92 	60.39 	2.63 	58.02 	2.63 	60.76 	2.63 	2.74 	2.63 	0.94 	59.67 	2.64
3074	-23  	19  	6  	1  	33.36 	8.79 	34.04 	0.58 	32.67 	0.58 	17.56 	0.58 	15.10 	3.72 	0.75 	33.05 	0.58
3075	-23  	19  	7  	1  	35.48 	6.09 	31.08 	6.21 	29.78 	6.21 	25.50 	6.21 	4.29 	3.07 	0.78 	30.44 	6.19
3076	-23  	19  	8  	1  	45.16 	5.20 	44.07 	1.90 	42.15 	1.90 	38.76 	1.90 	3.39 	5.04 	0.90 	43.42 	1.94
3077	-23  	19  	9  	1  	27.22 	8.22 	35.94 	3.85 	34.35 	3.85 	6.46 	3.85 	27.89 	0.71 	0.75 	35.65 	3.85
3078	-23  	19  	10  	1  	41.06 	5.50 	30.81 	1.07 	29.46 	1.07 	39.87 	1.07 	10.41 	1.07 	0.84 	31.33 	1.04
3079	-23  	19  	11  	1  	45.48 	2.37 	36.73 	3.37 	35.14 	3.37 	46.95 	3.37 	11.82 	3.37 	0.90 	38.08 	3.37
3080	-23  	19  	12  	1  	21.86 	3.28 	31.13 	3.39 	29.79 	3.39 	2.90 	3.39 	26.89 	0.24 	0.75 	30.27 	3.39
3081	-23  	19  	13  	1  	40.63 	1.60 	27.38 	5.40 	26.26 	5.40 	44.63 	5.40 	18.38 	5.40 	0.87 	27.54 	5.40
3082	-23  	19  	14  	1  	83.32 	3.84 	69.10 	1.80 	66.40 	1.80 	96.51 	1.80 	30.10 	1.80 	0.98 	69.17 	1.79
3083	-23  	19  	15  	1  	39.10 	6.42 	25.35 	1.38 	24.05 	1.38 	42.45 	1.38 	18.40 	1.38 	0.85 	24.85 	1.38
3084	-23  	19  	16  	1  	75.51 	3.90 	64.20 	1.16 	59.45 	1.16 	87.91 	1.16 	28.46 	1.16 	0.98 	64.30 	1.16
3085	-23  	19  	17  	1  	30.74 	6.35 	21.32 	0.52 	19.53 	0.52 	28.77 	0.52 	9.24 	0.52 	0.79 	21.51 	0.55
3086	-23  	19  	18  	1  	32.79 	5.60 	43.64 	0.16 	40.04 	0.16 	20.53 	0.16 	19.51 	3.31 	0.92 	43.96 	0.17
3087	-23  	19  	19  	1  	35.68 	5.01 	33.27 	1.98 	30.18 	1.98 	34.72 	1.98 	4.54 	1.98 	0.91 	33.13 	1.97
3088	-23  	19  	20  	1  	24.15 	7.84 	3.17 	1.02 	2.83 	1.02 	4.41 	1.02 	1.58 	1.02 	0.15 	3.39 	1.07
3089	-23  	20  	1  	0  	78.71 	4.13 	59.22 	2.21 	56.62 	2.21 	56.62 	2.21 	0.00 	0.00 	0.00 	59.17 	2.21
3090	-23  	20  	2  	1  	20.94 	12.32 	49.38 	1.64 	47.21 	1.64 	17.28 	4.78 	64.48 	4.78 	0.71 	48.62 	1.63
3091	-23  	20  	3  	1  	59.05 	4.97 	34.60 	0.65 	33.07 	0.65 	74.08 	0.65 	41.01 	0.65 	0.91 	34.02 	0.64
3092	-23  	20  	5  	1  	31.92 	7.10 	23.49 	3.84 	22.45 	3.84 	21.87 	3.84 	0.59 	0.70 	0.69 	22.76 	3.80
3093	-23  	20  	6  	1  	40.53 	5.96 	13.70 	3.74 	13.10 	3.74 	36.44 	3.74 	23.33 	3.74 	0.61 	12.85 	3.71
3094	-23  	20  	7  	1  	56.85 	4.61 	55.04 	5.22 	52.64 	5.22 	54.87 	5.22 	2.23 	5.22 	0.95 	55.15 	5.22
3095	-23  	20  	8  	1  	46.03 	5.60 	48.24 	3.43 	46.15 	3.43 	38.82 	3.43 	7.34 	0.29 	0.92 	47.61 	3.42
3096	-23  	20  	9  	1  	21.49 	9.14 	19.38 	3.21 	18.55 	3.21 	2.65 	3.21 	15.90 	0.07 	0.49 	19.77 	3.22
3097	-23  	20  	10  	1  	38.79 	5.45 	54.51 	5.44 	52.24 	5.44 	19.66 	5.44 	32.58 	2.30 	0.93 	54.70 	5.44
3098	-23  	20  	11  	1  	66.84 	3.24 	66.27 	2.49 	63.61 	2.49 	66.06 	2.49 	2.45 	2.49 	0.97 	66.62 	2.50
3099	-23  	20  	13  	1  	33.45 	1.92 	40.41 	2.63 	38.32 	2.63 	22.61 	2.63 	15.71 	5.77 	0.91 	40.20 	2.63
3100	-23  	20  	14  	1  	25.75 	8.06 	22.85 	2.75 	21.23 	2.75 	15.14 	2.75 	6.09 	5.90 	0.71 	22.38 	2.71
3101	-23  	20  	15  	1  	46.89 	4.65 	20.48 	0.98 	18.75 	0.98 	62.97 	0.98 	44.22 	0.98 	0.87 	20.83 	0.99
3102	-23  	20  	16  	1  	8.98 	21.39 	18.59 	1.42 	17.05 	1.42 	14.87 	4.56 	31.92 	4.56 	0.12 	18.82 	1.40
3103	-23  	20  	17  	0  	35.47 	5.20 	32.86 	1.95 	30.03 	1.95 	30.03 	1.95 	0.00 	0.00 	0.00 	32.63 	1.96
3104	-23  	20  	18  	1  	26.63 	7.19 	34.38 	1.84 	30.99 	1.84 	14.73 	1.84 	16.26 	4.98 	0.86 	34.77 	1.84
3105	-23  	20  	19  	1  	59.99 	3.15 	62.38 	1.62 	55.43 	1.62 	61.34 	1.62 	5.91 	1.62 	0.97 	62.55 	1.62
3106	-23  	21  	1  	1  	48.33 	6.17 	51.11 	1.32 	48.98 	1.32 	41.46 	1.32 	7.52 	4.46 	0.94 	51.38 	1.33
3107	-23  	21  	2  	1  	64.91 	4.97 	67.51 	2.40 	64.68 	2.40 	60.68 	2.40 	3.99 	5.55 	0.97 	67.65 	2.41
3108	-23  	21  	3  	1  	32.44 	7.30 	27.09 	5.32 	25.96 	5.32 	24.97 	5.32 	0.98 	2.18 	0.78 	27.57 	5.35
3109	-23  	21  	4  	1  	41.29 	6.05 	34.52 	4.28 	33.07 	4.28 	39.96 	4.28 	6.88 	4.28 	0.88 	33.90 	4.25
3110	-23  	21  	8  	1  	78.89 	3.16 	67.15 	1.41 	64.50 	1.41 	89.43 	1.41 	24.93 	1.41 	0.98 	67.68 	1.41
3111	-23  	21  	9  	1  	11.92 	18.35 	16.15 	4.83 	15.53 	4.83 	11.65 	1.69 	27.18 	1.69 	0.16 	16.23 	4.82
3112	-23  	21  	10  	1  	42.31 	4.84 	20.64 	3.48 	19.66 	3.48 	51.40 	3.48 	31.74 	3.48 	0.84 	20.61 	3.49
3113	-23  	21  	12  	1  	32.59 	2.08 	31.43 	0.27 	29.01 	0.27 	28.70 	0.27 	0.31 	3.41 	0.89 	31.15 	0.26
3114	-23  	21  	13  	1  	19.37 	2.45 	26.01 	0.62 	23.83 	0.62 	5.46 	0.62 	18.37 	3.76 	0.76 	25.88 	0.62
3115	-23  	21  	14  	1  	22.91 	9.59 	21.00 	1.48 	19.26 	1.48 	10.04 	1.48 	9.22 	4.62 	0.64 	21.77 	1.50
3116	-23  	21  	15  	1  	51.49 	4.11 	48.24 	5.34 	44.18 	5.34 	54.78 	5.34 	10.60 	5.34 	0.96 	48.54 	5.34
3117	-23  	21  	16  	1  	27.55 	7.69 	29.22 	6.14 	26.45 	6.14 	19.34 	6.14 	7.11 	3.00 	0.83 	29.51 	6.14
3118	-23  	21  	17  	1  	17.91 	10.32 	16.48 	5.02 	14.73 	5.02 	0.95 	5.02 	13.78 	1.88 	0.44 	16.23 	5.05
3119	-23  	22  	1  	1  	19.37 	13.35 	21.12 	3.10 	20.10 	3.10 	2.97 	6.25 	23.07 	6.25 	0.44 	20.96 	3.14
3120	-23  	22  	2  	0  	45.36 	5.12 	24.87 	0.93 	23.72 	0.93 	23.72 	0.93 	0.00 	0.00 	0.00 	25.11 	0.92
3121	-23  	22  	3  	1  	54.25 	5.37 	33.39 	0.08 	31.87 	0.08 	68.57 	0.08 	36.70 	0.08 	0.93 	32.48 	0.08
3122	-23  	22  	4  	1  	68.18 	4.49 	47.68 	3.40 	45.45 	3.40 	85.61 	3.40 	40.16 	3.40 	0.96 	47.37 	3.39
3123	-23  	22  	5  	1  	30.21 	8.76 	40.18 	0.52 	38.17 	0.52 	13.91 	0.52 	24.25 	3.66 	0.86 	40.18 	0.52
3124	-23  	22  	6  	1  	74.10 	3.14 	68.17 	3.64 	64.43 	3.64 	80.29 	3.64 	15.86 	3.64 	0.98 	67.55 	3.65
3125	-23  	22  	9  	1  	65.08 	4.46 	74.91 	3.13 	68.88 	3.13 	58.11 	3.13 	10.77 	6.27 	0.98 	76.34 	3.12
3126	-23  	22  	10  	1  	56.55 	3.24 	52.22 	2.55 	47.83 	2.55 	61.07 	2.55 	13.24 	2.55 	0.96 	52.56 	2.54
3127	-23  	22  	11  	1  	10.46 	14.25 	13.13 	0.07 	12.03 	0.07 	8.60 	3.21 	20.63 	3.21 	0.16 	13.63 	0.08
3128	-23  	22  	12  	1  	38.27 	4.18 	50.34 	0.41 	46.18 	0.41 	26.34 	0.41 	19.84 	3.55 	0.95 	50.28 	0.40
3129	-23  	22  	13  	1  	43.73 	1.62 	59.16 	0.51 	54.05 	0.51 	30.40 	0.51 	23.65 	3.65 	0.97 	59.08 	0.51
3130	-23  	22  	14  	1  	25.93 	7.88 	36.10 	1.02 	32.66 	1.02 	11.71 	1.02 	20.95 	4.16 	0.86 	36.29 	1.03
3131	-23  	22  	15  	1  	40.42 	6.72 	35.60 	0.91 	31.87 	0.91 	42.10 	0.91 	10.23 	0.91 	0.91 	35.65 	0.91
3132	-23  	23  	1  	1  	28.21 	10.58 	28.13 	3.47 	25.77 	3.47 	17.13 	3.47 	8.64 	0.33 	0.76 	27.26 	3.46
3133	-23  	23  	2  	1  	49.72 	6.70 	26.53 	5.71 	24.30 	5.71 	65.06 	5.71 	40.76 	5.71 	0.90 	26.30 	5.72
3134	-23  	23  	3  	1  	7.73 	29.53 	9.97 	0.20 	9.13 	0.20 	8.62 	3.34 	17.75 	3.34 	0.03 	9.39 	0.19
3135	-23  	23  	4  	1  	45.45 	4.99 	45.53 	0.93 	41.70 	0.93 	44.00 	0.93 	2.29 	0.93 	0.94 	44.71 	0.92
3136	-23  	23  	5  	1  	37.94 	5.73 	14.93 	3.98 	13.68 	3.98 	43.58 	3.98 	29.91 	3.98 	0.75 	14.64 	4.03
3137	-23  	23  	6  	1  	36.06 	6.74 	38.15 	2.66 	34.96 	2.66 	30.38 	2.66 	4.58 	5.80 	0.91 	37.99 	2.65
3138	-23  	23  	7  	1  	31.72 	7.85 	31.86 	5.45 	29.21 	5.45 	25.44 	5.45 	3.77 	2.31 	0.86 	32.27 	5.46
3139	-23  	23  	8  	1  	14.16 	13.51 	16.52 	0.44 	15.15 	0.44 	6.84 	3.59 	21.99 	3.59 	0.29 	15.95 	0.44
3140	-23  	23  	9  	1  	13.71 	12.18 	34.52 	5.93 	31.67 	5.93 	15.92 	2.79 	47.59 	2.79 	0.57 	34.16 	5.92
3141	-23  	23  	10  	1  	25.06 	6.98 	31.33 	1.68 	28.62 	1.68 	13.48 	1.68 	15.14 	4.83 	0.84 	31.39 	1.68
