         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
418	-15  	3  	8  	94.32 	4.70 	86.93 	-2.14
419	-15  	3  	9  	122.32 	2.17 	83.54 	-0.32
420	-15  	3  	10  	127.68 	3.38 	111.90 	0.61
421	-15  	3  	11  	101.55 	5.49 	101.24 	1.42
422	-15  	3  	12  	43.53 	0.60 	57.98 	2.28
423	-15  	4  	2  	16.58 	5.31 	7.07 	1.62
424	-15  	4  	4  	17.86 	5.84 	21.02 	-2.76
425	-15  	4  	5  	42.75 	14.46 	29.10 	-1.20
426	-15  	4  	8  	32.47 	6.24 	38.87 	0.22
427	-15  	4  	9  	12.06 	4.02 	10.91 	-0.04
428	-15  	5  	1  	21.02 	3.00 	28.13 	2.88
429	-15  	5  	2  	30.36 	5.28 	35.06 	1.76
430	-15  	5  	3  	73.46 	1.63 	80.99 	2.00
431	-15  	5  	4  	44.27 	2.26 	60.05 	0.65
432	-15  	5  	5  	33.27 	2.24 	41.75 	-0.10
433	-15  	5  	6  	48.46 	1.27 	77.17 	0.77
434	-15  	5  	7  	78.10 	1.57 	50.59 	-0.08
435	-15  	5  	8  	47.22 	2.49 	40.36 	0.93
436	-15  	5  	9  	71.72 	1.23 	51.58 	-0.48
437	-15  	5  	10  	70.76 	0.61 	51.11 	-1.45
438	-15  	5  	11  	21.16 	2.12 	7.12 	1.61
439	-15  	5  	12  	31.17 	0.60 	16.19 	1.46
440	-15  	5  	13  	46.96 	2.08 	51.02 	-2.50
441	-15  	6  	1  	13.60 	6.63 	7.93 	0.85
442	-15  	6  	7  	15.28 	4.36 	13.18 	0.50
443	-15  	6  	9  	12.54 	3.37 	10.85 	2.61
444	-15  	6  	10  	10.31 	4.24 	9.29 	1.82
445	-15  	6  	13  	7.98 	1.48 	7.17 	-2.71
446	-15  	7  	1  	43.13 	3.62 	38.38 	2.89
447	-15  	7  	2  	24.10 	2.93 	14.45 	2.24
448	-15  	7  	3  	20.30 	2.90 	26.53 	0.20
449	-15  	7  	4  	24.56 	2.87 	29.32 	-2.41
450	-15  	7  	5  	41.99 	2.84 	72.15 	2.60
451	-15  	7  	6  	19.69 	2.81 	40.15 	2.62
452	-15  	7  	7  	43.96 	2.17 	45.33 	0.02
453	-15  	7  	8  	37.41 	1.53 	40.51 	-2.67
454	-15  	7  	9  	73.22 	1.52 	67.39 	-1.45
455	-15  	7  	10  	92.13 	1.51 	111.64 	0.31
456	-15  	7  	11  	96.09 	1.49 	62.77 	0.69
457	-15  	7  	12  	48.52 	2.66 	56.26 	-0.98
458	-15  	7  	13  	19.07 	1.47 	6.59 	-0.86
459	-15  	7  	14  	12.51 	4.07 	20.65 	-2.14
460	-15  	8  	3  	16.62 	4.48 	17.70 	1.52
461	-15  	8  	9  	12.96 	2.11 	22.00 	-1.76
462	-15  	9  	1  	16.18 	7.12 	9.58 	-0.04
463	-15  	9  	2  	54.10 	2.24 	40.14 	0.45
464	-15  	9  	3  	58.60 	2.85 	32.00 	1.62
465	-15  	9  	4  	35.43 	2.19 	35.29 	1.42
466	-15  	9  	5  	18.31 	4.34 	17.84 	-1.74
467	-15  	9  	6  	29.80 	1.54 	18.59 	1.87
468	-15  	9  	7  	42.60 	1.22 	31.29 	-2.33
469	-15  	9  	8  	29.84 	1.51 	15.04 	1.26
470	-15  	9  	9  	13.44 	4.18 	26.39 	3.11
471	-15  	9  	10  	29.30 	2.66 	32.91 	-2.28
472	-15  	9  	11  	16.43 	2.05 	17.97 	-0.54
473	-15  	9  	12  	71.24 	4.07 	74.17 	-0.83
474	-15  	9  	13  	95.44 	5.77 	80.36 	-0.90
475	-15  	9  	14  	18.02 	3.72 	34.75 	-0.89
476	-15  	10  	2  	14.89 	7.29 	5.97 	-1.79
477	-15  	10  	13  	12.27 	5.14 	12.48 	1.40
478	-15  	10  	14  	9.62 	3.96 	7.30 	1.07
479	-15  	11  	1  	17.10 	5.07 	14.04 	-2.96
480	-15  	11  	2  	29.76 	2.19 	23.38 	-1.36
481	-15  	11  	3  	42.47 	1.55 	50.14 	1.03
482	-15  	11  	4  	38.04 	1.53 	32.81 	0.99
483	-15  	11  	5  	54.06 	3.34 	47.48 	2.25
484	-15  	11  	6  	27.06 	2.10 	7.56 	0.61
485	-15  	11  	7  	32.16 	3.28 	25.75 	2.05
486	-15  	11  	8  	21.83 	1.47 	17.77 	2.57
487	-15  	11  	9  	23.67 	2.63 	38.75 	3.09
488	-15  	11  	10  	24.90 	1.45 	40.80 	-2.89
489	-15  	11  	11  	31.57 	2.01 	31.41 	1.42
490	-15  	11  	12  	40.41 	4.55 	28.32 	0.86
491	-15  	11  	13  	21.73 	0.56 	25.13 	1.05
492	-15  	12  	3  	13.78 	7.04 	14.72 	-1.82
493	-15  	12  	4  	19.09 	3.94 	13.20 	-2.20
494	-15  	12  	5  	14.10 	6.00 	10.45 	-1.53
495	-15  	12  	8  	13.11 	4.08 	10.27 	1.58
496	-15  	12  	9  	11.83 	4.62 	17.28 	0.22
497	-15  	12  	10  	18.02 	3.15 	15.40 	-2.78
498	-15  	13  	4  	34.38 	4.78 	15.36 	1.21
499	-15  	13  	5  	20.12 	7.40 	15.42 	-2.20
500	-15  	13  	6  	20.51 	2.64 	40.64 	-2.89
501	-15  	13  	7  	36.56 	4.64 	35.54 	2.40
502	-15  	13  	8  	38.80 	4.02 	51.83 	-3.04
503	-15  	13  	9  	15.38 	4.56 	26.49 	-1.40
504	-15  	13  	10  	15.80 	3.10 	26.91 	-0.67
505	-15  	13  	11  	20.70 	1.96 	23.87 	1.45
506	-14  	0  	7  	34.50 	7.99 	13.01 	0.00
507	-14  	0  	8  	134.58 	7.92 	121.45 	0.00
508	-14  	0  	9  	36.11 	2.51 	0.19 	0.00
509	-14  	0  	10  	50.44 	2.49 	50.38 	3.14
510	-14  	0  	11  	92.34 	1.24 	74.70 	0.00
511	-14  	1  	5  	28.61 	9.43 	34.88 	-0.18
512	-14  	1  	6  	28.35 	10.95 	38.18 	-1.85
513	-14  	1  	7  	18.52 	4.79 	37.33 	2.96
514	-14  	1  	8  	12.98 	5.06 	15.45 	2.17
515	-14  	1  	9  	16.32 	4.39 	13.92 	-1.49
516	-14  	1  	11  	7.72 	2.47 	4.44 	-2.36
517	-14  	2  	1  	91.80 	1.69 	67.95 	-0.53
518	-14  	2  	2  	48.78 	3.01 	45.06 	-2.36
519	-14  	2  	3  	94.96 	1.99 	91.56 	1.79
520	-14  	2  	4  	64.55 	1.97 	55.17 	-0.66
521	-14  	2  	5  	49.99 	2.27 	16.00 	-2.82
522	-14  	2  	6  	45.03 	3.22 	23.92 	-1.25
523	-14  	2  	7  	71.72 	4.14 	55.33 	2.37
524	-14  	2  	8  	208.23 	6.95 	217.12 	-1.76
525	-14  	2  	9  	57.65 	2.82 	79.66 	-1.48
526	-14  	2  	10  	36.97 	1.24 	53.36 	1.61
527	-14  	2  	11  	26.50 	1.54 	55.19 	1.02
528	-14  	3  	2  	38.99 	16.33 	39.71 	-0.02
529	-14  	3  	3  	17.82 	7.26 	10.07 	-2.38
530	-14  	3  	4  	20.26 	4.90 	21.27 	-3.00
531	-14  	3  	5  	33.67 	11.01 	37.31 	0.94
532	-14  	3  	7  	14.31 	4.45 	24.53 	0.55
533	-14  	3  	8  	24.89 	9.14 	56.25 	0.31
534	-14  	3  	11  	7.68 	3.38 	26.83 	1.13
535	-14  	4  	1  	62.04 	1.68 	68.15 	-0.95
536	-14  	4  	2  	56.77 	4.65 	33.98 	-0.04
537	-14  	4  	3  	17.75 	3.62 	19.83 	1.66
538	-14  	4  	4  	34.51 	2.28 	57.77 	-2.94
539	-14  	4  	5  	127.72 	2.90 	106.38 	0.87
540	-14  	4  	6  	66.47 	1.28 	66.30 	2.29
541	-14  	4  	7  	91.84 	1.27 	86.57 	1.60
542	-14  	4  	8  	17.27 	2.51 	27.79 	1.17
543	-14  	4  	9  	53.85 	1.87 	38.42 	-0.90
544	-14  	4  	10  	97.23 	1.23 	91.69 	0.98
545	-14  	4  	11  	23.58 	0.61 	31.16 	0.41
546	-14  	4  	12  	49.21 	0.61 	58.93 	-1.28
547	-14  	5  	4  	41.47 	6.48 	33.80 	1.02
548	-14  	5  	5  	20.22 	4.49 	13.96 	0.06
549	-14  	5  	8  	14.68 	4.37 	31.81 	-2.40
550	-14  	5  	9  	17.97 	5.89 	12.05 	-0.93
551	-14  	6  	1  	73.98 	4.64 	57.67 	0.03
552	-14  	6  	2  	45.98 	1.31 	59.92 	1.57
553	-14  	6  	3  	32.84 	2.28 	51.28 	2.08
554	-14  	6  	4  	31.56 	2.58 	17.58 	-2.11
555	-14  	6  	5  	37.65 	3.51 	55.22 	-0.67
556	-14  	6  	6  	43.62 	1.90 	59.49 	0.65
557	-14  	6  	7  	71.74 	1.25 	76.17 	-2.89
558	-14  	6  	8  	171.74 	1.86 	142.00 	-2.31
559	-14  	6  	9  	41.57 	1.23 	49.56 	0.67
560	-14  	6  	10  	71.45 	1.53 	48.07 	1.02
561	-14  	6  	11  	34.23 	0.61 	17.97 	-2.14
562	-14  	6  	12  	18.93 	1.50 	33.18 	0.28
563	-14  	6  	13  	29.52 	2.68 	41.39 	-0.01
564	-14  	6  	14  	5.33 	2.07 	29.38 	-1.06
565	-14  	7  	3  	15.18 	5.17 	15.76 	-1.82
566	-14  	7  	5  	18.38 	3.80 	19.29 	0.39
567	-14  	7  	6  	11.30 	5.65 	22.27 	0.57
568	-14  	7  	10  	10.92 	4.25 	6.24 	-1.71
569	-14  	7  	11  	9.62 	3.31 	15.16 	-0.37
570	-14  	7  	14  	9.41 	2.06 	4.15 	1.53
571	-14  	8  	1  	27.12 	2.29 	39.30 	2.88
572	-14  	8  	2  	37.85 	2.91 	39.76 	1.66
573	-14  	8  	3  	25.30 	3.52 	31.95 	0.95
574	-14  	8  	4  	26.33 	2.22 	37.32 	2.51
575	-14  	8  	6  	47.64 	2.80 	44.95 	-2.58
576	-14  	8  	7  	47.21 	2.78 	29.28 	-0.55
577	-14  	8  	8  	29.67 	2.75 	26.81 	0.19
578	-14  	8  	9  	40.94 	2.12 	58.14 	-0.69
579	-14  	8  	10  	28.57 	2.71 	30.67 	-1.15
580	-14  	8  	11  	32.22 	1.19 	16.74 	1.93
581	-14  	8  	12  	100.64 	4.14 	99.79 	1.59
582	-14  	8  	13  	93.11 	9.40 	88.19 	1.74
583	-14  	8  	14  	29.45 	3.21 	52.51 	1.36
584	-14  	9  	4  	14.14 	3.46 	23.54 	2.70
585	-14  	9  	7  	13.76 	4.89 	19.59 	2.51
586	-14  	9  	11  	16.55 	4.14 	18.62 	3.09
587	-14  	9  	12  	11.14 	4.11 	12.88 	2.84
588	-14  	9  	13  	10.48 	4.66 	10.96 	-2.71
589	-14  	9  	15  	10.32 	3.15 	9.38 	2.02
590	-14  	10  	1  	49.03 	2.88 	78.12 	-2.09
591	-14  	10  	2  	16.50 	6.34 	38.13 	-2.56
592	-14  	10  	3  	52.46 	2.83 	71.00 	1.67
593	-14  	10  	4  	103.60 	2.18 	94.10 	1.56
594	-14  	10  	5  	16.64 	3.39 	42.33 	-3.03
595	-14  	10  	6  	30.84 	2.14 	29.89 	2.65
596	-14  	10  	7  	36.92 	1.51 	34.00 	-1.54
597	-14  	10  	8  	29.70 	2.70 	37.30 	2.45
598	-14  	10  	9  	12.20 	3.27 	44.19 	-3.01
599	-14  	10  	10  	46.61 	3.24 	42.53 	-1.06
600	-14  	10  	11  	19.90 	1.46 	12.85 	3.00
601	-14  	10  	12  	39.19 	1.45 	39.04 	2.05
602	-14  	10  	13  	27.37 	2.59 	45.06 	2.10
603	-14  	10  	14  	25.16 	4.00 	40.19 	1.85
604	-14  	11  	7  	14.06 	5.39 	13.11 	1.60
605	-14  	11  	12  	10.91 	4.59 	8.23 	-3.05
606	-14  	12  	2  	24.47 	4.96 	14.17 	0.56
607	-14  	12  	3  	48.47 	4.29 	55.42 	0.35
608	-14  	12  	4  	41.01 	2.73 	49.35 	-0.07
609	-14  	12  	5  	36.72 	3.31 	48.08 	-2.53
610	-14  	12  	6  	42.94 	3.28 	50.35 	-1.99
611	-14  	12  	7  	39.31 	3.25 	39.54 	-2.99
612	-14  	12  	8  	34.27 	2.05 	18.17 	-0.57
613	-14  	12  	10  	46.09 	1.15 	34.76 	-2.31
614	-14  	12  	11  	31.43 	2.00 	28.81 	-3.12
615	-14  	12  	12  	11.62 	1.98 	4.51 	2.28
616	-14  	13  	5  	18.11 	6.53 	12.40 	-1.60
617	-14  	13  	6  	13.83 	5.30 	3.74 	-1.58
618	-14  	13  	7  	20.99 	4.66 	13.44 	-2.75
619	-14  	13  	11  	10.71 	4.51 	11.51 	0.34
620	-14  	14  	5  	24.29 	3.22 	26.82 	0.74
621	-14  	14  	6  	15.66 	4.64 	3.55 	3.11
622	-14  	14  	7  	16.09 	4.02 	13.29 	-0.93
623	-14  	14  	8  	56.40 	1.99 	74.47 	-1.50
624	-14  	14  	9  	27.39 	1.98 	30.97 	-0.74
625	-14  	14  	10  	21.56 	3.08 	6.40 	0.80
626	-13  	0  	11  	4.67 	1.25 	2.09 	3.14
627	-13  	1  	1  	82.18 	3.04 	56.52 	3.10
628	-13  	1  	2  	71.03 	3.02 	52.30 	0.97
629	-13  	1  	3  	127.17 	3.65 	116.40 	-0.01
630	-13  	1  	4  	239.91 	8.23 	214.80 	-0.27
631	-13  	1  	5  	74.38 	3.26 	68.92 	-0.71
632	-13  	1  	6  	131.66 	5.18 	100.34 	0.54
633	-13  	1  	7  	68.66 	1.28 	48.07 	-2.45
634	-13  	1  	8  	169.32 	13.37 	177.80 	1.92
635	-13  	1  	9  	138.32 	9.16 	162.66 	1.33
636	-13  	1  	10  	122.23 	1.25 	95.26 	-0.04
637	-13  	1  	11  	17.73 	0.62 	27.19 	-0.24
638	-13  	2  	3  	31.49 	11.27 	77.17 	-2.22
639	-13  	2  	4  	31.21 	11.17 	16.81 	-1.57
640	-13  	2  	7  	25.31 	9.29 	18.21 	-0.63
641	-13  	2  	8  	25.10 	7.94 	32.21 	-2.65
642	-13  	2  	9  	11.04 	3.78 	20.60 	-1.33
643	-13  	2  	10  	10.01 	2.82 	11.38 	0.08
644	-13  	3  	1  	50.18 	3.03 	63.49 	-0.29
645	-13  	3  	2  	36.70 	3.34 	15.84 	-0.09
646	-13  	3  	3  	190.75 	3.31 	128.28 	3.01
647	-13  	3  	4  	73.73 	2.62 	62.50 	-1.21
648	-13  	3  	5  	42.23 	1.30 	31.96 	-0.83
649	-13  	3  	6  	39.30 	1.93 	55.37 	-2.48
650	-13  	3  	7  	266.43 	6.39 	212.84 	2.67
651	-13  	3  	8  	176.20 	6.02 	181.60 	2.46
652	-13  	3  	9  	81.44 	1.89 	84.11 	1.48
653	-13  	3  	10  	92.68 	3.43 	65.29 	2.14
654	-13  	3  	11  	34.07 	0.62 	61.58 	1.38
655	-13  	4  	1  	39.25 	11.41 	32.07 	-2.39
656	-13  	4  	5  	15.21 	5.82 	33.20 	-2.67
657	-13  	4  	7  	35.96 	7.96 	30.65 	-2.25
658	-13  	4  	8  	24.94 	9.16 	37.75 	-0.08
659	-13  	4  	9  	10.65 	4.39 	30.04 	1.15
660	-13  	4  	12  	6.13 	1.53 	11.11 	0.05
661	-13  	5  	1  	113.51 	1.34 	94.15 	3.08
662	-13  	5  	2  	120.72 	2.65 	99.78 	3.12
663	-13  	5  	3  	62.60 	3.61 	59.11 	1.87
664	-13  	5  	4  	48.40 	1.30 	27.01 	1.10
665	-13  	5  	5  	166.17 	1.93 	123.85 	1.79
666	-13  	5  	6  	69.29 	1.28 	54.91 	0.85
667	-13  	5  	7  	36.42 	1.90 	43.09 	-2.50
668	-13  	5  	8  	52.15 	2.20 	82.78 	1.38
669	-13  	5  	9  	80.43 	1.87 	83.83 	0.37
670	-13  	5  	10  	93.12 	1.24 	57.29 	2.63
671	-13  	5  	11  	64.80 	1.23 	69.45 	-1.74
672	-13  	5  	12  	38.42 	1.22 	69.55 	0.30
673	-13  	6  	2  	37.15 	11.18 	41.37 	1.51
674	-13  	6  	5  	36.17 	8.00 	19.96 	0.49
675	-13  	6  	7  	41.87 	7.87 	42.35 	2.00
676	-13  	6  	8  	25.92 	10.62 	33.77 	2.91
677	-13  	6  	9  	25.72 	8.99 	11.58 	2.37
678	-13  	7  	1  	49.10 	1.65 	44.43 	3.02
679	-13  	7  	2  	39.83 	1.63 	54.52 	-3.09
680	-13  	7  	3  	65.35 	0.65 	83.22 	2.22
681	-13  	7  	4  	53.23 	1.92 	72.16 	-2.08
682	-13  	7  	5  	83.92 	1.27 	67.43 	-2.12
683	-13  	7  	6  	48.54 	1.26 	47.45 	-0.92
684	-13  	7  	7  	43.77 	2.81 	64.33 	0.00
685	-13  	7  	8  	50.55 	1.55 	86.30 	-1.07
686	-13  	7  	9  	86.47 	2.46 	87.77 	-1.25
687	-13  	7  	10  	101.08 	1.53 	96.75 	0.22
688	-13  	7  	11  	46.99 	0.61 	36.00 	0.82
689	-13  	7  	12  	88.19 	2.71 	93.51 	-1.75
690	-13  	7  	13  	32.28 	4.78 	69.56 	-2.39
691	-13  	7  	14  	6.83 	2.67 	31.04 	1.69
692	-13  	8  	1  	19.94 	4.58 	10.05 	-1.44
693	-13  	8  	6  	15.63 	3.44 	19.57 	2.78
694	-13  	8  	9  	15.87 	3.36 	13.94 	0.78
695	-13  	8  	11  	11.43 	4.21 	15.39 	-1.55
696	-13  	8  	12  	11.34 	3.28 	19.42 	-2.11
697	-13  	8  	13  	10.67 	2.67 	11.54 	-1.54
698	-13  	8  	14  	7.95 	2.65 	17.14 	1.44
699	-13  	9  	1  	57.65 	2.27 	73.06 	-1.17
700	-13  	9  	2  	88.89 	2.25 	84.54 	-1.02
701	-13  	9  	3  	40.06 	2.23 	36.33 	-0.64
702	-13  	9  	4  	78.79 	2.21 	63.66 	2.69
703	-13  	9  	5  	60.61 	2.19 	74.33 	2.36
704	-13  	9  	6  	39.04 	2.79 	39.02 	-1.98
705	-13  	9  	7  	55.92 	2.15 	82.62 	-1.21
706	-13  	9  	8  	108.21 	0.61 	92.71 	-1.27
707	-13  	9  	9  	71.37 	2.12 	40.53 	0.19
708	-13  	9  	10  	78.94 	2.10 	90.78 	1.61
709	-13  	9  	11  	39.03 	0.60 	43.76 	1.41
710	-13  	9  	12  	34.61 	2.07 	22.40 	-1.40
711	-13  	9  	13  	47.00 	5.88 	58.59 	-1.11
712	-13  	9  	14  	28.31 	2.04 	56.50 	-1.98
713	-13  	9  	15  	13.63 	5.22 	47.07 	-2.85
714	-13  	10  	5  	13.30 	6.18 	3.75 	1.55
715	-13  	10  	6  	13.80 	3.37 	18.20 	-0.36
716	-13  	10  	7  	15.81 	4.87 	2.77 	-2.04
717	-13  	10  	8  	12.37 	5.43 	12.10 	-0.65
718	-13  	10  	9  	12.27 	5.39 	19.73 	-0.03
719	-13  	10  	11  	11.21 	4.72 	18.88 	1.91
720	-13  	10  	12  	10.54 	4.10 	16.09 	-0.21
721	-13  	10  	14  	9.82 	3.18 	18.63 	-1.83
722	-13  	11  	1  	17.12 	3.49 	36.18 	-0.65
723	-13  	11  	3  	52.59 	1.56 	60.93 	1.45
724	-13  	11  	4  	63.23 	2.16 	73.04 	0.48
725	-13  	11  	5  	39.14 	2.14 	63.14 	-1.07
726	-13  	11  	6  	43.66 	1.52 	47.41 	-2.49
727	-13  	11  	7  	27.06 	2.71 	30.55 	2.63
728	-13  	11  	8  	29.53 	2.09 	39.78 	2.53
729	-13  	11  	9  	18.05 	2.66 	35.67 	-1.61
730	-13  	11  	10  	50.23 	2.06 	50.65 	-0.07
731	-13  	11  	11  	13.12 	2.04 	26.75 	-0.37
732	-13  	11  	12  	22.87 	1.16 	25.76 	-0.83
733	-13  	11  	13  	35.65 	1.44 	48.46 	-1.70
734	-13  	11  	14  	15.42 	3.71 	34.66 	-1.74
735	-13  	12  	1  	14.71 	7.20 	21.52 	-1.17
736	-13  	12  	5  	21.74 	5.44 	18.97 	0.11
737	-13  	12  	6  	13.47 	2.69 	15.62 	-1.19
738	-13  	12  	8  	13.85 	4.71 	22.66 	2.26
739	-13  	12  	9  	13.74 	5.26 	17.05 	1.97
740	-13  	12  	10  	13.63 	5.22 	10.20 	-1.59
741	-13  	12  	11  	11.81 	5.18 	3.82 	2.40
742	-13  	12  	12  	10.29 	4.00 	9.89 	2.71
743	-13  	12  	13  	11.64 	3.98 	5.69 	-0.04
744	-13  	13  	1  	54.36 	2.78 	61.56 	0.45
745	-13  	13  	2  	49.57 	2.14 	62.68 	0.37
746	-13  	13  	3  	22.44 	2.73 	22.27 	-0.22
747	-13  	13  	4  	23.14 	3.31 	21.08 	-2.63
748	-13  	13  	5  	17.58 	5.36 	14.45 	1.84
749	-13  	13  	6  	58.49 	2.07 	68.33 	0.86
750	-13  	13  	7  	39.55 	2.64 	38.08 	1.45
751	-13  	13  	8  	15.11 	4.07 	19.60 	1.24
752	-13  	13  	9  	25.95 	2.60 	16.62 	-2.77
753	-13  	13  	10  	22.04 	2.58 	21.36 	-1.48
754	-13  	13  	11  	13.35 	2.56 	29.08 	2.59
755	-13  	13  	12  	24.82 	1.97 	26.99 	2.12
756	-13  	14  	5  	15.27 	5.87 	19.89 	-3.00
757	-13  	14  	8  	15.47 	5.16 	6.45 	-2.11
758	-13  	14  	10  	12.69 	5.64 	9.47 	-2.46
759	-13  	15  	4  	19.83 	2.62 	37.28 	1.86
760	-13  	15  	5  	23.99 	2.02 	24.01 	1.60
761	-13  	15  	7  	17.34 	1.42 	32.13 	1.23
762	-13  	15  	8  	22.84 	1.97 	22.51 	-0.48
763	-12  	0  	6  	246.37 	9.43 	212.39 	0.00
764	-12  	0  	7  	282.92 	9.68 	295.76 	3.14
765	-12  	0  	8  	715.13 	32.03 	645.07 	3.14
766	-12  	0  	9  	443.93 	5.09 	401.63 	3.14
767	-12  	0  	10  	86.85 	2.84 	125.12 	3.14
768	-12  	1  	8  	25.29 	8.00 	25.84 	0.72
769	-12  	1  	9  	14.62 	3.50 	12.58 	1.94
770	-12  	1  	10  	6.31 	2.21 	9.68 	-2.26
771	-12  	2  	1  	79.72 	6.76 	80.27 	-0.32
772	-12  	2  	2  	53.25 	2.68 	85.98 	1.01
773	-12  	2  	3  	75.06 	1.66 	76.20 	2.32
774	-12  	2  	4  	47.11 	2.31 	66.68 	1.30
775	-12  	2  	5  	132.04 	4.25 	95.39 	-1.48
776	-12  	2  	6  	92.76 	2.59 	115.04 	-2.24
777	-12  	2  	7  	143.57 	2.58 	158.25 	-1.81
778	-12  	2  	8  	518.97 	8.63 	471.23 	-1.71
779	-12  	2  	9  	411.24 	13.33 	367.47 	-2.07
780	-12  	2  	10  	132.68 	1.58 	132.75 	-2.65
781	-12  	3  	1  	35.04 	15.16 	30.69 	-2.86
782	-12  	3  	3  	42.40 	8.28 	35.94 	-0.21
783	-12  	3  	5  	19.56 	3.59 	22.79 	-0.19
784	-12  	4  	1  	87.93 	6.38 	64.25 	-1.84
785	-12  	4  	2  	65.55 	2.00 	27.21 	1.59
786	-12  	4  	3  	145.85 	2.97 	145.44 	2.52
787	-12  	4  	4  	70.70 	2.95 	56.55 	2.39
788	-12  	4  	5  	110.40 	2.60 	127.43 	-0.18
789	-12  	4  	6  	26.42 	2.58 	24.47 	0.51
790	-12  	4  	7  	148.39 	2.88 	144.50 	-1.96
791	-12  	4  	8  	204.47 	2.54 	191.96 	-1.69
792	-12  	4  	9  	50.76 	0.63 	48.83 	0.82
793	-12  	4  	10  	107.08 	1.25 	125.81 	-2.40
794	-12  	4  	11  	25.82 	0.62 	20.85 	-2.96
795	-12  	5  	1  	16.70 	7.35 	32.93 	2.57
796	-12  	5  	3  	42.03 	8.21 	37.37 	-2.49
797	-12  	5  	5  	40.07 	8.08 	32.45 	-3.10
798	-12  	5  	6  	14.43 	5.77 	5.64 	1.66
799	-12  	5  	8  	31.28 	6.32 	31.92 	-1.39
800	-12  	5  	9  	14.75 	2.82 	10.16 	-2.47
801	-12  	5  	10  	23.06 	6.23 	24.61 	-1.57
802	-12  	5  	11  	10.21 	2.79 	11.96 	0.12
803	-12  	6  	1  	38.18 	1.33 	48.80 	1.10
804	-12  	6  	2  	73.41 	1.98 	104.33 	1.22
805	-12  	6  	3  	54.84 	2.29 	70.26 	-1.87
806	-12  	6  	4  	224.38 	1.94 	192.44 	-1.49
807	-12  	6  	5  	168.00 	1.28 	150.09 	-1.76
808	-12  	6  	6  	118.90 	2.55 	125.42 	1.08
809	-12  	6  	7  	107.57 	2.21 	61.53 	0.58
810	-12  	6  	8  	102.08 	2.51 	76.38 	-2.35
811	-12  	6  	9  	95.12 	0.62 	43.98 	0.47
812	-12  	6  	10  	77.13 	0.62 	107.15 	2.57
813	-12  	6  	11  	40.31 	0.62 	71.78 	-0.71
814	-12  	6  	12  	40.66 	2.14 	50.04 	0.78
815	-12  	6  	13  	7.60 	2.13 	15.05 	2.71
816	-12  	7  	2  	34.00 	11.11 	32.46 	-0.84
817	-12  	7  	10  	35.99 	6.15 	21.29 	2.04
818	-12  	8  	1  	68.35 	1.64 	49.10 	-1.90
819	-12  	8  	2  	47.01 	2.92 	38.54 	0.39
820	-12  	8  	3  	87.46 	2.57 	105.31 	2.45
821	-12  	8  	4  	110.35 	3.83 	99.55 	2.65
822	-12  	8  	5  	77.52 	1.27 	70.17 	2.18
823	-12  	8  	6  	47.10 	1.57 	21.49 	1.26
824	-12  	8  	7  	74.17 	1.25 	68.83 	-1.08
825	-12  	8  	8  	124.67 	0.62 	100.75 	0.08
826	-12  	8  	9  	81.71 	1.84 	81.75 	0.04
827	-12  	8  	10  	34.48 	0.61 	35.54 	-0.31
828	-12  	8  	11  	55.16 	2.12 	37.93 	3.08
829	-12  	8  	12  	23.19 	2.11 	33.64 	1.12
830	-12  	8  	13  	35.02 	3.29 	53.02 	0.68
831	-12  	8  	14  	32.13 	2.68 	45.89 	0.68
832	-12  	9  	2  	17.99 	4.50 	19.31 	-2.63
833	-12  	9  	4  	16.43 	4.74 	15.08 	-1.61
834	-12  	9  	5  	16.93 	4.08 	19.61 	-1.10
835	-12  	9  	9  	11.57 	4.26 	23.54 	-0.87
836	-12  	9  	10  	12.39 	4.23 	14.76 	-0.31
837	-12  	9  	11  	11.41 	2.70 	8.93 	-2.40
838	-12  	9  	12  	14.02 	2.69 	11.39 	1.73
839	-12  	9  	14  	12.09 	4.72 	4.04 	-1.23
840	-12  	9  	15  	9.96 	2.05 	9.41 	-0.51
841	-12  	10  	1  	67.99 	2.25 	85.72 	-2.88
842	-12  	10  	2  	25.76 	4.45 	18.91 	-0.21
843	-12  	10  	3  	135.59 	2.84 	126.92 	0.48
844	-12  	10  	4  	97.27 	2.19 	103.90 	1.27
845	-12  	10  	5  	46.24 	0.62 	71.72 	2.98
846	-12  	10  	6  	24.94 	2.16 	24.61 	-1.13
847	-12  	10  	7  	44.01 	1.53 	30.43 	1.02
848	-12  	10  	8  	62.20 	1.52 	61.33 	0.98
849	-12  	10  	9  	57.54 	2.11 	57.08 	1.20
850	-12  	10  	10  	29.02 	1.50 	24.12 	2.39
851	-12  	10  	11  	72.23 	1.49 	53.56 	0.18
852	-12  	10  	12  	37.80 	3.25 	34.18 	0.53
853	-12  	10  	13  	44.32 	3.82 	49.88 	1.54
854	-12  	10  	14  	28.88 	4.67 	49.53 	1.58
