         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
95	-19  	3  	7  	16.76 	4.97 	25.40 	-0.30
96	-19  	3  	8  	24.83 	4.29 	29.11 	1.46
97	-19  	3  	9  	38.75 	2.72 	50.59 	1.74
98	-19  	3  	10  	25.73 	2.69 	38.48 	2.68
99	-19  	3  	11  	64.44 	7.39 	51.89 	2.30
100	-19  	3  	12  	61.95 	5.84 	48.07 	2.95
101	-19  	3  	13  	56.04 	3.18 	38.39 	-2.36
102	-19  	3  	14  	47.71 	1.43 	35.85 	-1.06
103	-19  	4  	15  	4.50 	1.97 	10.16 	2.67
104	-19  	5  	4  	33.90 	2.24 	16.01 	-1.91
105	-19  	5  	5  	22.73 	2.84 	30.55 	-1.00
106	-19  	5  	6  	16.83 	4.05 	20.93 	-1.26
107	-19  	5  	7  	24.92 	3.38 	25.08 	-0.68
108	-19  	5  	8  	43.75 	2.13 	25.95 	1.06
109	-19  	5  	9  	35.12 	3.30 	38.56 	-0.37
110	-19  	5  	10  	20.76 	2.08 	26.38 	-2.13
111	-19  	5  	11  	33.70 	4.10 	39.65 	-1.28
112	-19  	5  	12  	69.81 	2.61 	54.56 	-1.04
113	-19  	5  	13  	34.94 	1.43 	27.99 	-0.45
114	-19  	5  	14  	37.10 	0.57 	51.62 	2.47
115	-19  	5  	15  	5.60 	2.52 	51.80 	1.84
116	-19  	6  	5  	19.77 	2.82 	7.88 	-0.16
117	-19  	6  	6  	16.73 	6.20 	5.82 	-2.58
118	-19  	6  	13  	9.11 	3.70 	10.63 	1.17
119	-19  	7  	4  	19.26 	5.05 	17.15 	2.01
