         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FREE 	FP 	SIGFP 	FCalc 	PHICalc 	
941	-20  	0  	11  	1  	122.62 	0.00 	80.70 	3.14
942	-20  	0  	12  	0  	41.31 	0.00 	42.96 	0.00
943	-20  	0  	13  	0  	48.80 	0.00 	59.88 	3.14
944	-20  	0  	14  	1  	65.44 	0.00 	54.24 	3.14
945	-20  	0  	16  	1  	59.11 	0.00 	62.84 	3.14
946	-20  	1  	1  	1  	76.27 	0.00 	83.30 	0.62
947	-20  	1  	2  	1  	133.21 	0.00 	105.71 	2.33
948	-20  	1  	3  	1  	137.25 	0.00 	97.15 	-2.08
949	-20  	1  	4  	1  	182.19 	0.00 	138.66 	1.07
950	-20  	1  	5  	1  	135.19 	0.00 	120.02 	0.95
951	-20  	1  	6  	1  	114.77 	0.00 	102.32 	1.62
952	-20  	1  	7  	1  	59.90 	0.00 	79.51 	2.37
953	-20  	1  	8  	1  	31.57 	0.00 	77.69 	0.82
954	-20  	1  	10  	1  	45.74 	0.00 	73.00 	-0.66
955	-20  	1  	11  	1  	24.29 	0.00 	29.81 	-0.14
956	-20  	1  	12  	1  	64.21 	0.00 	90.29 	-2.98
957	-20  	1  	13  	1  	54.85 	0.00 	69.01 	3.12
958	-20  	1  	14  	1  	149.28 	0.00 	111.16 	2.35
959	-20  	1  	15  	0  	27.30 	0.00 	51.33 	2.70
960	-20  	1  	16  	1  	42.67 	0.00 	37.15 	-0.16
961	-20  	2  	1  	1  	215.11 	0.00 	236.55 	-1.05
962	-20  	2  	2  	1  	239.47 	0.00 	201.43 	0.24
963	-20  	2  	3  	1  	97.79 	0.00 	114.86 	-0.00
964	-20  	2  	4  	1  	137.01 	0.00 	111.70 	0.11
965	-20  	2  	5  	1  	94.67 	0.00 	138.69 	1.41
966	-20  	2  	6  	1  	153.69 	0.00 	136.18 	0.67
967	-20  	2  	7  	1  	233.67 	0.00 	221.77 	-1.58
968	-20  	2  	8  	1  	162.14 	0.00 	178.69 	-2.89
969	-20  	2  	9  	1  	96.94 	0.00 	94.40 	0.63
970	-20  	2  	10  	1  	158.64 	0.00 	137.64 	-1.16
971	-20  	2  	11  	1  	33.66 	0.00 	29.48 	2.33
972	-20  	2  	12  	1  	126.44 	0.00 	111.34 	1.79
973	-20  	2  	13  	1  	169.65 	0.00 	134.88 	-1.01
974	-20  	2  	14  	1  	31.40 	0.00 	41.61 	0.20
975	-20  	2  	15  	1  	31.75 	0.00 	20.63 	2.55
976	-20  	3  	1  	1  	140.63 	0.00 	147.51 	-0.97
977	-20  	3  	2  	1  	32.95 	0.00 	78.05 	0.82
978	-20  	3  	3  	1  	16.09 	0.00 	43.31 	-0.46
979	-20  	3  	4  	0  	142.27 	0.00 	173.47 	1.55
980	-20  	3  	5  	1  	207.08 	0.00 	199.67 	3.04
981	-20  	3  	6  	1  	96.20 	0.00 	114.16 	0.59
982	-20  	3  	7  	1  	77.57 	0.00 	74.97 	-0.04
983	-20  	3  	8  	1  	173.72 	0.00 	186.60 	0.16
984	-20  	3  	9  	1  	51.01 	0.00 	42.34 	-3.00
985	-20  	3  	10  	1  	136.72 	0.00 	107.45 	-1.23
986	-20  	3  	11  	1  	82.63 	0.00 	96.52 	-0.82
987	-20  	3  	12  	1  	47.01 	0.00 	40.85 	-2.39
988	-20  	3  	13  	1  	130.27 	0.00 	124.91 	-2.08
989	-20  	3  	14  	1  	46.60 	0.00 	72.79 	1.93
990	-20  	3  	15  	1  	104.87 	0.00 	143.18 	-2.20
991	-20  	4  	1  	1  	69.86 	0.00 	94.74 	-0.58
992	-20  	4  	2  	0  	27.29 	0.00 	61.15 	-0.44
993	-20  	4  	4  	0  	218.91 	0.00 	115.74 	-0.88
994	-20  	4  	5  	1  	185.36 	0.00 	213.77 	1.26
995	-20  	4  	6  	1  	66.96 	0.00 	81.24 	-2.84
996	-20  	4  	7  	0  	45.96 	0.00 	35.16 	-0.69
997	-20  	4  	8  	1  	116.76 	0.00 	149.35 	0.14
998	-20  	4  	9  	1  	94.73 	0.00 	112.46 	0.18
999	-20  	4  	10  	1  	73.09 	0.00 	86.20 	-0.52
1000	-20  	4  	11  	1  	69.48 	0.00 	70.44 	1.71
1001	-20  	4  	12  	1  	39.42 	0.00 	61.99 	0.34
1002	-20  	4  	13  	1  	81.96 	0.00 	65.91 	-1.57
1003	-20  	4  	14  	1  	51.31 	0.00 	90.68 	2.99
1004	-20  	4  	15  	1  	35.69 	0.00 	17.91 	-1.78
1005	-20  	5  	1  	1  	292.00 	0.00 	274.32 	-1.53
1006	-20  	5  	2  	1  	198.00 	0.00 	174.99 	-3.04
1007	-20  	5  	3  	1  	199.50 	0.00 	210.43 	2.83
1008	-20  	5  	4  	1  	144.44 	0.00 	126.96 	2.99
1009	-20  	5  	5  	0  	67.55 	0.00 	48.15 	-3.10
1010	-20  	5  	6  	1  	98.95 	0.00 	113.07 	2.28
1011	-20  	5  	7  	1  	187.26 	0.00 	182.97 	1.55
1012	-20  	5  	8  	1  	102.85 	0.00 	117.67 	0.95
1013	-20  	5  	9  	1  	107.75 	0.00 	86.08 	-1.22
1014	-20  	5  	10  	1  	137.24 	0.00 	134.45 	-0.46
1015	-20  	5  	11  	1  	95.77 	0.00 	116.58 	-0.76
1016	-20  	5  	12  	1  	94.31 	0.00 	72.25 	-2.11
1017	-20  	5  	13  	1  	85.87 	0.00 	91.48 	0.83
1018	-20  	5  	14  	1  	50.86 	0.00 	60.56 	0.77
1019	-20  	6  	1  	1  	102.09 	0.00 	96.93 	-1.87
1020	-20  	6  	2  	1  	62.55 	0.00 	43.01 	2.11
1021	-20  	6  	3  	1  	91.69 	0.00 	113.36 	-1.11
1022	-20  	6  	4  	1  	207.49 	0.00 	217.92 	-1.35
1023	-20  	6  	5  	0  	55.67 	0.00 	74.42 	-2.69
1024	-20  	6  	6  	1  	69.50 	0.00 	88.98 	-2.21
1025	-20  	6  	7  	1  	146.17 	0.00 	135.98 	-2.47
1026	-20  	6  	8  	1  	53.80 	0.00 	53.78 	0.50
1027	-20  	6  	9  	0  	119.67 	0.00 	120.68 	-0.36
1028	-20  	6  	10  	0  	59.72 	0.00 	27.89 	1.89
1029	-20  	6  	11  	1  	42.09 	0.00 	77.06 	0.03
1030	-20  	6  	12  	1  	58.63 	0.00 	74.49 	-0.82
1031	-20  	6  	13  	1  	90.43 	0.00 	87.18 	2.74
1032	-20  	6  	14  	1  	44.21 	0.00 	58.87 	2.25
1033	-20  	7  	1  	1  	96.89 	0.00 	63.22 	0.58
1034	-20  	7  	2  	1  	110.83 	0.00 	102.68 	-0.94
1035	-20  	7  	3  	0  	137.51 	0.00 	136.26 	3.04
1036	-20  	7  	4  	1  	42.12 	0.00 	38.33 	-2.02
1037	-20  	7  	5  	1  	45.22 	0.00 	87.78 	-0.07
1038	-20  	7  	6  	1  	80.50 	0.00 	105.84 	1.20
1039	-20  	7  	7  	1  	139.24 	0.00 	107.20 	-1.60
1040	-20  	7  	8  	1  	201.74 	0.00 	224.46 	-2.29
1041	-20  	7  	9  	1  	62.93 	0.00 	62.90 	-2.98
1042	-20  	7  	10  	1  	49.94 	0.00 	26.16 	0.23
1043	-20  	7  	11  	1  	37.78 	0.00 	38.27 	1.04
1044	-20  	7  	12  	1  	76.59 	0.00 	93.77 	0.27
1045	-20  	7  	13  	1  	70.38 	0.00 	68.11 	0.35
1046	-20  	8  	1  	1  	60.81 	0.00 	98.67 	-2.84
1047	-20  	8  	2  	0  	118.77 	0.00 	186.06 	-0.78
1048	-20  	8  	3  	1  	44.12 	0.00 	41.70 	2.42
1049	-20  	8  	4  	1  	99.94 	0.00 	90.28 	-0.80
1050	-20  	8  	5  	1  	51.20 	0.00 	42.20 	-1.46
1051	-20  	8  	6  	0  	62.19 	0.00 	150.61 	0.43
1052	-20  	8  	7  	1  	53.66 	0.00 	54.46 	-2.53
1053	-20  	8  	8  	1  	67.75 	0.00 	100.17 	0.13
1054	-20  	8  	9  	1  	46.06 	0.00 	79.24 	-0.21
1055	-20  	8  	10  	1  	58.16 	0.00 	50.10 	-2.03
1056	-20  	8  	11  	1  	70.56 	0.00 	70.42 	-0.04
1057	-20  	8  	12  	1  	54.77 	0.00 	33.52 	0.82
1058	-20  	9  	1  	1  	123.82 	0.00 	142.89 	-1.17
1059	-20  	9  	2  	0  	87.47 	0.00 	107.16 	-1.31
1060	-20  	9  	4  	1  	67.89 	0.00 	87.52 	-1.26
1061	-20  	9  	5  	0  	148.25 	0.00 	155.07 	0.11
1062	-20  	9  	6  	0  	62.00 	0.00 	73.54 	0.19
1063	-20  	9  	7  	1  	51.55 	0.00 	66.91 	-3.01
1064	-20  	9  	8  	1  	55.97 	0.00 	58.01 	0.29
1065	-20  	9  	9  	1  	60.85 	0.00 	37.37 	0.12
1066	-20  	9  	10  	1  	81.06 	0.00 	71.72 	2.10
1067	-20  	9  	11  	1  	64.19 	0.00 	36.51 	-2.69
1068	-20  	10  	1  	1  	63.55 	0.00 	70.18 	-0.66
1069	-20  	10  	2  	1  	39.91 	0.00 	18.26 	-1.48
1070	-20  	10  	3  	1  	65.28 	0.00 	107.95 	-1.21
1071	-20  	10  	4  	1  	81.72 	0.00 	123.64 	0.44
1072	-20  	10  	5  	1  	61.20 	0.00 	78.71 	1.55
1073	-20  	10  	6  	1  	60.76 	0.00 	67.02 	2.26
1074	-20  	10  	7  	1  	50.67 	0.00 	40.56 	1.25
1075	-20  	10  	8  	0  	55.79 	0.00 	40.86 	1.96
1076	-20  	10  	9  	1  	66.93 	0.00 	67.42 	-0.96
1077	-20  	11  	1  	1  	59.11 	0.00 	45.75 	-0.78
1078	-20  	11  	4  	1  	58.54 	0.00 	58.22 	1.26
1079	-20  	11  	5  	0  	77.85 	0.00 	74.02 	0.82
1080	-20  	11  	6  	1  	51.79 	0.00 	41.02 	1.20
1081	-20  	11  	7  	1  	71.00 	0.00 	56.64 	2.38
1082	-19  	0  	1  	0  	67.02 	0.00 	78.51 	0.00
1083	-19  	0  	2  	1  	404.79 	0.00 	416.97 	0.00
1084	-19  	0  	3  	1  	125.62 	0.00 	103.06 	0.00
1085	-19  	0  	4  	1  	353.43 	0.00 	323.05 	0.00
1086	-19  	0  	5  	1  	146.59 	0.00 	164.21 	0.00
1087	-19  	0  	7  	1  	287.76 	0.00 	238.51 	0.00
1088	-19  	0  	8  	1  	163.97 	0.00 	153.86 	0.00
1089	-19  	0  	11  	1  	179.18 	0.00 	182.30 	3.14
1090	-19  	0  	12  	1  	90.74 	0.00 	108.47 	3.14
1091	-19  	0  	14  	1  	61.07 	0.00 	33.80 	3.14
1092	-19  	0  	15  	0  	67.95 	0.00 	131.08 	0.00
1093	-19  	0  	16  	1  	56.93 	0.00 	54.25 	0.00
1094	-19  	1  	2  	1  	99.04 	0.00 	183.86 	-1.43
1095	-19  	1  	3  	1  	55.87 	0.00 	105.84 	-1.32
1096	-19  	1  	4  	1  	175.97 	0.00 	136.30 	2.85
1097	-19  	1  	5  	1  	95.12 	0.00 	135.27 	3.07
1098	-19  	1  	6  	1  	21.77 	0.00 	63.29 	2.00
1099	-19  	1  	7  	1  	107.92 	0.00 	88.60 	2.59
1100	-19  	1  	8  	1  	123.88 	0.00 	89.36 	2.17
1101	-19  	1  	9  	1  	53.48 	0.00 	55.08 	2.86
1102	-19  	1  	10  	1  	173.73 	0.00 	160.70 	-3.03
1103	-19  	1  	11  	1  	68.84 	0.00 	62.70 	1.59
1104	-19  	1  	12  	1  	62.62 	0.00 	52.18 	-0.01
1105	-19  	1  	13  	1  	29.74 	0.00 	34.26 	2.56
1106	-19  	1  	14  	1  	47.33 	0.00 	52.18 	-2.79
1107	-19  	1  	15  	1  	41.35 	0.00 	54.55 	1.16
1108	-19  	1  	16  	1  	40.41 	0.00 	36.64 	2.71
1109	-19  	2  	1  	1  	327.32 	0.00 	350.20 	1.31
1110	-19  	2  	2  	1  	243.51 	0.00 	215.17 	1.07
1111	-19  	2  	3  	1  	112.04 	0.00 	110.46 	2.28
1112	-19  	2  	4  	1  	345.37 	0.00 	328.88 	0.72
1113	-19  	2  	5  	1  	334.84 	0.00 	312.24 	1.64
1114	-19  	2  	6  	1  	217.95 	0.00 	219.32 	0.41
1115	-19  	2  	7  	1  	155.60 	0.00 	182.55 	-2.78
1116	-19  	2  	8  	1  	98.18 	0.00 	86.41 	0.78
1117	-19  	2  	9  	1  	36.98 	0.00 	73.60 	1.57
1118	-19  	2  	10  	1  	117.76 	0.00 	108.33 	1.61
1119	-19  	2  	11  	1  	88.82 	0.00 	78.39 	1.35
1120	-19  	2  	12  	1  	111.29 	0.00 	80.20 	2.95
1121	-19  	2  	13  	1  	111.16 	0.00 	101.57 	1.55
1122	-19  	2  	14  	0  	46.33 	0.00 	6.49 	-2.95
1123	-19  	2  	15  	1  	37.25 	0.00 	38.12 	3.11
1124	-19  	2  	16  	0  	50.14 	0.00 	62.36 	-2.59
1125	-19  	3  	1  	0  	249.16 	0.00 	213.00 	1.27
1126	-19  	3  	2  	1  	32.62 	0.00 	98.19 	1.23
1127	-19  	3  	3  	1  	44.24 	0.00 	43.13 	-2.45
1128	-19  	3  	4  	1  	193.19 	0.00 	223.84 	-1.62
1129	-19  	3  	5  	1  	118.33 	0.00 	124.81 	-1.54
1130	-19  	3  	6  	1  	62.65 	0.00 	79.95 	-2.76
1131	-19  	3  	7  	1  	148.03 	0.00 	128.32 	2.70
1132	-19  	3  	8  	1  	95.22 	0.00 	136.43 	1.41
1133	-19  	3  	9  	1  	158.24 	0.00 	131.49 	-2.32
1134	-19  	3  	10  	1  	57.12 	0.00 	70.21 	2.96
1135	-19  	3  	11  	1  	44.50 	0.00 	45.41 	-1.01
1136	-19  	3  	12  	1  	80.92 	0.00 	84.20 	0.44
1137	-19  	3  	13  	1  	40.67 	0.00 	51.59 	2.76
1138	-19  	3  	14  	1  	152.47 	0.00 	171.51 	0.85
1139	-19  	3  	15  	1  	42.37 	0.00 	32.21 	1.15
1140	-19  	4  	1  	0  	166.00 	0.00 	79.31 	0.43
1141	-19  	4  	2  	1  	166.29 	0.00 	161.69 	1.39
1142	-19  	4  	3  	1  	128.16 	0.00 	146.79 	1.03
1143	-19  	4  	4  	1  	186.25 	0.00 	157.06 	-3.12
1144	-19  	4  	5  	1  	163.08 	0.00 	148.44 	2.16
1145	-19  	4  	6  	1  	109.77 	0.00 	82.08 	-0.40
1146	-19  	4  	7  	1  	165.28 	0.00 	143.33 	0.58
1147	-19  	4  	8  	1  	98.88 	0.00 	75.14 	-1.99
1148	-19  	4  	9  	1  	28.47 	0.00 	104.11 	3.10
1149	-19  	4  	10  	1  	65.41 	0.00 	76.96 	2.73
1150	-19  	4  	11  	1  	41.90 	0.00 	69.87 	-0.33
1151	-19  	4  	12  	1  	165.64 	0.00 	147.02 	0.00
1152	-19  	4  	13  	0  	103.26 	0.00 	120.46 	-2.54
1153	-19  	4  	14  	1  	49.99 	0.00 	18.65 	-2.04
1154	-19  	4  	15  	1  	33.91 	0.00 	39.97 	-2.85
1155	-19  	5  	1  	1  	144.82 	0.00 	167.60 	1.99
1156	-19  	5  	2  	1  	170.64 	0.00 	175.16 	1.96
1157	-19  	5  	3  	1  	126.20 	0.00 	131.43 	0.18
1158	-19  	5  	4  	1  	46.19 	0.00 	71.27 	-1.64
1159	-19  	5  	5  	0  	37.82 	0.00 	34.54 	0.68
1160	-19  	5  	6  	1  	116.00 	0.00 	99.49 	-0.05
1161	-19  	5  	7  	1  	82.50 	0.00 	108.67 	2.55
1162	-19  	5  	8  	1  	102.27 	0.00 	39.99 	2.63
1163	-19  	5  	9  	1  	89.89 	0.00 	71.08 	-0.54
1164	-19  	5  	10  	1  	62.14 	0.00 	63.00 	2.17
1165	-19  	5  	11  	1  	65.20 	0.00 	62.51 	-0.96
1166	-19  	5  	12  	1  	80.15 	0.00 	84.27 	0.56
1167	-19  	5  	13  	1  	44.62 	0.00 	38.49 	1.46
1168	-19  	5  	14  	1  	79.55 	0.00 	72.02 	-0.40
1169	-19  	5  	15  	1  	98.66 	0.00 	108.68 	-2.48
1170	-19  	6  	1  	1  	65.95 	0.00 	88.55 	3.07
1171	-19  	6  	2  	1  	148.74 	0.00 	171.91 	2.57
1172	-19  	6  	3  	1  	137.70 	0.00 	120.05 	2.31
1173	-19  	6  	4  	1  	230.96 	0.00 	194.77 	1.96
1174	-19  	6  	5  	1  	111.16 	0.00 	110.49 	-0.82
1175	-19  	6  	6  	1  	54.79 	0.00 	38.32 	0.86
1176	-19  	6  	8  	1  	145.58 	0.00 	157.09 	1.78
1177	-19  	6  	9  	0  	51.70 	0.00 	59.50 	1.29
1178	-19  	6  	10  	1  	56.68 	0.00 	42.46 	-2.65
1179	-19  	6  	11  	1  	186.28 	0.00 	169.86 	-1.65
1180	-19  	6  	12  	1  	70.54 	0.00 	57.79 	2.03
1181	-19  	6  	13  	1  	65.88 	0.00 	67.32 	-2.63
1182	-19  	6  	14  	0  	43.02 	0.00 	35.36 	1.27
1183	-19  	7  	1  	1  	117.17 	0.00 	72.22 	-1.24
1184	-19  	7  	2  	1  	223.70 	0.00 	232.05 	2.89
1185	-19  	7  	3  	0  	121.41 	0.00 	78.53 	1.33
1186	-19  	7  	4  	1  	163.50 	0.00 	118.19 	-2.50
1187	-19  	7  	5  	1  	71.66 	0.00 	109.89 	2.83
1188	-19  	7  	6  	1  	73.26 	0.00 	74.72 	2.30
1189	-19  	7  	7  	1  	34.37 	0.00 	49.23 	-1.05
1190	-19  	7  	8  	1  	100.28 	0.00 	114.83 	1.88
1191	-19  	7  	9  	1  	51.44 	0.00 	48.92 	-0.89
1192	-19  	7  	10  	1  	140.04 	0.00 	145.38 	1.94
1193	-19  	7  	11  	1  	109.44 	0.00 	78.98 	-2.04
1194	-19  	7  	12  	1  	64.01 	0.00 	47.62 	-1.92
1195	-19  	7  	13  	1  	66.42 	0.00 	75.60 	-1.61
1196	-19  	8  	1  	1  	48.34 	0.00 	84.67 	3.09
1197	-19  	8  	2  	0  	52.61 	0.00 	53.50 	-1.80
1198	-19  	8  	3  	1  	77.54 	0.00 	61.39 	-2.65
1199	-19  	8  	4  	1  	57.09 	0.00 	68.73 	1.69
1200	-19  	8  	5  	1  	58.06 	0.00 	94.97 	1.63
1201	-19  	8  	6  	0  	57.40 	0.00 	99.27 	-2.20
1202	-19  	8  	7  	1  	105.81 	0.00 	101.73 	1.89
1203	-19  	8  	8  	1  	86.67 	0.00 	78.34 	-1.80
1204	-19  	8  	9  	1  	60.93 	0.00 	70.33 	2.32
1205	-19  	8  	10  	1  	83.32 	0.00 	109.15 	-2.16
1206	-19  	8  	11  	1  	79.19 	0.00 	106.71 	1.26
1207	-19  	8  	12  	1  	42.61 	0.00 	43.68 	0.77
1208	-19  	9  	1  	1  	99.44 	0.00 	92.34 	2.22
1209	-19  	9  	2  	0  	53.57 	0.00 	62.35 	-2.58
1210	-19  	9  	3  	1  	117.07 	0.00 	104.81 	1.48
1211	-19  	9  	4  	1  	155.50 	0.00 	113.79 	-1.64
1212	-19  	9  	5  	1  	54.37 	0.00 	50.62 	2.87
1213	-19  	9  	6  	1  	48.81 	0.00 	48.85 	-0.05
1214	-19  	9  	7  	1  	156.07 	0.00 	130.77 	3.01
1215	-19  	9  	8  	1  	107.81 	0.00 	135.03 	-2.03
1216	-19  	9  	9  	1  	82.80 	0.00 	72.78 	2.20
1217	-19  	9  	10  	1  	60.36 	0.00 	30.01 	0.33
1218	-19  	9  	11  	1  	62.40 	0.00 	74.04 	-1.10
1219	-19  	10  	1  	1  	86.00 	0.00 	88.20 	-2.87
1220	-19  	10  	2  	1  	60.75 	0.00 	72.14 	-1.68
1221	-19  	10  	3  	1  	87.73 	0.00 	108.40 	-3.08
1222	-19  	10  	5  	0  	102.56 	0.00 	176.18 	-0.51
1223	-19  	10  	7  	1  	77.89 	0.00 	65.54 	-0.01
1224	-19  	10  	8  	1  	76.75 	0.00 	75.50 	-0.75
1225	-19  	10  	9  	1  	68.58 	0.00 	36.20 	-2.94
1226	-19  	10  	10  	1  	65.45 	0.00 	48.45 	-0.08
1227	-19  	11  	1  	1  	91.17 	0.00 	78.01 	2.63
1228	-19  	11  	2  	1  	50.53 	0.00 	28.10 	2.31
1229	-19  	11  	4  	1  	58.99 	0.00 	106.17 	2.17
1230	-19  	11  	8  	1  	59.02 	0.00 	29.37 	2.66
1231	-18  	0  	1  	1  	101.52 	0.00 	99.75 	0.00
1232	-18  	0  	2  	0  	282.28 	0.00 	229.63 	3.14
1233	-18  	0  	4  	1  	81.34 	0.00 	48.21 	0.00
1234	-18  	0  	5  	1  	224.47 	0.00 	260.45 	3.14
1235	-18  	0  	6  	1  	264.86 	0.00 	306.99 	3.14
1236	-18  	0  	7  	0  	138.46 	0.00 	82.29 	0.00
1237	-18  	0  	8  	1  	176.85 	0.00 	185.41 	0.00
1238	-18  	0  	9  	1  	336.70 	0.00 	304.25 	0.00
1239	-18  	0  	10  	1  	63.35 	0.00 	89.50 	3.14
1240	-18  	0  	11  	1  	48.51 	0.00 	45.24 	0.00
1241	-18  	0  	12  	1  	102.31 	0.00 	94.98 	0.00
1242	-18  	0  	13  	1  	139.90 	0.00 	150.81 	3.14
1243	-18  	0  	15  	1  	90.14 	0.00 	89.74 	0.00
1244	-18  	1  	1  	1  	223.50 	0.00 	178.32 	2.33
1245	-18  	1  	2  	1  	104.36 	0.00 	64.95 	2.81
1246	-18  	1  	3  	1  	315.41 	0.00 	300.51 	-2.43
1247	-18  	1  	4  	1  	247.90 	0.00 	217.31 	-0.50
1248	-18  	1  	5  	1  	192.79 	0.00 	189.96 	-2.79
1249	-18  	1  	6  	1  	215.85 	0.00 	196.62 	-1.72
1250	-18  	1  	7  	1  	55.56 	0.00 	68.69 	-1.02
1251	-18  	1  	9  	0  	146.38 	0.00 	164.71 	0.33
1252	-18  	1  	10  	1  	58.96 	0.00 	60.20 	-1.39
1253	-18  	1  	11  	1  	123.05 	0.00 	147.68 	-2.86
1254	-18  	1  	12  	1  	126.02 	0.00 	96.08 	0.95
1255	-18  	1  	13  	1  	51.81 	0.00 	60.61 	-2.51
1256	-18  	1  	14  	0  	39.60 	0.00 	63.63 	1.83
1257	-18  	1  	15  	0  	53.63 	0.00 	56.16 	2.80
1258	-18  	1  	16  	1  	67.04 	0.00 	90.08 	-0.16
1259	-18  	2  	1  	1  	74.10 	0.00 	74.42 	1.67
1260	-18  	2  	2  	1  	211.48 	0.00 	157.52 	-1.20
1261	-18  	2  	3  	1  	88.36 	0.00 	75.58 	-2.26
1262	-18  	2  	4  	1  	43.53 	0.00 	66.23 	-2.29
1263	-18  	2  	5  	0  	423.89 	0.00 	381.67 	-1.79
1264	-18  	2  	6  	1  	77.73 	0.00 	110.31 	-1.32
1265	-18  	2  	7  	1  	71.51 	0.00 	57.24 	-2.51
1266	-18  	2  	8  	1  	191.41 	0.00 	224.77 	1.21
1267	-18  	2  	9  	1  	139.27 	0.00 	161.83 	-2.30
1268	-18  	2  	10  	1  	120.72 	0.00 	134.66 	0.64
1269	-18  	2  	11  	1  	46.80 	0.00 	70.25 	-2.27
1270	-18  	2  	12  	0  	82.82 	0.00 	100.06 	-0.74
1271	-18  	2  	13  	1  	78.68 	0.00 	85.30 	1.80
1272	-18  	2  	14  	1  	80.00 	0.00 	97.40 	1.10
1273	-18  	2  	15  	1  	46.19 	0.00 	37.53 	0.79
1274	-18  	2  	16  	1  	107.88 	0.00 	105.18 	0.81
1275	-18  	3  	1  	1  	123.24 	0.00 	113.14 	2.74
1276	-18  	3  	2  	1  	96.25 	0.00 	112.80 	3.02
1277	-18  	3  	3  	1  	90.91 	0.00 	42.82 	-1.16
1278	-18  	3  	4  	1  	127.96 	0.00 	166.90 	-2.09
1279	-18  	3  	5  	1  	298.15 	0.00 	279.18 	1.11
1280	-18  	3  	6  	1  	81.21 	0.00 	135.82 	-1.54
1281	-18  	3  	7  	1  	173.45 	0.00 	177.07 	-0.62
1282	-18  	3  	8  	1  	106.56 	0.00 	125.24 	-0.84
1283	-18  	3  	9  	0  	129.52 	0.00 	99.62 	3.00
1284	-18  	3  	10  	1  	171.28 	0.00 	114.94 	0.60
1285	-18  	3  	11  	1  	79.96 	0.00 	103.19 	-0.11
1286	-18  	3  	12  	1  	96.89 	0.00 	111.72 	-2.98
1287	-18  	3  	13  	1  	29.14 	0.00 	59.82 	2.27
1288	-18  	3  	14  	1  	92.50 	0.00 	83.17 	1.58
1289	-18  	3  	15  	1  	87.05 	0.00 	53.98 	-1.03
1290	-18  	3  	16  	1  	52.80 	0.00 	13.28 	0.36
1291	-18  	4  	1  	1  	221.61 	0.00 	204.97 	2.95
1292	-18  	4  	2  	1  	173.62 	0.00 	149.80 	2.02
1293	-18  	4  	3  	0  	262.02 	0.00 	242.47 	-1.08
1294	-18  	4  	4  	0  	132.71 	0.00 	151.60 	-0.78
1295	-18  	4  	5  	1  	160.36 	0.00 	149.44 	-0.15
1296	-18  	4  	6  	1  	229.52 	0.00 	229.44 	-1.46
1297	-18  	4  	7  	1  	69.30 	0.00 	83.59 	0.51
1298	-18  	4  	8  	1  	168.06 	0.00 	187.41 	-1.61
1299	-18  	4  	9  	1  	83.26 	0.00 	118.98 	2.24
1300	-18  	4  	10  	0  	176.07 	0.00 	163.86 	-1.88
1301	-18  	4  	11  	1  	53.82 	0.00 	59.72 	-1.68
1302	-18  	4  	12  	1  	153.94 	0.00 	172.87 	-3.14
1303	-18  	4  	13  	1  	48.70 	0.00 	35.01 	0.89
1304	-18  	4  	14  	1  	64.06 	0.00 	95.94 	0.80
1305	-18  	4  	15  	0  	65.14 	0.00 	70.57 	1.80
1306	-18  	5  	1  	1  	234.42 	0.00 	229.01 	1.79
1307	-18  	5  	2  	1  	178.13 	0.00 	161.50 	-2.43
1308	-18  	5  	3  	1  	171.85 	0.00 	151.10 	1.65
1309	-18  	5  	4  	1  	107.97 	0.00 	112.94 	-1.47
1310	-18  	5  	5  	1  	75.40 	0.00 	86.79 	1.31
1311	-18  	5  	6  	1  	67.13 	0.00 	80.01 	1.27
1312	-18  	5  	7  	1  	34.67 	0.00 	39.76 	-0.37
1313	-18  	5  	8  	1  	29.66 	0.00 	85.12 	-1.23
1314	-18  	5  	9  	1  	44.42 	0.00 	44.14 	-2.43
1315	-18  	5  	10  	1  	97.19 	0.00 	67.12 	-1.25
1316	-18  	5  	11  	1  	54.99 	0.00 	61.20 	2.22
1317	-18  	5  	12  	1  	63.29 	0.00 	69.50 	-1.86
1318	-18  	5  	13  	1  	63.19 	0.00 	39.62 	-1.59
1319	-18  	5  	14  	1  	33.64 	0.00 	23.78 	1.92
1320	-18  	5  	15  	1  	42.98 	0.00 	56.78 	0.03
1321	-18  	6  	1  	1  	136.74 	0.00 	117.55 	-0.92
1322	-18  	6  	2  	1  	160.49 	0.00 	163.91 	-1.96
1323	-18  	6  	3  	1  	191.92 	0.00 	207.76 	-1.30
1324	-18  	6  	4  	1  	292.33 	0.00 	253.54 	-0.53
1325	-18  	6  	6  	1  	95.06 	0.00 	87.15 	0.26
1326	-18  	6  	7  	1  	200.68 	0.00 	212.91 	-3.03
1327	-18  	6  	8  	1  	35.77 	0.00 	58.61 	-1.89
1328	-18  	6  	9  	1  	94.04 	0.00 	100.74 	-2.26
1329	-18  	6  	10  	1  	167.14 	0.00 	165.71 	-1.19
1330	-18  	6  	11  	1  	45.76 	0.00 	70.10 	1.55
