         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FREE 	FP 	SIGFP 	FCalc 	PHICalc 	
87	-29  	4  	1  	1  	43.51 	0.00 	42.03 	-2.98
88	-29  	4  	2  	1  	41.47 	0.00 	85.57 	-2.35
89	-29  	4  	3  	1  	117.53 	0.00 	94.01 	-0.86
90	-29  	4  	4  	1  	35.56 	0.00 	29.89 	0.33
91	-29  	4  	5  	1  	32.28 	0.00 	32.30 	2.07
92	-29  	4  	6  	1  	57.29 	0.00 	57.73 	2.69
93	-29  	4  	7  	1  	28.39 	0.00 	25.38 	0.85
94	-29  	4  	8  	1  	25.83 	0.00 	40.12 	3.11
95	-29  	4  	9  	1  	49.18 	0.00 	72.11 	-2.48
96	-29  	5  	1  	1  	54.16 	0.00 	39.47 	0.45
97	-29  	5  	2  	1  	31.19 	0.00 	27.28 	-0.31
98	-29  	5  	4  	1  	110.92 	0.00 	96.77 	0.76
99	-29  	5  	5  	1  	58.29 	0.00 	76.67 	1.28
100	-29  	5  	6  	1  	26.58 	0.00 	45.72 	0.47
101	-29  	5  	7  	0  	92.59 	0.00 	82.24 	-2.14
102	-29  	5  	8  	1  	54.19 	0.00 	60.52 	0.01
103	-29  	6  	3  	1  	30.28 	0.00 	30.21 	-0.35
104	-29  	6  	4  	1  	96.96 	0.00 	72.99 	1.00
105	-29  	6  	5  	1  	46.68 	0.00 	52.20 	-2.66
106	-29  	6  	6  	0  	71.51 	0.00 	69.05 	-2.51
107	-28  	0  	3  	1  	60.08 	0.00 	72.63 	0.00
108	-28  	0  	4  	1  	33.27 	0.00 	40.25 	3.14
109	-28  	0  	5  	1  	33.69 	0.00 	52.64 	0.00
110	-28  	0  	6  	1  	39.49 	0.00 	36.78 	0.00
111	-28  	0  	7  	1  	35.63 	0.00 	23.90 	0.00
112	-28  	0  	8  	1  	153.57 	0.00 	145.92 	0.00
113	-28  	0  	11  	1  	56.42 	0.00 	37.50 	3.14
114	-28  	0  	12  	1  	55.00 	0.00 	11.24 	3.14
115	-28  	1  	3  	1  	49.03 	0.00 	68.52 	2.40
116	-28  	1  	4  	1  	140.02 	0.00 	130.31 	0.21
117	-28  	1  	5  	1  	123.01 	0.00 	102.57 	-0.07
118	-28  	1  	6  	0  	89.57 	0.00 	86.18 	-1.66
119	-28  	1  	7  	1  	51.92 	0.00 	125.58 	-1.28
120	-28  	1  	8  	1  	31.73 	0.00 	49.08 	-0.23
121	-28  	1  	9  	1  	44.68 	0.00 	42.28 	2.89
122	-28  	1  	10  	1  	104.56 	0.00 	119.82 	0.94
123	-28  	1  	11  	1  	32.22 	0.00 	18.59 	-2.28
124	-28  	2  	2  	0  	53.15 	0.00 	67.34 	-0.79
125	-28  	2  	3  	1  	30.75 	0.00 	50.68 	-2.64
126	-28  	2  	4  	1  	117.62 	0.00 	112.61 	-2.90
127	-28  	2  	5  	1  	16.19 	0.00 	25.62 	0.88
128	-28  	2  	6  	1  	29.39 	0.00 	57.79 	-0.28
129	-28  	2  	7  	1  	88.23 	0.00 	83.13 	1.03
130	-28  	2  	8  	1  	40.50 	0.00 	60.27 	0.16
131	-28  	2  	9  	1  	90.90 	0.00 	84.45 	-2.35
132	-28  	2  	10  	1  	32.86 	0.00 	46.01 	-2.71
133	-28  	2  	11  	1  	60.61 	0.00 	44.63 	-1.79
134	-28  	3  	2  	1  	63.10 	0.00 	36.08 	1.88
135	-28  	3  	3  	1  	64.60 	0.00 	69.05 	-3.06
136	-28  	3  	4  	1  	66.37 	0.00 	79.83 	2.02
137	-28  	3  	5  	1  	117.75 	0.00 	90.93 	0.19
138	-28  	3  	6  	1  	46.41 	0.00 	24.78 	-0.29
139	-28  	3  	7  	1  	73.73 	0.00 	77.52 	-0.77
