 	h 	k 	l 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	1	-29  	0  	6  	85.24 	39.44 	50.25 	3.14 	38.62 	3.14 	34.62 	3.14 	4.00 	0.00 	0.43 	57.41 	3.14
36	-28  	1  	4  	71.08 	22.41 	76.54 	0.51 	68.10 	0.51 	26.05 	0.51 	42.05 	3.65 	0.66 	71.37 	0.51
37	-28  	1  	5  	61.96 	25.55 	68.12 	0.28 	57.81 	0.28 	4.38 	0.28 	53.44 	3.42 	0.50 	60.26 	0.28
38	-28  	1  	6  	84.76 	18.48 	121.30 	5.57 	96.39 	5.51 	37.66 	5.51 	58.73 	2.37 	0.79 	101.47 	5.44
39	-28  	1  	7  	64.21 	26.07 	54.89 	5.94 	48.92 	0.03 	5.18 	0.03 	43.74 	3.17 	0.42 	57.99 	0.13
40	-28  	1  	8  	152.23 	10.78 	146.66 	4.25 	129.08 	4.23 	152.42 	4.23 	23.34 	4.23 	0.92 	147.55 	4.23
41	-28  	1  	9  	99.99 	20.25 	96.15 	3.62 	87.08 	3.29 	71.07 	3.29 	16.01 	0.15 	0.79 	98.20 	3.34
42	-28  	1  	10  	80.83 	19.58 	152.32 	2.68 	133.71 	2.74 	1.87 	2.74 	131.85 	5.88 	0.84 	152.20 	2.73
43	-28  	1  	11  	134.84 	13.23 	189.03 	1.95 	182.00 	1.92 	71.14 	1.92 	110.86 	5.06 	0.94 	205.79 	1.92
44	-28  	1  	12  	186.11 	10.06 	108.18 	1.09 	105.41 	1.08 	238.95 	1.08 	133.54 	1.08 	0.93 	121.77 	1.08
45	-28  	1  	13  	139.29 	13.80 	94.20 	1.68 	87.15 	1.69 	155.72 	1.69 	68.57 	1.69 	0.87 	104.15 	1.69
46	-28  	1  	14  	98.93 	14.40 	65.36 	1.65 	60.42 	1.60 	83.05 	1.60 	22.63 	1.60 	0.73 	74.87 	1.54
47	-28  	1  	15  	31.87 	34.99 	66.68 	2.39 	59.61 	2.37 	43.13 	5.51 	102.74 	5.51 	0.26 	70.55 	2.28
48	-28  	1  	16  	127.85 	11.85 	188.71 	2.19 	167.04 	2.19 	74.28 	2.19 	92.75 	5.33 	0.94 	189.41 	2.15
49	-28  	1  	17  	105.19 	14.94 	185.11 	2.30 	154.35 	2.30 	37.77 	2.30 	116.58 	5.44 	0.91 	186.04 	2.39
50	-28  	1  	18  	75.80 	19.88 	85.63 	2.39 	66.39 	2.39 	27.26 	2.39 	39.13 	5.53 	0.62 	86.25 	2.37
51	-28  	2  	3  	147.58 	12.83 	160.15 	1.95 	129.38 	1.95 	143.51 	1.95 	14.14 	1.95 	0.92 	159.74 	2.00
52	-28  	2  	4  	113.29 	14.72 	179.32 	1.68 	153.42 	1.68 	55.72 	1.68 	97.70 	4.82 	0.92 	169.88 	1.81
53	-28  	2  	5  	148.13 	14.69 	167.35 	2.23 	149.97 	2.23 	130.17 	2.23 	19.80 	5.37 	0.95 	170.80 	2.18
